"Corp #","Schl #","Grades Year 1","School Name","Mailing Address","City","State","Zip","Contact Name","Contact Email","Telephone ","Fax "
"9805","2527","K-12","Hoosier Academy - Indianapolis","5640 Caito Drive","Indianapolis        ","IN","46226","Lynn Black","lblack@k12.com","3175471400","3175471500"
"9810","1427","K-8","Hoosier Academy - Muncie","2801 East 16th Street","Muncie","IN","47302","Lynn Black","lblack@k12.com","7652889633","7652889655"
"9815","5673","K-8","Imagine Indiana Life Sciences Academy - East","4352 N Mitthoeffer Road","Indianapolis        ","IN","46235","Brian Dinkins","brian.dinkins@imagineschools.com","3178909100","3178909109"
"9820","0255","K-5","Imagine MASTer on Broadway","2320 Broadway Street","Fort Wayne          ","IN","46807","Ron DelaCuesta","ron.delacuesta@imagineschools.com","2604208395",
"9825","5848","K-8","The Indianapolis Project School","1145 East 22nd Street","Indianapolis        ","IN","46202","Tarrey Banks","bankst54@theprojectschool.org","3176080210","3176080211"
"9830","8411","7-12","Beacon Academy","620 Cumberland Ave","West Lafayette","IN","47909","Deb Lukens","lukensdeb@comcast.net","(765) 543-7808",
"9835","6215","K-9","The Bloomington Project School","349 S Walnut Street","Bloomington","IN","47401","Daniel Baron","dbaron@theprojectschool.org","8125580041","8123345873"
"9845","7571","K-7","Xavier School of Excellence","601 Pennsylvania Avenue","South Bend          ","IN","46601","Vito Bianco","vbianco@aqs.org","5743033059","5743033059"
"9850","5484","K-8","Imagine Life Sciences Academy - West","4950 West 34th Street","Indianapolis        ","IN","46224","Keith Marsh","keith.marsh@imagineschools.com","3172979100","3172979460"
"9860","0325","7-11","International School of Columbus","3136 N. National Road, Suite E","Columbus","IN","47201","Jonah Sims","jsims@internationalschoolofcolumbus.com","8123147078","8123147079"
"9680","5508","K-8","Paramount School of Excellence","3020 Nowland Avenue","Indianapolis        ","IN","46201","Tommy Reddicks","treddicks@paramountindy.org","3177756660","3174230569"
"9705","4486","6-9","Hammond Academy","33 Muenich Ct","Hammond","IN","46320","Sean Egan","segan@hammondacademy.com","2198520500","2198534152"
"9715","5785","K-8","Andrew Academy","4050 E 38th Street","Indianapolis        ","IN","46218","Connie Zittnan","czittnan@archindy.org","3175496305","3175496306"
"9720","5786","K-7","Padua Academy","349 N Warman Ave","Indianapolis        ","IN","46222","Connie Zittnan","czittnan@archindy.org","3172361532","3172391401"
"9870","6824","K-7","Discovery Charter School","800 Canonie Drive","Porter","IN","46304","Karen Poplawski","kpoplawski@aqs.org","3176952998",
"9875","0771","K-12","Rock Creek Community Academy","11515 Highway 31","Sellersburg","IN","47172","Sara Hauselman","shauselman@rccasi.org","8122469271","8122460722"
"9895","5444","K-8","Indiana Math and Science Academy - North","7435 North Keystone Ave.","Indianapolis        ","IN","46240","John Aytekin","john@imsaindy.org","3172597363","3172597363"
"9910","5669","9-12","Excel Center for Adult Learners","1635 W Michigan St            ","Indianapolis        ","IN","46222","Scott Bess                     ","sbess@goodwill-indy.org","3175244141","3175244267"
"9865","5290","K-12","Hoosier Academy Virtual School","2855 N Franklin Road","Indianapolis        ","IN","46219","Andrea Goldwater","agoldwater@k12.com","3174956794","3175471500"
"9880","7564","7-12","Career Academy at South Bend","3801 Crescent Circle","South Bend          ","IN","46628","Yolanda Turner-Smith","yturner-smith@geoacademies.org","5742999800",
"9905","7944","K-12","IN Connections Academy Virtual School (INCA)","6640 INTECH Blvd, Suite 250","Indianapolis        ","IN","46278","Melissa Brown","mabrown@connectionsacademy.com","3175503188","3172958022"
"9920","5191","K-12","Damar Charter Academy","6067 Decatur Blvd.","Indianapolis        ","IN","46241","Dwight Ashley","dwighta@damar.org","3174557121","3174557220"

