"District","School name","Principal","Email","Address","City","State","Zip","Phone","Fax","Grade"
"RSD-Algiers Charter Schools Association (ACSA)","Dwight D. Eisenhower Elementary School","Monica Boudouin","deanna.rogers@theacsa.org","3700 Tall Pines Drive","New Orleans              ","LA","70131","5043987125","5043987129","PS,PK,K-8"
"RSD-Algiers Charter Schools Association (ACSA)","William J. Fischer Elementary School","Dahme Bolden","wylene.sorapuru@theacsa.org","1801 L.B. Landry Avenue","New Orleans              ","LA","70114","5043043976","5043631013","PS,PK,K-8"
"RSD-Algiers Charter Schools Association (ACSA)","McDonogh #32 Elementary School","Lee Green","james.alexis@theacsa.org","800 DeArmas Street","New Orleans              ","LA","70114","5043736285","5043617957","PS,PK,K-8"
"RSD-Algiers Charter Schools Association (ACSA)","O.Perry Walker Senior High School","Mary L. Laurie","mlaurie@algierscharterschools.org","2832 General Meyer Avenue","New Orleans              ","LA","70114","5043027170","5043092960","9-12"
"RSD-Algiers Charter Schools Association (ACSA)","Algiers Technology Academy","Henderson Lewis, Jr.","monique.cook@theacsa.org","6501 Berkley Dr.","New Orleans              ","LA","70131","5043027076","5043246998","9-12"
"Recovery School District-LDE","Benjamin Banneker Elementary School","Cheryllyn Branche","Cheryllyn.Branche@rsdla.net","421 Burdette Street","New Orleans              ","LA","70118","5043736203","5048625194","IN,PS,PK,K-8"
"Recovery School District-LDE","Walter L. Cohen High School","Alfred Jones","alfred.jones@rsdla.net","3520 Dryades Street","New Orleans              ","LA","70115","5043736204","5048964015","8-12"
"Recovery School District-LDE","Paul B. Habans Elementary School","Olga Johnson-Walters","olga.johnsonwalters@rsdla.net","3819 Herschel Street","New Orleans              ","LA","70114","5043736209","5043663410","IN,PS,PK,K-8"
"Recovery School District-LDE","Murray Henderson Elementary School","Beverly Johnson-Jelks","annette.hagan@rsdla.net","2701 Lawrence Street","New Orleans              ","LA","70114","5043736241","5043736210","IN,PS,PK,K-8"
"Recovery School District-LDE","James Weldon Johnson School","Wanda D. Brooks","wanda.brooks@rsdla.net","1800 Monroe Street","New Orleans              ","LA","70118","5043736212","5048615943","IN,PS,PK,K-8"
"Recovery School District-LDE","Sarah Towles Reed Senior High School","Karen Collins","donald.jackson@rsdla.net","5316 Michoud Boulevard","New Orleans              ","LA","70129","5043736217","5042559802","8-12"
"Recovery School District-LDE","A.P. Tureaud Elementary School","Perretta Mitchell","perretta.mitchell@rsdla.net","2021 Pauger Street","New Orleans              ","LA","70112","5043736219","5049428670","IN,PS,PK,K-6"
"Recovery School District-LDE","G.W. Carver High School","Vanessa Eugene, PhD","ernesto.martinez@rsdla.net","3059 Higgins Blvd.","New Orleans              ","LA","70126","5043736226","5049415482","8-12"
"Recovery School District-LDE","F.W. Gregory Elementary School","Troye Washington","Francesca.Williams@rsdla.net","1700 Pratt Drive","New Orleans              ","LA","70122","5043736229","5042867698","IN,PS,PK"
"Recovery School District-LDE","L. B. Landry High School","Natalie Franklin","lee.green@rsdla.net","1201 L. B. Landry Avenue","New Orleans              ","LA","70114","5043736257","5043083625","7-12"
"Recovery School District-LDE","H.C. Schaumburg Elementary School","Josette Ripoll","josette.ripoll@rsdla.net","9501 Grant Street","New Orleans              ","LA","70126","5043736234","5042453442","IN,PS,PK,K-8"
"Recovery School District-LDE","Mary D. Coghill Elementary School","Aisha Jones","aisha.jones@rsdla.net","4617 Mirabeau Avenue","New Orleans              ","LA","70126","5043736237","5042843957","IN,PS,PK,K-8"
"Recovery School District-LDE","St. Helena Central Middle School","Josh Lesage","nakia.dangerfield@rsdla.net","1590 Highway 1042","Greensburg               ","LA","70441","2252226291","5042226780","5-8"
"RSD-Institute for Academic Excellence","Sophie B. Wright Learning Academy","Sharon Clark","sharon-clark@nops.k12.la.us","1426 Napoleon Avenue","New Orleans              ","LA","70115","5043043915","5048964095","6-12"
"RSD-Knowledge is Power Program (KIPP) N.O.","KIPP Believe College Prep (Phillips)","Adam Kramer Meinig    ","ameinig@kippbelieve.org","1607 South Carrollton Avenue","New Orleans              ","LA","70118","5043048857","5043048862","K-1,4-8"
"RSD-Knowledge is Power Program (KIPP) N.O.","KIPP McDonogh 15 School for the Creative Arts","Heidi Marie Campbell    ","mburton@mcdonogh15.org","721 St. Phillip Street","New Orleans              ","LA","70116","5045661706","5045928515","K-8"
"RSD-Knowledge is Power Program (KIPP) N.O.","KIPP Central City Academy","Todd Purvis","ajarrell@kippcentralcity.org","P.O.Box 13567","New Orleans              ","LA","70185","5043736290","5043029737","4-8"
"RSD-Knowledge is Power Program (KIPP) N.O.","KIPP Central City Primary","Korbin Johnson","kjohnson@kippneworleans.org","P.O. Box 13567","New Orleans              ","LA","70185","5043736290","5043029737","K-4"
"RSD-Knowledge is Power Program (KIPP) N.O.","KIPP Renaissance High School","Brian Dassler","jrobertson@kipprenaissance.org.org","5316 Michoud Blvd.","New Orleans              ","LA","70129","5044000350","5043029739","9-11"
"RSD-Knowledge is Power Program (KIPP) N.O.","KIPP New Orleans Leadership Academy","Jared Lamb","jlamb@kippneworleans.org","3820 St. Claude Street","New Orleans              ","LA","70117","5049521052","5040000000","K-1,4-7"
"RSD-FirstLine Schools, Inc.","Samuel J. Green Charter School","Ava Lee","alee@firstlineschools.org","3649 Laurel Street","New Orleans              ","LA","70115","5043736267","5048975356","K-8"
"RSD-FirstLine Schools, Inc.","Arthur Ashe Charter School","Aqua Stovall","astovall@firstlineschools.org","3649 Laurel Street","New Orleans              ","LA","70115","5043736267","5048975356","K-8"
"RSD-FirstLine Schools, Inc.","John Dibert Community School","Sivi Domango","sdomango@firstlineschools.org","3649 Laurel Street","New Orleans              ","LA","70115","5043736267","5048975356","K-8"

