"School Name","Address","City","State","Zip","First","Last","Area Code","Phone","Email","County","Type"
"Findlay Digital Academy","1219 W Main Cross St Ste 101","Findlay","OH","45840","Sandra","White","419","4253598","swhite@findlaycityschools.org","Hancock","High School"
"Buckeye On-Line School for Success","119 E Fifth St","East Liverpool","OH","43920","Richard","Sheppard","330","3851987","rsheppard@go2boss.com","Columbiana","High School"
"Columbus Bilingual Academy","35 Midland Ave","Columbus","OH","43223","Melissa","Richardson","614","3241492",,"Franklin","Elementary School"
"Lancaster Fairfield Community School","320 E Locust St","Lancaster","OH","43130","Jeffrey","Graf","740","6527200","jgraf@co.fairfield.oh.us","Fairfield","High School"
"General Chappie James Leadership Academy","120 Knox Ave","Dayton","OH","45417","Kecia","Williams","937","8353580","kwilliams@chappiejames.com","Montgomery","High School"
"P.A.C.E. High School","1601 California Ave","Cincinnati","OH","45237","Steven","Hawley","513","7517223","steve.hawley@pacehigh.org","Hamilton","High School"
"Whitehall Preparatory and Fitness Academy","3474 E Livingston Ave","Columbus","OH","43227","Bryan","Wagoner","614","3244585","bwagoner@edvantages.com","Franklin","Elementary School"
"Springfield Preparatory and Fitness Academy","1615 Selma Rd","Springfield","OH","45505","Bryan","Wagoner","937","3236250","bwagoner@edvantages.com","Clark","Elementary School"
"Northland Preparatory and Fitness Academy","1875 Morse Rd","Columbus","OH","43229","Bryan","Wagoner","614","3180600","bwagoner@edvantages.com","Franklin","Elementary School"
"Project Rebuild Community School","1731 Grace Ave NE","Canton","OH","44705","Joseph","Cole","330","4528414","cole.joseph@prchs.com","Stark","High School"
"Cleveland Academy for Scholarship Technology and Leadership","1729 Superior Ave E","Cleveland","OH","44114","Kamal","Chatman","216","4435400","KCHATMAN@CASTLE-SCHOOL.ORG","Cuyahoga","High School"
"Constellation Schools: Puritas Community Middle","5730 Broadview Rd","Parma","OH","44134","Gerald","Preseren","216","6880680","preseren.gerald@constellationschools.com","Cuyahoga","Middle School"
"Constellation Schools: Outreach Academy for Students with Di","3727 Bosworth Rd","Cleveland","OH","44111","Gerald","Preseren","216","6881900","preseren.gerald@constellationschools.com","Cuyahoga","High School"
"Pinnacle Academy","860 E 222nd St","Euclid","OH","44123","Clifford","Wallace","216","7310127","59.cwallace@nhaschools.com","Cuyahoga","Elementary School"
"Winterfield Venture Academy","305 Wenz Rd","Toledo","OH","43615","Nathan","Preston","419","5313285","58.npreston@nhaschools.com","Lucas","Elementary School"
"Columbus Humanities, Arts and Technology Academy","1333 Morse Rd","Columbus","OH","43229","Latasha","Morgan","614","2611200","lmorgan@columbusata.org","Franklin","Elementary School"
"A+ Arts Academy","270 S Napoleon Ave","Columbus","OH","43213","Carolyn","Berkley","614","3380767","cberkley@aplusarts.com","Franklin","High School"
"Columbus Arts & Technology Academy","2255 Kimberly Pkwy E","Columbus","OH","43232","Derrick","Shelton","614","5770900",,"Franklin","Elementary School"
"Columbus Preparatory Academy","3330 Chippewa St","Columbus","OH","43204","Chad","Carr","614","2753600","chcarr@columbuspreparatory.org","Franklin","Elementary School"
"Orion Academy","1798 Queen City Ave","Cincinnati","OH","45214","Bryan","Cannon","513","2516000","57.bcannon@nhaschools.com","Hamilton","Elementary School"
"Apex Academy","16005 Terrace Rd","Cleveland","OH","44112","LaDondra","Howell","216","4511725","64.lhowell@heritageacademies.com","Cuyahoga","Elementary School"
"Virtual Schoolhouse, Inc.","736 Lakeview Rd","Cleveland","OH","44108","Yocheved","Belsky","216","5412048","ybelsky@virtualschoolhouse.org","Cuyahoga","High School"
"Hope Academy Northwest Campus","1441 W 116th St","Cleveland","OH","44102","Sharon","Jones","216","2266800","sharon.jones@whitehatmgmt.com","Cuyahoga","High School"
"King Academy Community School","933 Bank St","Cincinnati","OH","45214","Andrea","Martinez","513","4217519",,"Hamilton","Middle School"
"Emerson Academy ","501 Hickory St","Dayton","OH","45410","Ronald","Albino","937","2232889","60.ralbino@heritageacademies.com","Montgomery","Elementary School"
"FCI Academy","2177 Mock Rd","Columbus","OH","43219","Garey","Lewis","614","4714527","glewis@fciacademy.com","Franklin","High School"
"Coshocton Opportunity School","1205 Cambridge Rd","Coshocton","OH","43812","Roger","Moore","740","6223600","roger.moore@omeresa.net","Coshocton","High School"
"Summit Academy Transition High School-Cincinnati","5800 Salvia Ave","Cincinnati","OH","45224","Debra","Skul","513","5414000",,"Hamilton","High School"
"Summit Academy Middle School - Lorain","346 Illinois Ave","Lorain","OH","44052","Debra","Skul","440","2880448",,"Lorain","Middle School"
"Summit Academy Middle School - Columbus","2521 Fairwood Ave Ste 200","Columbus","OH","43207","Debra","Skul","614","2375497",,"Franklin","Middle School"
"Heir Force Community School","PO Box 180","Lima","OH","45802","Darwin","Lofton","419","2289241","dlofton@heirforcecs.com","Allen","Elementary School"
"Summit Academy Transition High School-Columbus","1855 E Dublin-Granville Rd","Columbus","OH","43229","Debra","Skul","614","8800714",,"Franklin","High School"
"Summit Academy Alternative LearnersWarren Middle & Secondary","1461 Moncrest Dr NW","Warren","OH","44485","Debra","Skul","330","3991692",,"Trumbull","Middle School"
"Summit Academy Transition High School Dayton","1407 E 3rd St","Dayton","OH","45403","Debra","Skul","937","2233154",,"Montgomery","High School"
"Summit Academy-Youngstown","144 N Schenley Ave","Youngstown","OH","44509","Debra","Skul","330","2590421",,"Mahoning","Ungraded"
"Summit Academy Community School - Painesville","268 N State St","Painesville","OH","44077","Debra","Skul","440","3580877",,"Lake","Elementary School"
"Summit Academy Toledo Learning Center","5115 Glendale Ave Ste N","Toledo","OH","43614","Debra","Skul","419","4767859",,"Lucas","High School"
"Summit Academy Secondary School - Middletown","7 S Marshall Rd","Middletown","OH","45044","Debra","Skul","513","4209767",,"Butler","High School"
"Rittman Academy","100 Saurer St","Rittman","OH","44270","Orville","Ullman","330","9277401","roc_ullman@tccsa.net","Wayne","High School"
"Life Skills Center of Columbus Southeast","2400 S Hamilton Rd","Columbus","OH","43232","Joseph","Buckalew","614","8639175","joseph.buckalew@lifeskillscenters.com","Franklin","High School"
"New Day Academy Boarding & Day School","8566 Barbara Dr","Mentor","OH","44060","Terrance","Walton","216","7971602","terrwal5@aol.com","Cuyahoga","High School"
"Oakstone Community School","5747 Cleveland Ave","Columbus","OH","43231","Kristyn","Miller","614","4581085","kristynmiller34@yahoo.com","Franklin","High School"
"Zenith Academy","8210 Havens Rd","Blacklick","OH","43004","Ashfaq","Tashfeen","614","4196753","aatashfeen@yahoo.com","Franklin","High School"
"Phoenix Village Academy Primary 2","12601 Shaker Blvd","Cleveland","OH","44120","DeShawn","King","216","8120244","deshawnking@live.com","Cuyahoga","High School"
"Phoenix Village Academy: Secondary I","12601 Shaker Blvd","Cleveland","OH","44120","DeShawn","King","216","8120244","deshawnking@live.com","Cuyahoga","High School"
"Pschtecin Public School","985 Mediterranean Ave","Columbus","OH","43229",,,"614","9853428",,"Franklin","High School"
"Maritime Academy of Toledo, The","803 Water St","Toledo","OH","43604",,,"419","2449999",,"Lucas","High School"
"Educational Academy for Boys & Girls","1500 W 3rd Ave","Columbus","OH","43212","ESTELLA","STEPHENS","614","2943020","estephens@edsolns.com","Franklin","Elementary School"
"Midnimo Cross Cultural Community School","1567 Loretta Ave","Columbus","OH","43211","ESTELLA","STEPHENS","614","2617480","estephens@edsolns.com","Franklin","Middle School"
"Cincinnati Speech & Reading Intervention Center","1812 Central Pkwy","Cincinnati","OH","45214","Olanrewaju","Oriowo","513","6519624","lanre@mangen1.com","Hamilton","Elementary School"
"Horizon Science Academy-Cincinnati","1055 Laidlaw Ave","Cincinnati","OH","45237","Ugur","Zengince","513","2420099","zengince@conceptschools.org","Hamilton","High School"
"Horizon Science Academy-Dayton","4751 sue ann blvd","Dayton","OH","45415","Ugur","Zengince","937","2771177","zengince@conceptschools.org","Montgomery","High School"
"Life Skills Center of Dayton","1721 N Main St","Dayton","OH","45405","Joseph","Buckalew","937","2742841","joseph.buckalew@lifeskillscenters.com","Montgomery","High School"
"Horizon Science Academy-Springfield","630 S Reynolds Rd","Toledo","OH","43615","Mustafa","Arslan","419","5350524","arslan@conceptschools.org","Lucas","Middle School"
"Horizon Science Academy-Denison Middle School","1700 Denison Ave","Cleveland","OH","44109","MURAT","EFE","216","7399911","efe@conceptschools.org","Cuyahoga","High School"
"Bennett Venture Academy","5130 Bennett Road","Toledo","OH","43612","Xavier","Owens","419","2692247","71.xowens@heritageacademies.com","Lucas","Elementary School"
"Stambaugh Charter Academy","2420 Donald Ave","Youngstown","OH","44509","Alan","Harper","330","7924806","73.aharper@heritageacademies.com","Mahoning","Elementary School"
"Horizon Science Academy-Cleveland Middle School","6100 S Marginal Rd","Cleveland","OH","44103","MURAT","EFE","216","4329940","efe@conceptschools.org","Cuyahoga","Middle School"
"Westside Academy","4330 Clime Rd North","Columbus","OH","43228","Heather","O'Bannon","614","2729392","hobannon@wsa-school.com","Franklin","Elementary School"
"Interactive Media & Construction (IMAC)","445 Bowman St","Mansfield","OH","44903","Deborah","Franklin","419","5250105","dfranklin@mansfield.k12.oh.us","Richland","High School"
"V L T Academy","1100 Sycamore St","Cincinnati","OH","45202","Valerie","Lee","513","4211129","VALERIEEDUK@AOL.COM","Hamilton","High School"
"Early College Academy","345 E 5th Ave","Columbus","OH","43201","Pete","Maneff","614","2984742","pmaneff@ecacolumbus.com","Franklin","High School"
"Cleveland Entrepreneurship Preparatory School","1417 E 36th St Fl 2","Cleveland","OH","44114","John","McBride","216","4562080","jmcbride@theprepschools.org","Cuyahoga","Middle School"
"Promise Academy","1701 E 13th St","Cleveland","OH","44114","Cordelia","Harris","216","4430500","cordelia.harris@cmsdnet.net","Cuyahoga","High School"
"Premier Academy of Ohio","1555 Elaine Rd","Columbus","OH","43227","Hydia","Green","614","5013820","hgreen@pao-online.com","Franklin","High School"
"Par Excellence Academy","96 Maholm St","Newark","OH","43055","Gisele","James","740","3447279","gjames@laca.org","Licking","Elementary School"
"Lakewood City Academy","1470 Warren Rd","Lakewood","OH","44107","Terrilynn","Bornino-Elwell","216","5294037",,"Cuyahoga","High School"
"Cleveland Community School ","1701 E 12th St","Cleveland","OH","44114","Marlaina","Palmeri","216","5231133",,"Cuyahoga","Elementary School"
"Villaview Community School ","1701 E 12th St","Cleveland","OH","44114","Marlaina","Palmeri","216","5231133",,"Cuyahoga","Junior High School"
"Toledo Preparatory and Fitness Academy","20 Arco Dr","Toledo","OH","43607","Bryan","Wagoner","419","5353700","bwagoner@edvantages.com","Lucas","Elementary School"
"Columbus Preparatory and Fitness Academy","1258 Demorest Rd","Columbus","OH","43204","Bryan","Wagoner","614","3180606","bwagoner@edvantages.com","Franklin","Elementary School"
"Mt. Healthy Preparatory and Fitness Academy","7601 Harrison Ave","Cincinnati","OH","45231","Bryan","Wagoner","513","5876280","bwagoner@edvantages.com","Hamilton","Elementary School"
"Youngstown Academy of Excellence","1408 Rigby St","Youngstown","OH","44506","Faye","Pleso","330","7463970","FPleso@youngstownacademy.org","Mahoning","Elementary School"
"Cleveland Arts and Social Sciences Academy","10701 Shaker Blvd","Cleveland","OH","44104","Debroah","Mays","216","2293000",,"Cuyahoga","Elementary School"
"Center for Student Achievement","21 Tropic St","Jackson","OH","45640","Donald","Jenkins","740","2867839","djenkins@jcs.k12.oh.us","Jackson","High School"
"Charles School at Ohio Dominican University","3950 Indianola Ave","Columbus","OH","43214","Eileen","Meers","614","2588588","cheryl@thegrahamschool.org","Franklin","High School"
"Mansfield Preparatory Academy of Excellence","3038 Leavitt Rd","Lorain","OH","44052","James","Sinclair","440","2823127","jsinclair@academyartssciences.org","Lorain","High School"
"Arts and Science Preparatory Academy","2711 Church Ave","Cleveland","OH","44113","Michelle","Person","216","3442081","MPerson@aspacademy.org","Cuyahoga","Elementary School"
"Life Skills Center of North Akron","1458 Brittain Rd","Akron","OH","44310","Patricia","Marxen","330","6335990","Patti.Marxen@whitehatmgmt.com","Summit","High School"
"Academy of Arts and Sciences","201 W Erie Ave","Lorain","OH","44052","Erik","Thorson","440","2440156","EThorson@academyartssciences.org","Lorain","Elementary School"
"Imani Learning Academy","728 Parkside Blvd","Toledo","OH","43607","Thomas","Gladieux","419","5357078",,"Lucas","Elementary School"
"Mahoning Valley Opportunity Center","496 Glenwood Ave","Youngstown","OH","44502","David","Macali","330","7447656","dmacali@mvoc.us","Mahoning","High School"
"Noble Academy-Cleveland","1200 E 200th St","Euclid","OH","44117","MURAT","EFE","216","4868866","efe@conceptschools.org","Cuyahoga","High School"
"Noble Academy-Columbus","1329 Bethel Rd","Columbus","OH","43220","Hizir","Disli","614","3260687","disli@conceptschools.org","Franklin","Elementary School"
"South Scioto Academy","707 E Jenkins Ave","Columbus","OH","43207","Courtney","Watters","614","4457684",,"Franklin","Elementary School"
"Life Skills Center of Columbus North","1900 E Dublin Granville Rd Ste 200","Columbus","OH","43229","Joseph","Buckalew","614","8919041","joseph.buckalew@lifeskillscenters.com","Franklin","High School"
"Dayton Technology Design High School","348 W 1st St","Dayton","OH","45402","Phillitia","Charlton","937","2253989","pcharlton@daytontech.org","Montgomery","High School"
"Harvard Avenue Community School","12000 Harvard Ave","Cleveland","OH","44105","Pharon","Holtrey","216","2835100","pharon.holtrey@imagineschools.com","Cuyahoga","Elementary School"
"Groveport Community School","4485 S Hamilton Rd","Groveport","OH","43125","Dair","Foster",,,"dair.foster@imagineschools.com","Franklin","Elementary School"
"Eagle Learning Center","5721 Seaman St","Oregon","OH","43616","Hal","Gregory","419","7202003","hgregory@oregoncs.org","Lucas","High School"
"Columbus Collegiate Academy","1469 E Main St","Columbus","OH","43205","Andrew","Boy","614","2995284","aboy@unitedschoolsnetwork.org","Franklin","Middle School"
"Northpointe Academy","3648 Victory Ave","Toledo","OH","43607","Andre","Fox","419","2444202","andre.fox@leonagroup.com","Lucas","Elementary School"
"Zanesville Community School","968 Pine St","Zanesville","OH","43701","Jeffrey","Moore","740","5885685","sbrow@wtdschools.org","Muskingum","High School"
"Constellation Schools: Westside Community School of the Arts","5730 Broadview Rd","Parma","OH","44134","Gerald","Preseren","216","6881900","preseren.gerald@constellationschools.com","Cuyahoga","Middle School"
"Cincinnati Leadership Academy","7243 Eastlawn Dr","Cincinnati","OH","45237","Kimberly","Euler","513","3515737","kimberly.euler@leonagroup.com","Hamilton","Elementary School"
"C.M. Grant Leadership Academy","2030 Leonard Ave","Columbus","OH","43219","Troy","Schulz","614","2522087","troy.schulz@leonagroup.com","Franklin","Elementary School"
"Central Academy of Ohio","2727 Kenwood Blvd","Toledo","OH","43606","Mohamad ","Issa","419","2059800","mohamad@gee-edu.com","Lucas","Elementary School"
"Star Academy of Toledo","5025 Glendale Ave","Toledo","OH","43614","Julieta","Dinkins","419","7206330","JDinkins@staracademyoftoledo.org","Lucas","Elementary School"
"Horizon Science Academy Columbus Middle School","2350 Morse Rd","Columbus","OH","43229","Hizir","Disli","614","4286564","disli@conceptschools.org","Franklin","Middle School"
"Clay Avenue Community School","1030 Clay Ave","Toledo","OH","43608","Julie","McLaughlin","419","7279900","julie.mclaughlin@imagineschools.com","Lucas","High School"
"Foundation Academy","1050 Wyandotte Ave","Mansfield","OH","44906","Joann","Hipsher","419","5269540","jhipsher@foundationacad.org","Richland","High School"
"Dayton Early College Academy, Inc","300 College Park","Dayton","OH","45469","Judy","Hennessey","937","2295780","jhennessey@daytonearlycollege.org","Montgomery","High School"
"Constellation Schools: Mansfield Community Middle","5730 Broadview Rd","Parma","OH","44134","Gerald","Preseren","419","5223563","preseren.gerald@constellationschools.com","Richland","Elementary School"
"Sullivant Avenue Community School","3435 Sullivant Ave","Columbus","OH","43204","Jamie","Lama","614","3085991","jamie.lama@imagineschools.com","Franklin","Elementary School"
"Harrisburg Pike Community School","680 Harrisburg Pike","Columbus","OH","43223","Lori","Thayer","614","2231510",,"Franklin","Elementary School"
"Madison Avenue School of Arts","1511 Madison Ave","Toledo","OH","43604","Daphne","Williams","419","2594000","daphne.williams@imagineschools.com","Lucas","Elementary School"
"Klepinger Community School","3650 Klepinger Rd","Dayton","OH","45416","Melissa","McManaway","937","6101710","Melissa.McManaway@imagineschools.com","Montgomery","Elementary School"
"Sciotoville Elementary Academy","5540 3rd St","Sciotoville","OH","45662","Rick","Bowman","740","7762916","rick.bowman@east.k12.oh.us","Scioto","Elementary School"
"Ashland County Community Academy","716 Union St","Ashland","OH","44805","Samuel","Wilson","419","9030295","tesc_awilson@tccsa.net","Ashland","High School"
"Horizon Science Academy Elementary School","2835 Morse Rd","Columbus","OH","43231","Hizir","Disli","614","4754585","disli@conceptschools.org","Franklin","Elementary School"
"Mahoning County High School","100 Debartolo Pl Ste 220","Youngstown","OH","44512","Jennifer","Whittemore","330","9652860","J.Whittemore@MahoningESC.org","Mahoning","High School"
"KIPP:  Journey Academy","1406 Myrtle Ave","Columbus","OH","43211","Hannah","Powell","614","2636137",,"Franklin","Middle School"
"Horizon Science Academy Cleveland Elementary School","6000 S Marginal Rd","Cleveland","OH","44103","MURAT","EFE","216","4329576","efe@conceptschools.org","Cuyahoga","Elementary School"
"Knight Academy","110 Arco Dr","Toledo","OH","43607","Thomas","Baker","419","7204444","theknightacademy@gmail.com","Lucas","Middle School"
"Horizon Science Academy Denison Elementary School","2261 Columbus Rd","Cleveland","OH","44113","MURAT","EFE","216","6618840","efe@conceptschools.org","Cuyahoga","Elementary School"
"Cesar Chavez College Preparatory School","1465 Oakland Park Ave","Columbus","OH","43224","ESTELLA","STEPHENS","614","2978801","estephens@edsolns.com","Franklin","Elementary School"
"Mount Auburn International Academy","244 Southern Ave","Cincinnati","OH","45219","Wissam","Sabbagh","513","2415500","wsabbagh@sabis.net","Hamilton","High School"
"Performance Academy Eastland","2220 S Hamilton Rd","Columbus","OH","43232","Bryan","Wagoner","614","3146301","bwagoner@edvantages.com","Franklin","Elementary School"
"L. Hollingworth School for Talented and Gifted","824 6th St","Toledo","OH","43605","Terrence","Franklin","419","7053411","franklin@lhstg.com","Lucas","Elementary School"
"Village Preparatory School","1415 E 36th St Fl 2","Cleveland","OH","44114","Stacey","Brown","216","4562070","SBrown@theprepschools.org","Cuyahoga","Elementary School"
"Hardin Community School","1211 W Lima St Ste A","Kenton","OH","43326","Wade","Melton","419","6733210","wademelton@hardinohio.us","Hardin","Middle School"
"Greater Summit County Early Learning Center","2141 Pickle Rd","Akron","OH","44312","Linda","Fuline","330","9455600","lindaf@cybersummit.org","Summit","Elementary School"
"Bella Academy of Excellence","19114 Bella Dr","Cleveland","OH","44119","Jennifer","Woody","216","4811500","jennifer.woody@imagineschools.com","Cuyahoga","Elementary School"
"Pleasant Education Academy","1107 Owens Rd W","Marion","OH","43302","Lane","Warner","740","3894476","lane.warner@pleasantstaff.org","Marion","High School"
"Renaissance Academy","4300 Kimberly Pkwy N","Columbus","OH","43232","Sharice","Martin","614","8667277","mrsmartin.97@gmail.com","Franklin","High School"
"Rushmore Academy","910 E Church St","Marion","OH","43302","Steve","Vanderhoff","740","3872043",,"Marion","High School"
"Columbus Bilingual Academy-North","3360 Kohr Blvd","Columbus","OH","43224","Melissa","Richardson",,,,"Franklin","Elementary School"
"A.B. Graham Academy","370 E Main St","Saint Paris","OH","43072","Scott","Howell","937","6630370","howells@abga.cs.k12.oh.us","Champaign","High School"
"LifeLinks Community School","205 W Crawford St","Van Wert","OH","45891","Kenneth","Amstutz","419","6235380","k_amstutz@vwcs.net","Van Wert","High School"
"Falcon Academy of Creative Arts","2900 State Route 43","Mogadore","OH","44260","Margo","Snider","330","6734514","margo.snider@fieldlocalschools.org","Portage","Middle School"
"Achieve Career Preparatory Academy","301 Collingwood Blvd","Toledo","OH","43604","Kerry","Gordon-Keese","419","2438559","kerry.keese@leonagroup.com","Lucas","High School"
"Lakeland Academy Community School","101 E Main St","Freeport","OH","43973","Charles","Bizzari","740","6581042","chuck.bizzari@omeresa.net","Harrison","High School"
"Horizon Science Academy Lorain","2265 Columbus Rd","Cleveland","OH","44113","MURAT","EFE","440","2824277","efe@conceptschools.org","Lorain","High School"
"Horizon Science Academy Dayton High School","250 Shoup Mill Rd","Dayton","OH","45415","Ugur","Zengince","937","2811480","zengince@conceptschools.org","Montgomery","High School"
"Northeast Ohio College Preparatory School","2280 Professor Ave","Cleveland","OH","44113","Heather","Stevens","216","9650580","hstevens@icanschools.org","Cuyahoga","High School"
"Imagine Akron Academy","1585 Frederick Blvd","Akron","OH","44320","Wendy","Hubbard","330","3791034","wendy.hubbard@imagineschools.com","Summit","Elementary School"
"Imagine Cleveland Academy","3443 E 93rd St","Cleveland","OH","44104","Pharon","Holtrey","216","6411500","pharon.holtrey@imagineschools.com","Cuyahoga","Elementary School"
"Everest High School","1555 Graham Rd","Reynoldsburg","OH","43068","Ralph","Gillum","614","3671980","dgillum@reyn.org","Franklin","High School"
"Richland Academy School of Excellence","75 N Walnut St","Mansfield","OH","44902","Sandra","Sutherland","419","5228224","sandra.sutherland1@gmail.com","Richland","Middle School"
"Graham Expeditionary Middle School","3950 Indianola Ave","Columbus","OH","43214","Eileen","Meers","614","2621111","cheryl@thegrahamschool.org","Franklin","Junior High School"
"Horizon Science Academy Dayton Downtown ","121 S Monmouth St","Dayton","OH","45403","Ugur","Zengince","937","2811980","zengince@conceptschools.org","Montgomery","Junior High School"
"Theodore Roosevelt Public Community School","1550 Tremont St","Cincinnati","OH","45214","Dale","Leever","513","2446960",,"Hamilton","High School"
"Horizon Science Academy Youngstown","3403 Southern Blvd","Youngstown","OH","44507","MURAT","EFE","330","7823003","efe@conceptschools.org","Mahoning","Elementary School"
"Horizon Science Academy Toledo Downtown","425 Jefferson Ave 3rd Fl","Toledo","OH","43604","Mustafa","Arslan","419","2443333","arslan@conceptschools.org","Lucas","Elementary School"
"Cruiser Academy","2751 Winchester Pike","Columbus","OH","43232","Monique","Hamilton","614","2378756","monique.hamilton@gocruisers.org","Franklin","High School"
"Zenith Academy East","2261 S Hamilton Rd","Columbus","OH","43232","Ashfaq","Tashfeen","614","5770999","aatashfeen@yahoo.com","Franklin","Elementary School"
"Cleveland College Preparatory School","4906 Fleet Ave","Cleveland","OH","44105","Heather","Stevens","216","3411347","hstevens@icanschools.org","Cuyahoga","Elementary School"
"Columbus Performance Academy","2 Easton Oval Ste 525","Columbus","OH","43219","Joan","Pammer","614","3180720","jpammer@performanceacademies.com","Franklin","Elementary School"
"Constellation Schools: Stockyard Community Middle","5730 Broadview Rd","Parma","OH","44134","Gerald","Preseren","216","9615052","preseren.gerald@constellationschools.com","Cuyahoga","Middle School"
"Constellation Schools: Collinwood Village Academy","5730 Broadview Rd","Parma","OH","44134","Gerald","Preseren",,,"preseren.gerald@constellationschools.com","Cuyahoga","High School"
"Citizens Leadership Academy","9711 Lamont Ave","Cleveland","OH","44106","Shelly","Saltzman",,,,"Cuyahoga","Middle School"
"Near West Intergenerational School","4016 Woodbine Ave","Cleveland","OH","44113","Brooke","King","216","9614308","BKing@tisonline.org","Cuyahoga","Elementary School"
"Entrepreneurship Preparatory School - Woodland Hills Campus","9201 Crane Ave","Cleveland","OH","44105","Christopher","O'Brien","216","2981164","cobrien@theprepschools.org","Cuyahoga","Middle School"
"Foxfire Intermediate School","2805 Pinkerton Ln","Zanesville","OH","43701","Todd","Whiteman","740","4534509","twhiteman@laca.org","Muskingum","Middle School"
"Thurgood Marshall High School","13540 Lorain Ave","Cleveland","OH","44111","Gamal","Brown","216","9619813","gamal.brown@edisonlearning.com","Cuyahoga","High School"
"Langston Hughes High School","10450 Superior Ave","Cleveland","OH","44106","Gamal","Brown","216","7210845","gamal.brown@edisonlearning.com","Cuyahoga","High School"
"Road to Success Academy","1555 Bryden Rd","Columbus","OH","43205","Gamal","Brown","614","4215838","gamal.brown@edisonlearning.com","Franklin","High School"
"George V. Voinovich Reclamation Academy","11801 Buckeye Rd","Cleveland","OH","44120","Gamal","Brown","216","2951493","gamal.brown@edisonlearning.com","Cuyahoga","High School"
"Frederick Douglass Reclamation Academy","3167 Fulton Rd","Cleveland","OH","44109","Gamal","Brown","216","9419661","gamal.brown@edisonlearning.com","Cuyahoga","High School"
"Capital High School","640 Harrisburg Pike","Columbus","OH","43223","Gamal","Brown","614","2282854","gamal.brown@edisonlearning.com","Franklin","High School"
