"ID","County","School ID","Chools Name","Type","Grades","Address","City","State","Zip","MAIL_ADDRESS","MAIL_CITY","MAIL_ZIP","Principals Name","Last Name","Principals Email","Phone","Fax"
"707","Newton County","0113","Challenge Charter Academy","H","06-12","8134 Geiger St NW","Covington","GA","30014-1288","8134 Geiger St NW","Covington","30014-1288","Ernetta","Worthy","worthy.ernetta@newton.k12.ga.us","770.784.9310",
"721","Richmond County","0301","Jenkins-White Elementary Charter School","E","PK-05","800 15th Ave ","Augusta","GA","30901-4145","800 15th Ave ","Augusta","30901-4145","Janie","Norris","norrija@boe.richmond.k12.ga.us","706.737.7320","706.731.7651"
"721","Richmond County","5058","Murphey Middle Charter School","M","06-08","2610 Milledgeville Rd ","Augusta","GA","30904-5110","2610 Milledgeville Rd ","Augusta","30904-5110","Veronica","Bolton","boltove@boe.richmond.k12.ga.us","706.737.7350","706.737.7353"
"736","Thomas County","0100","Bishop Hall Charter School","H","09-12","1819 E Clay St ","Thomasville","GA","31792-4736","1819 E Clay St ","Thomasville","31792-4736","Richard","Johnson","johnsonr@rose.net","229.227.1397","229.558.9420"
"761","Atlanta Public Schools","0124","Intown Charter Academy","E","KK-07","386 Pine St NE","Atlanta","GA","30308-2532","386 Pine St NE","Atlanta","30308-2532","Lola","Burse","lola.burse@intown.edisonlearning.com","404.881.1030",
"761","Atlanta Public Schools","0201","Charles R. Drew Charter School","E","PK-08","301 E Lake Blvd SE ","Atlanta","GA","30317-3152","301 E Lake Blvd SE ","Atlanta","30317-3152","Nicholas","Stapleton","nstapleton@atlanta.edisonschools.com","404.687.0001","404.687.0480"
"761","Atlanta Public Schools","0206","Atlanta Charter Middle School","M","06-08","820 Essie Ave SE ","Atlanta","GA","30316-2425","820 Essie Ave SE ","Atlanta","30316-2425","Matt","Underwood","munderwood@atlantachartermiddle.com","678.904.0051","404.624.9907"
"761","Atlanta Public Schools","0505","Neighborhood Charter School","E","KK-05","688 Grant St SE","Atlanta","GA","30315-1420","688 Grant St SE","Atlanta","30315-1420","Lara","Zelski","lzelski@neighborhoodcharter.com","404.624.6226","404.624.9093"
"761","Atlanta Public Schools","1208","Imagine Wesley International Academy Charter Facility","E","KK-08","1049 Custer Ave SE ","Atlanta","GA","30316-3100","1049 Custer Ave SE ","Atlanta","30316-3100","Henry","Stephens","henry.stephens@imagineschools.com","678.904.9137",
"7820112","State Charter Schools- Scholars Academy Charter School","0112","Scholars Academy Charter School","E","KK-05","6449 Church St","Riverdale","GA","30274-2004","6449 Church St","Riverdale","30274","Carlotta","Blatch","cblatch@scholarsacademy.us","770.756.9710",
"607","Barrow County","0113","College and Career Preparatory Academy","H","09-12","54 Star St W","Bethlehem","GA","30620-2203","54 Star St W","Bethlehem","30620-2203","molly","stiltner","mstiltner@barrow.k12.ga.us","770.868.1072",
"610","Berrien County","0106","Berrien Academy Performance Learning Center","H","09-12","1015 Exum Rd ","Nashville","GA","31639-2730","P.O. Box 622 ","Nashville","31639","Karen","Ball","karen.ball@berrien.k12.ga.us","229.686.6576","229.686.65"
"611","Bibb County","0111","Northwoods Academy School","E","PK-PK","709 Pierce Ave","Macon","GA","31204-1528","709 Pierce Ave","Macon","31204-1528","Tricia","Storey","tstorey@bibb.k12.ga.us","478.779.3200",
"611","Bibb County","0203","Vineville Academy","E","KK-05","2260 Vineville Ave ","Macon","GA","31204-3116","2260 Vineville Ave ","Macon","31204-3116","Paulette","Winters","pwinters.VINEACAD@bibb.k12.ga.us","478.779.3226","478.621.2752"
"625","Chatham County","0499","Savannah Arts Academy","H","09-12","500 Washington Ave ","Savannah","GA","31405-2358","500 Washington Ave ","Savannah","31405-2358","Gifford","Lockley","gifford.lockley@sccpss.com","912.395.5000","912.201.4160"
"631","Clayton County","0114","Elite Scholars Academy School","M","06-10","137 Spring St","Jonesboro","GA","30236-3558","137 Spring St","Jonesboro","30236-3558","Shonda","Shaw","sshaw@clayton.k12.ga.us","770.515.7684",
"631","Clayton County","0116","Eddie White Academy","E","PK-08","11808 Panhandle Rd","Hampton","GA","30228-3305","11808 Panhandle Rd","Hampton","30228-3305","Angel","McCrary","amccrary@clayton.k12.ga.us","770.472.2850",
"633","Cobb County","0110","International Academy of Smyrna","E","KK-08","2144 S Cobb Dr SE ","Smyrna","GA","30080-1322","2144 South Cobb Drive ","Smyrna","300801322","Sandra","Alexander","sandra.alexander@imagineschools.com","678.370.0980",
"633","Cobb County","0111","Imagine International Academy of Mableton","E","KK-08","6688 Mableton Pkwy SE ","Mableton","GA","30126-5302","6688 Mableton Pkwy SE ","Mableton","30126-5302","James","Owmby","james.owmby@imagineschools.com","678.391.7710",
"633","Cobb County","0186","Oakwood Digital Academy","H","09-12","1560 Joyner Ave SE ","Marietta","GA","30060-3907","1560 Joyner Ave SE ","Marietta","30060-3907","Steven","Butler","Steven.Butler@cobbk12.org","678.594.8240","678.594.8241"
"633","Cobb County","0309","Lindley 6th Grade Academy","M","06-06","1550 Pebblebrook Cir SE","Mableton","GA","30126-2750","1550 Pebblebrook Cir SE","Mableton","30126-2750","Landon","Brown","Landon.Brown@cobbk12.org","770.819.2414",
"633","Cobb County","0807","Devereux Ackerman Academy","H","02-12","1291 Stanley Rd NW ","Kennesaw","GA","30152-4359","1291 Stanley Rd NW ","Kennesaw","30152-4359","Christina","Christiansen","cchristi@devereux.org","770.427.0147",
"644","DeKalb County","0112","Destiny Achievers Academy of Excellence","H","09-12","3595 Linecrest Rd","Ellenwood","GA","30294-1839","3595 Linecrest Rd","Ellenwood","30294-1839","Clarence","Callaway","Clarence_Callaway@fc.dekalb.k12.ga.us","404.328.0898",
"644","DeKalb County","0311","Leadership Preparatory Academy","E","KK-06","6400 Woodrow Rd","Lithonia","GA","30038-2437","6400 Woodrow Rd","Lithonia","30038-2437","Frankie","Callaway","Frankie_Callaway@fc.dekalb.k12.ga.us","404.656.3103",
"644","DeKalb County","0407","Dekalb Early College Academy","H","09-12","1701 Mountain Industrial Blvd ","Stone Mountain","GA","30083-1027","1701 Mountain Industrial Blvd ","Stone Mountain","30083-1027","Sharon","Ordu",,"678.676.0221",
"644","DeKalb County","0409","Ronald E McNair Discover Learning Academy Elementary School","E","PK-05","2162 Second Ave","Decatur","GA","30032-5259","2162 Second Ave","Decatur","30032-5259","Marchell","Boston","marchell_boston_ii@fc.dekalb.k12.ga.us","678.874.3402",
"644","DeKalb County","0606","Gateway to College Academy","H","10-12","555 N Indian Creek Dr ","Clarkston","GA","30021-2361","555 N Indian Creek Dr ","Clarkston","30021-2361","Robert","Wigfall","robert_a_wigfall@fc.dekalb.k12.ga.us","678.891.3220","404.244.5109"
"644","DeKalb County","0610","Arabia Mountain High School - Academy of Engineering, Medicine and Environm","H","09-12","6775 S Goddard Rd","Lithonia","GA","30038-4124","6775 S Goddard Rd","Lithonia","30038-4124","LaShawn","McMillan","lashawn_mcmillan@fc.dekalb.k12.ga.us","678.875.3602",
"644","DeKalb County","0705","DeKalb PATH Academy Charter School","M","05-08","3007 Hermance Dr NE ","Atlanta","GA","30319-2627","3007 Hermace Drive ","Atlanta","30319","Suttiwan","Cox","SUTTIWAN_COX@fc.dekalb.k12.ga.us","404.846.3242","404.846.3243"
"644","DeKalb County","1010","DeKalb Academy of Technology and the Environment Charter School","E","KK-08","1492 Kelton Dr","Stone Mountain","GA","30083-1918","1492 Kelton Dr","Stone Mountain","30083-1918","Maury","Wills","mlw4947@fc.dekalb.k12.ga.us","770.484.5865",
"648","Douglas County","0407","Brighten Academy","E","KK-08","3264 Brookmont Pkwy ","Douglasville","GA","30135-2108","3264 Brookmont Pkwy ","Douglasville","30135-2108","Lisa","McDonald","lmcdonald@brightenacademy.com","770.615.3680",
"658","Forsyth County","0218","Forsyth Academy","H","09-12","1130 Dahlonega Hwy","Cumming","GA","30040-4536","1130 Dahlonega Hwy","Cumming","30040-4536","Brad","Smith","BASmith@forsyth.k12.ga.us","770.781.2299",
"658","Forsyth County","0219","i-Achieve Academy","H","06-12","1130 Dahlonega Hwy","Cumming","GA","30040-4536","1130 Dahlonega Hwy","Cumming","30040-4536","Brad","Smith","basmith@forsyth.k12.ga.us","678.965.4970",
"660","Fulton County","0116","Main Street Charter Academy Elementary","E","KK-05","3726 Main St","Atlanta","GA","30337-3708","3726 Main St","Atlanta","30337-3708","Raine","Hackler",,"404.668.0261",
"660","Fulton County","0117","Main Street Charter Academy Middle","M","06-07","3480 Main St","Atlanta","GA","30337-2064","3480 Main St","Atlanta","30337-2064","Raine","Hackler",,"404.668.0261",
"660","Fulton County","0118","Hapeville Charter Career Academy","H","09-11","6045 Buffington Rd","Atlanta","GA","30349-3602","6045 Buffington Rd","Atlanta","30349-3602","Jannard","Rainey","jrainey@hapevillecharter.org","404.766.0101",
"660","Fulton County","0204","KIPP South Fulton Academy School","M","05-08","1286 Washington Ave ","Atlanta","GA","30344-3537","1286 Washington Ave ","Atlanta","30344-3537","Jondre","Pryor","jpryor@kippsouthfulton.org","678.278.0160","678.278.0160"
"660","Fulton County","0406","Amana Academy School","E","KK-08","1565 Holcomb Bridge Rd ","Roswell","GA","30076-2517","1565 Holcomb Bridge Rd ","Roswell","30076-2517","Jeff","Weiner","jweiner@amanaacademy.org","678.795.1080","770.992.7270"
"660","Fulton County","0506","Fulton Science Academy High School","H","09-12","4100 Old Milton Pkwy ","Alpharetta","GA","30005-4442","4100 Old Milton Pkwy ","Alpharetta","30005-4442","Namik","Sercan","nsercan@fsahigh.org","770.475.3223",".."
"660","Fulton County","0602","Fulton Science Academy","M","06-08","1675 Hembree Rd","Alpharetta","GA","30004-2083","1675 Hembree Rd","Alpharetta","30004-2083","Kenan","Sener","ksener@fultonscience.org","770.753.4141","404.763.5529"
"663","Glynn County","4054","Risley Early College Academy","M","06-08","2900 Albany St ","Brunswick","GA","31520-4005","2900 Albany St ","Brunswick","31520-4005","Senetra","Haywood","shaywood@glynn.k12.ga.us","912.267.4160","912.267.4161"
"663","Glynn County","4752","Glynn Academy","H","09-12","1001 Mansfield St ","Brunswick","GA","31520-7349","1001 Mansfield St ","Brunswick","31520-7349","Scott","Spence","sspence@glynn.k12.ga.us","912.267.4210","912.267.4246"
"667","Gwinnett County","0908","New Life Academy of Excellence ","E","KK-02","3159 Campus Dr Ste 100 ","Norcross","GA","30071-1492","3159 Campus Dr Ste 100 ","Norcross","30071-1492","Alphonsa","Foward","alphonsa_foward@gwinnett.k12.ga.us","678.301.7002",
"667","Gwinnett County","1020","New Life Academy of Excellence Duluth","E","KK-07","4725 River Green Pkwy","Duluth","GA","30096-2567","4725 River Green Pkwy","Duluth","30096-2567","Alphonsa","Foward","afoward01@yahoo.com","678.301.7258",
"667","Gwinnett County","1312","Ivy Prepatory Academy School","M","06-09","5575 Peachtree Pkwy","Norcross","GA","30092-2551","5575 Peachtree Pkwy","Norcross","30092-2551","Daundria","Phillips","daundria_phillips@gwinnett.k12.ga.us","770.342.0089",
"668","Habersham County","0106","9th Grade Academy","H","09-09","3115 Demorest Mount Airy Hwy ","Demorest","GA","30535-5307","3115 Demorest Mount Airy Hwy ","Demorest","30535-5307","Pam","Dalton","pdalton@habersham.k12.ga.us","706.778.0830","706.778.0848"
"669","Hall County","0105","Lanier Career Academy","H","06-12","2723 Tumbling Creek Rd ","Gainesville","GA","30504-5863","2723 Tumbling Creek Rd ","Gainesville","30504-5863","Cindy","Blakley","cindy.blakley@hallco.org","770.531.2330","678.450.5978"
"669","Hall County","0112","World Language Academy","E","PK-06","4670 Winder Hwy","Flowery Branch","GA","30542","4670 Winder Hwy","Flowery Branch","30542","David","Moody","david.moody@hallco.org","770.967.5854",
"673","Hart County","0195","Hart County Academy","H","07-12","59 Fifth St ","Hartwell","GA","30643-2135","59 Fifth St ","Hartwell","30643-2135","Mark","Burns",,"706.856.7241","706.856.7312"
"676","Houston County","0300","Houston County Career Academy","H","09-12","1311 Corder Rd ","Warner Robins","GA","31088-7117","1311 Corder Rd ","Warner Robins","31088-7117","Sabrina","Phelps","sabrina.phelps@hcbe.net","478.322.3280","478.322.3294"
"681","Jefferson County","1550","Louisville Academy","E","PK-05","901 Mimosa Dr","Louisville","GA","30434-1443","901 Mimosa Dr","Louisville","30434-1443","Hulet","Kitterman","kittermanh@jefferson.k12.ga.us","478.625.7794","478.625.3548"
"698","McIntosh County","0104","McIntosh County Academy","H","09-12","8945 US Highway 17","Darien","GA","31305-4115","8945 US Highway 17 ","Darien","31305-4115","Larry","Day","lday@mcintosh.k12.ga.us","912.437.6691","912.437.3077"
"705","Murray County","0108","Mountain Creek Academy School","H","07-12","273 Harris St. ","Eton","GA","30724","P.O. Box 40 ","Chatsworth","30705","Paula","Martin","paula.martin@murray.k12.ga.us","706.517.5355",
"706","Muscogee County","0108","Eagle Ridge Academy","E","PK-05","7601 Schomburg Rd ","Columbus","GA","31909-1807","7601 Schomburg Rd ","Columbus","31909-1807","Joanna","Culbreth","Culbreth.Joanna.H@muscogee.k12.ga.us","706.569.3746",".."
"706","Muscogee County","0112","Early College Academy of Columbus at Waverly Terrace","H","09-12","2701 11th Ave","Columbus","GA","31904-8753","2701 11th Ave","Columbus","31904-8753","Linda","Willard","Willard.LindaS@muscogee.k12.ga.us","706.565.2965",
"706","Muscogee County","0296","Downtown Elementary Magnet Academy","E","PK-05","1400 1st Ave","Columbus","GA","31901-2122","1400 1st Ave","Columbus","31901-2122","Tonya","Douglass","Douglass.Tonya.T@muscogee.k12.ga.us","706.748.2702","706.748.2708"
"706","Muscogee County","0301","East Columbus Magnet Academy","M","06-08","6100 Georgetown Dr ","Columbus","GA","31907-7369","6100 Georgetown Dr ","Columbus","31907-7369","Kevin","Scott","Scott.Kevin.C@muscogee.k12.ga.us","706.565.3026","706.565.3031"
"706","Muscogee County","0501","Midland Academy","E","PK-05","7373 Psalmond Rd ","Midland","GA","31820-3629","7373 Psalmond Rd ","Midland","31820-3629","Janice","Miley","Miley.Janice.S@muscogee.k12.ga.us","706.569.3664","706.569.3668"
"706","Muscogee County","1066","Reese Road Leadership Academy","E","PK-05","3100 Reese Rd ","Columbus","GA","31907-1610","3100 Reese Rd ","Columbus","31907-1610","Jeanella","Pendleton","Pendleton.Jeanella.F@muscogee.k12.ga.us","706.569.3684","706.569.3688"
"706","Muscogee County","3056","Britt David Elementary Computer Magnet Academy","E","KK-05","5801 Armour Rd","Columbus","GA","31909-4530","5801 Armour Rd","Columbus","31909-4530","Veronica","Collins","Collins.Veronica.J@muscogee.k12.ga.us","706.748.2617","706.748.2620"
"706","Muscogee County","4058","Lonnie Jackson Academy","E","PK-05","4601 Buena Vista Rd ","Columbus","GA","31907-4998","4601 Buena Vista Rd ","Columbus","31907-4998","Ramona","Jones","Jones.Ramona.V@muscogee.k12.ga.us","706.565.3039","706.565.3046"
"707","Newton County","0113","Challenge Charter Academy","H","06-12","8134 Geiger St NW","Covington","GA","30014-1288","8134 Geiger St NW","Covington","30014-1288","Ernetta","Worthy","worthy.ernetta@newton.k12.ga.us","770.784.9310",
"715","Polk County","0207","Harpst Academy","M","04-11","740 Fletcher St ","Cedartown","GA","30125-3249","740 Fletcher St ","Cedartown","30125-3249","Judy","Alred","bparks@murphyharpst.org ","770.748.1500",
"721","Richmond County","4060","Academy of Richmond County High School","H","09-12","910 Russell St","Augusta","GA","30904-4116","910 Russell St","Augusta","30904-4116","Carl","Spivey","spiveti@boe.richmond.k12.ga.us","706.737.7152","7067377155"
"726","Spalding County","0208","AZ Kelsey Academy","H","09-12","200 A Z Kelsey Ave ","Griffin","GA","30223-3133","200 A Z Kelsey Ave ","Griffin","30223-3133","Janet","Ware","janet.ware@gscs.org","770.229.4365",
"741","Troup County","0207","Bradfield Center - Ault Academy","H","07-11","1022 E Depot St ","Lagrange","GA","30241-3412","1022 E Depot St ","Lagrange","30241-3412","Etta","Billingslea","ebillingslea@twinceadars.org","706.884.1717",
"754","White County","0204","White County 9th Grade Academy","H","09-09","328 Old Blairsville Rd ","Cleveland","GA","30528-1134","328 Old Blairsville Rd ","Cleveland","30528-1134","Stephen","Gill","sgill@white.k12.ga.us","706.865.0727","706.865.0737"
"755","Whitfield County","0105","Whitfield County Career Academy","H","PK-12","2300 Maddox Chapel Rd NE ","Dalton","GA","30721-6645","2300 Maddox Chapel Rd NE ","Dalton","30721-6645","Tim","Fleming","tim_fleming@whitfield.k12.ga.us","706.876.3609","706.876.3602"
"761","Atlanta Public Schools","0103","Heritage Academy Elementary","E","PK-05","3500 Villa Cir SE","Atlanta","GA","30354-2848","3500 Villa Cir SE","Atlanta","30354-2848","Trennis","Harvey","nbernal@atlanta.k12.ga.us","404.802.8650","404.608.8321"
"761","Atlanta Public Schools","0115","Kipp Strive Academy","M","05-07","1444 Lucile Ave SW","Atlanta","GA","30310-1217","1444 Lucile Ave SW","Atlanta","30310-1217","Ed","Chang","echang@kippstrive.org","404.753.1530",
"761","Atlanta Public Schools","0117","Atlanta Preparatory Academy","E","KK-07","569 Martin Luther King Jr Dr NW","Atlanta","GA","30314-4164","569 Martin Luther King Jr Dr NW","Atlanta","30314-4164","Lynnette","Walker","lwalker@atlantaprepacademy.org","404.492.5362",
"761","Atlanta Public Schools","0118","The Best Academy at Benjamin S. Carson High School","H","09-10","1820 Mary Dell Dr SE","Atlanta","GA","30316-3639","1820 Mary Dell Dr SE","Atlanta","30316-3639","Boris","Hurst","lshelton@atlanta.k12.ga.us","404.802.494",
"761","Atlanta Public Schools","0120","Coretta Scott King Young Women's Academy Middle School","M","06-08","1190 Northwest Dr Nw","Atlanta","GA","30318-4571","1190 Northwest Dr Nw","Atlanta","30318-4571","Dione","Simon","dsimon@atlanta.k12.ga.us","404.802.4962",
"761","Atlanta Public Schools","0121","Coretta Scott King Young Women's Academy High School","H","09-10","1190 Northwest Dr Nw","Atlanta","GA","30318-4571","1190 Northwest Dr Nw","Atlanta","30318-4571","Termerion","McCrary","tmccrary@atlanta.k12.ga.us","404.802.4900",
"761","Atlanta Public Schools","0124","Intown Charter Academy","E","KK-07","386 Pine St NE","Atlanta","GA","30308-2532","386 Pine St NE","Atlanta","30308-2532","Lola","Burse","lola.burse@intown.edisonlearning.com","404.881.1030",
"761","Atlanta Public Schools","0303","Bolton Academy","E","PK-05","2268 Adams Dr NW ","Atlanta","GA","30318-1918","2268 Adams Dr NW ","Atlanta","30318-1918","Laura","Strickling","lstrickling@atlanta.k12.ga.us","404.802.8350","***.***.****"
"761","Atlanta Public Schools","0304","Deerwood Academy School","E","PK-05","3070 Fairburn Rd SW","Atlanta","GA","30331-5503","3070 Fairburn Rd SW","Atlanta","30331-5503","Noletha","High","nhigh@atlanta.k12.ga.us","404.802.3300","404.349.6736"
"761","Atlanta Public Schools","0405","University Community Academy","E","PK-08","2050 Tiger Flowers Dr NW ","Atlanta","GA","30314-1326","2050 Tiger Flowers Dr NW ","Atlanta","30314-1326","Amber","Jones","a.jones@uca-atlanta.com","404.753.4050","404.753.0290"
"761","Atlanta Public Schools","0605","KIPP West Atlanta Young Scholars Academy","M","05-08","80 Joseph E Lowery Blvd NW ","Atlanta","GA","30314-3421","80 Joseph E Lowery Blvd NW ","Atlanta","30314-3421","Kimberly","Karacalidis","kkaracalidis@kippways.org","404.475.1941","404.475.1946"
"761","Atlanta Public Schools","1208","Imagine Wesley International Academy Charter Facility","E","KK-08","1049 Custer Ave SE ","Atlanta","GA","30316-3100","1049 Custer Ave SE ","Atlanta","30316-3100","Henry","Stephens","henry.stephens@imagineschools.com","678.904.9137",
"761","Atlanta Public Schools","1408","The Best Academy at Benjamin S. Carson","M","06-08","1890 Donald Lee Hollowell Parkway ","Atlanta","GA","303184800","1890 Donald Lee Hollowell Parkway ","Atlanta","303184800","Jerry","Parker","jparker@atlanta.k12.ga.us","404.802.4944",
"761","Atlanta Public Schools","4568","Washington High School Senior Academy","H","10-12","45 Whitehouse Dr SW","Atlanta","GA","30314-2934","45 Whitehouse Dr SW","Atlanta","30314-2934","Tiauna","Crooms","tcrooms@atlanta.k12.ga.us","404.802.4600","404.752.0730"
"763","Bremen City","0110","Bremen 4th & 5th Grade Academy","E","04-05","2440 Crosstown Pkwy","Bremen","GA","30110-5433","504 Laurel St.","Bremen","30110","Christa","Smith","christa.smith@bremencs.com","770.537.9340",
"764","Buford City","0100","Buford Academy","E","02-05","2705 Robert Bell Pkwy ","Buford","GA","30518-2528","2705 Robert Bell Pkwy ","Buford","30518-2528","Joy","Davis","joy.davis@bufordcityschools.org","678.482.6960","678.482.6969"
"776","Gainesville City","0104","New Holland Core Knowledge Academy","E","PK-05","170 Barn St ","Gainesville","GA","30501-8945","170 Barn St ","Gainesville","30501-8945","Pam","Wood","pam.wood@gcssk12.net","770.287.1095","770.287.1096"
"776","Gainesville City","0193","Centennial Arts Academy","E","KK-05","852 Century Pl ","Gainesville","GA","30501-3065","852 Century Pl ","Gainesville","30501-3065","Charlene","Williams","charlene.williams@gcssk12.net","770.287.2044","770.287.2047"
"776","Gainesville City","0204","Gainesville Exploration Academy","E","KK-05","1145 McEver Rd ","Gainesville","GA","30504-3933","1145 McEver Rd ","Gainesville","30504-3933","Priscilla","Collins","priscilla.collins@gcssk12.net","770.287.1223","770.535.3798"
"776","Gainesville City","0210","Wood's Mill Academy","H","07-12","715 Woodsmill Rd","Gainesville","GA","30501-3020","715 Woodsmill Rd","Gainesville","30501-3020","Linda","Youngblood","linda.youngblood@gcssk12.net","770.287.2021",
"776","Gainesville City","2050","Enota Multiple Intelligences Academy","E","PK-05","1340 Enota Ave NE ","Gainesville","GA","30501-1918","1340 Enota Ave NE ","Gainesville","30501-1918","Matt","Maynor",,"770.532.7711","770.287.2011"
"779","Jefferson City","0107","Jefferson Academy","E","03-05","99 Dragon Dr ","Jefferson","GA","30549","99 Dragon Dr ","Jefferson","30549","DeMaris","Gurley","dgurley@jeffcityschools.org","706.367.2300",
"7820112","State Charter Schools- Scholars Academy Charter School","0112","Scholars Academy Charter School","E","KK-05","6449 Church St","Riverdale","GA","30274-2004","6449 Church St","Riverdale","30274","Carlotta","Blatch","cblatch@scholarsacademy.us","770.756.9710",
"7820212","State Charter Schools- Cherokee Charter Academy","0212","Cherokee Charter Academy","E","KK-07","2126 Sixes Rd","Canton","GA","30114-8162","2126 Sixes Rd","Canton","30114-8162",,,"sbrow@wtdschools.org","678.385.7322",
"7820312","State Charter Schools- Heritage Preparatory Academy School","0312","Heritage Preparatory Academy School","M","06-06","3350 Greenbriar Pkwy SW","Atlanta","GA","30331-2613","3350 Greenbriar Pkwy SW","Atlanta","30331-2613",,,,"404.999.9999",
"7820412","State Charter Schools- Georgia Connections Academy","0412","Georgia Connections Academy","M","KK-08","2763 Meadow Church Rd Ste 208","Duluth","GA","30097-4989","2763 Meadow Church Rd Ste 208","Duluth","30097-4989",,,"hjrobinson@connectionsacademy.com","678.379.3481",
"7820512","State Charter Schools- Ivy Preparatory Young Men's Leadership Academy School","0512","Ivy Preparatory Young Men's Leadership Academy School","E","KK-06","1807 Memorial Dr SE","Atlanta","GA","30317-2103","1807 Memorial Dr SE","Atlanta","30317-2103",,,,"678.451.4094",
"7820612","State Charter Schools- Ivy Prep Academy at Kirkwood for Girls School","0612","Ivy Prep Academy at Kirkwood for Girls School","E","KK-06","1807 Memorial Dr SE","Atlanta","GA","30317-2103","1807 Memorial Dr SE","Atlanta","30317-2103",,,,"678.451.4094",
"7830210","Commission Charter Schools- Pataula Charter Academy","0210","Pataula Charter Academy","E","KK-07","18637 Hartford St","Edison","GA","39846-5605","18637 Hartford St","Edison","39846-5605","Kylie","Holley","kylieholley@pataula.org","229.835.3322",
