"County Name","District Name","District City","School Name","School Street Address","School City","School State","School Zip","Phone","Fax","Email Address","School Principal","Grade Range","Enrollment"
"BEXAR COUNTY","LIGHTHOUSE CHARTER SCHOOL","SAN ANTONIO","LIGHTHOUSE CHARTER SCHOOL","2718 FRONTIER DR","SAN ANTONIO","TX","78227","(210) 674-4100","(210) 674-4108","apc3103@yahoo.com","MS DEBORAH MURPHY   ","'PK-12","221"
"ERATH COUNTY","PREMIER HIGH SCHOOLS","LEWISVILLE","PREMIER H S OF SAN JUAN","P O BOX 292730","LEWISVILLE","TX","75029","(956) 961-4721","(956) 961-4724","aprado@responsiveed.com","    ","'06-12","0"
"MONTGOMERY COUNTY","TEXAS SERENITY ACADEMY","HOUSTON","TEXAS SERENITY ACADEMY","530 N SAM HOUSTON PKWY STE 213","HOUSTON","TX","77060","(936) 334-8700","(936) 334-8700","asahibe@hsatx.org","EDWARD WATSON   ","'06-12","0"
"HARRIS COUNTY","KIPP INC CHARTER","HOUSTON","KIPP SHARP COLLEGE PREP","10711 KIPP WAY","HOUSTON","TX","77099","(281) 879-3000","(281) 915-0074","asalman@kipp.org","CHUNG-HAO FU   ","'PK-04","778"
"DALLAS COUNTY","INSPIRED VISION ACADEMY","DALLAS","INSPIRED VISION ACADEMY","9424 MILITARY PKWY","DALLAS","TX","75227","(214) 391-7964","(214) 391-7954","aseay@rylieffa.com","LANA SPRAYBERRY KING   ","'PK-05","507"
"DALLAS COUNTY","INSPIRED VISION ACADEMY","DALLAS","INSPIRED VISION","9424 MILITARY PKWY","DALLAS","TX","75227","(972) 285-5758","(972) 285-0061","aseay@rylieffa.com","MS LUCY SIMPKINS   ","'06-08","437"
"DALLAS COUNTY","UPLIFT EDUCATION - WILLIAMS PREPARATORY","IRVING","UPLIFT EDUCATION - HEIGHTS PREP MIDDLE","606 E ROYAL LN","IRVING","TX","75039","(469) 621-8553","(214) 276-0363","astevenson@uplifteducation.org","DIONEL WATERS   ","'06-08","148"
"TARRANT COUNTY","UPLIFT EDUCATION-SUMMIT INTERNATIONAL PREPARATORY","IRVING","UPLIFT MIGHTY PREP","606 E ROYAL LN","IRVING","TX","75039"," "," ","astevenson@uplifteducation.org","    ","'KG-12","0"
"TARRANT COUNTY","UPLIFT EDUCATION-SUMMIT INTERNATIONAL PREPARATORY","IRVING","LAUREATE SECONDARY PREPARATORY","606 E ROYAL LN","IRVING","TX","75039"," "," ","astevenson@uplifteducation.org","    ","'06-12","0"
"TARRANT COUNTY","UPLIFT EDUCATION-SUMMIT INTERNATIONAL PREPARATORY","IRVING","UPLIFT MERIDIAN PREP","606 E ROYAL LN","IRVING","TX","75039"," "," ","astevenson@uplifteducation.org","    ","'KG-08","0"
"BEXAR COUNTY","SAN ANTONIO ISD","SAN ANTONIO","AUSTIN ACADEMY","621 W EUCLID AVE","SAN ANTONIO","TX","78212-4737","(210) 226-5441","(210) 226-6192","austinacad@saisd.net","MS MARIBEL RODRIGUEZ   ","'EE-08","323"
"EL PASO COUNTY","CANUTILLO ISD","CANUTILLO","NORTHWEST EARLY COLLEGE H S (NECHS)","P O BOX 100","CANUTILLO","TX","79835"," "," ","avasquez@canutillo-isd.org","MS PEGGY GUSTAFSON   ","'09-12","263"
"BEXAR COUNTY","SAN ANTONIO ISD","SAN ANTONIO","DAVID BARKLEY/FRANCISCO RUIZ EL","1111 S NAVIDAD ST","SAN ANTONIO","TX","78207-5824","(210) 227-4022","(210) 227-4029","barkleyruizel@saisd.net","MS BELINDA HERNANDEZ   ","'EE-05","516"
"NUECES COUNTY","SEASHORE CHARTER SCHOOLS","CORPUS CHRISTI","SEASHORE MIDDLE ACAD","14493 S PADRE IS DR PMB385","CORPUS CHRISTI","TX","78418","(361) 654-1134","(361) 654-1139","bbeeler@seashore.esc2.net","MARIA THOMPSON   ","'05-08","145"
"TRAVIS COUNTY","KIPP AUSTIN PUBLIC SCHOOLS INC","AUSTIN","KIPP AUSTIN CONNECTIONS EL","8509 FM 969 BLDG 513","AUSTIN","TX","78724","(512) 501-3643","(512) 672-6228","bblevins@kippaustin.org","BETHENY BLEVINS   ","'PK-04","0"
"DALLAS COUNTY","UPLIFT EDUCATION - NORTH HILLS PREPARATORY","IRVING","UPLIFT EDUCATIION-NORTH HILLS PREP PRI","606 E ROYAL LN","IRVING","TX","75039","(972) 501-0645","(972) 501-9439","bchristensen@uplifteducation.org","N BECKY CHRISTENSEN   ","'KG-05","511"
"BEXAR COUNTY","GEORGE GERVIN ACADEMY","SAN ANTONIO","GEORGE GERVIN ACADEMY","6944 SUNBELT DR","SAN ANTONIO","TX","78218","(210) 568-8800","(210) 568-8897","bdhawkins@gervin-school.org","    ","'PK-12","1249"
"EL PASO COUNTY","EL PASO ACADEMY","EL PASO","EL PASO ACADEMY WEST","11000 ARGAL CT","EL PASO","TX","79935","(915) 845-7997","(915) 845-7522","bduggar@elpacademy.com","MS BARBARA DUGGAR   ","'09-12","228"
"GALVESTON COUNTY","GALVESTON ISD","GALVESTON","EARLY CHILDHOOD UNIVERSITY","P O BOX 660","GALVESTON","TX","77553","(409) 761-6400","(409) 740-5106","Beatriz_Rodriquez@GISD.org","MRS BEATRIZ RODRIQUEZ   ","'EE-04","400"
"HARRIS COUNTY","HOUSTON ISD","HOUSTON","ENERGIZED FOR SCIENCE TECHNOLOGY ENGINEERING MIDDL","6201 BISSONNET","HOUSTON","TX","77081-6809","(713) 773-3600","(713) 773-3630","bking3@houstonisd.org","BRIDGET E KING   ","'06-08","223"
"DALLAS COUNTY","WINFREE ACADEMY CHARTER SCHOOLS","IRVING","WINFREE ACADEMY NORTH RICHLAND HILLS","6221 RIVERSIDE DR STE 110","IRVING","TX","75089","(972) 869-3250","(972) 869-3282","blandis@wacsd.com","MR BRAD LANDIS   ","'09-12","345"
"ANGELINA COUNTY","PINEYWOODS COMMUNITY ACADEMY","LUFKIN","PINEYWOODS COMMUNITY ACADEMY EL","602 S RAGUET","LUFKIN","TX","75904","(936) 634-5515","(936) 634-5518","bmarchand@pineywoodsacademy.org","BRUCE MARCHAND   ","'PK-06","344"
"ERATH COUNTY","PREMIER HIGH SCHOOLS","LEWISVILLE","PREMIER H S OF DEL RIO","P O BOX 292730","LEWISVILLE","TX","75029","(830) 298-2100","(830) 298-2122","bmartinez@responsiveed.com","    ","'06-12","0"
"HARRIS COUNTY","BEATRICE MAYES INSTITUTE CHARTER SCHOOL","HOUSTON","BEATRICE MAYES INSTITUTE CHARTER SCHOOL","5807 CALHOUN","HOUSTON","TX","77021","(713) 747-5629","(713) 747-5683","bmayes@bmicharter.org","BEATRICE MAYES   ","'KG-08","430"
"DALLAS COUNTY","FAITH FAMILY ACADEMY OF OAK CLIFF","DESOTO","FAITH FAMILY ACADEMY OF OAK CLIFF","1620 FALCON DR","DESOTO","TX","75115","(214) 375-7682","(214) 375-7681","bmcgeorge@faithfamilyacademy.org","BRENDA MCGEORGE   ","'09-12","175"
"DALLAS COUNTY","FAITH FAMILY ACADEMY OF OAK CLIFF","DESOTO","FAITH FAMILY ACADEMY OF OAK CLIFF","1620 FALCON DR","DESOTO","TX","75115","(214) 375-7682","(214) 375-7681","bmcgeorge@faithfamilyacademy.org","BRENDA MCGEORGE   ","'06-08","268"
"DALLAS COUNTY","FAITH FAMILY ACADEMY OF OAK CLIFF","DESOTO","FAITH FAMILY ACADEMY OF OAK CLIFF","1620 FALCON DR","DESOTO","TX","75115","(214) 375-7682","(214) 375-7681","bmcgeorge@faithfamilyacademy.org","BRENDA MCGEORGE   ","'PK-05","901"
"JEFFERSON COUNTY","BOB HOPE SCHOOL","PORT ARTHUR","BOB HOPE SCHOOL","2849 9TH AVE","PORT ARTHUR","TX","77642","(409) 351-1080","(409) 983-6408","bobby.lopez@bobhopeschool.org","BOBBY LOPEZ   ","'06-12","204"
"BEXAR COUNTY","SAN ANTONIO ISD","SAN ANTONIO","BONHAM ACADEMY","925 S ST MARY'S ST","SAN ANTONIO","TX","78205-3410","(210) 228-3300","(210) 223-3899","bonhamacad@saisd.net","MS JANET PEREZ   ","'EE-08","471"
"HARRIS COUNTY","EXCEL ACADEMY","HOUSTON","BURNETT-BAYLAND RECEPTION CENTER","6500 A CHIMNEY ROCK","HOUSTON","TX","77081","(713) 222-4429","(713) 222-4460","brett.thorne@hcjpd.hctx.net","BRETT HIGGINS-THORNE   ","'03-12","146"
"BEXAR COUNTY","SAN ANTONIO ISD","SAN ANTONIO","BRISCOE EL","2015 S FLORES ST","SAN ANTONIO","TX","78204-1990","(210) 222-8782","(210) 222-0822","briscoeacad@saisd.net","MS LANORE CANTU   ","'EE-05","618"
"BEXAR COUNTY","SOUTHWEST PREPARATORY SCHOOL","SAN ANTONIO","SOUTHWEST PREPARATORY SCHOOL-NORTHWEST","6535 CULEBRA RD","SAN ANTONIO","TX","78238-4910","(210) 432-2634","(210) 432-5482","brooks.green@swprep.org","MR BROOKS GREEN   ","'09-12","304"
"EL PASO COUNTY","BURNHAM WOOD CHARTER SCHOOL DISTRICT","EL PASO","DAVINCI SCHOOL FOR SCIENCE AND THE ARTS","7310 BISHOP FLORES DR","EL PASO","TX","79912","(915) 584-4024","(915) 581-9840","bsamudio@burnhamwood.org","MS BRENDA LEE SAMUDIO   ","'05-12","505"
"HARRIS COUNTY","HOUSTON ISD","HOUSTON","REACH CHARTER","520 MERCURY DR","HOUSTON","TX","77013-5299","(713) 675-1118","(713) 671-3612","bsimmon1@houstonisd.org","BERTIE SIMMONS   ","'11 12","362"
"BEXAR COUNTY","SAN ANTONIO ISD","SAN ANTONIO","CAMERON EL","3635 BELGIUM LN","SAN ANTONIO","TX","78219-2505","(210) 224-0310","(210) 224-2954","cameronel@saisd.net","MS PAMELA A TANKERSON   ","'EE-05","346"
"HARRIS COUNTY","HOUSTON ISD","HOUSTON","KANDY STRIPE ACADEMY","5310 SOUTHLEA","HOUSTON","TX","77033-1727","(713) 734-4909","(713) 731-2780","cander12@houstonisd.org","MS CASSANDRA ANDERSON   ","'PK-08","435"
"HIDALGO COUNTY","IDEA PUBLIC SCHOOLS","WESLACO","IDEA COLLEGE PREPARATORY SAN BENITO","2151 RUSSELL LN","SAN BENITO","TX","78586","(956) 399-5252","(956) 361-9478","carrie.sauceda@ideapublicschools.org","CARRIE SAUCEDA   ","'06-11","482"
"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL","AUSTIN","PATHFINDER CAMP","P O BOX 7667","AUSTIN","TX","78713-7667","(512) 858-4258","(512) 858-2329","cberryhill@austin.utexas.edu","CATHY BERRYHILL   ","'KG-12","17"
"HIDALGO COUNTY","SOUTH TEXAS EDUCATIONAL TECHNOLOGIES INC","WESLACO","HORIZON MONTESSORI","221 N MAIN ST","MCALLEN","TX","78501","(956) 668-1400","(956) 380-5110","ccampos@horizonmontessori.net","CAROLINA CAMPOS   ","'PK-08","401"
"TAYLOR COUNTY","TEXAS COLLEGE PREPARATORY ACADEMIES","LEWISVILLE","VISTA ACADEMY OF COPPELL","P O BOX 292730","LEWISVILLE","TX","75029","(972) 242-5864","(972) 245-2820","ccisk@responsiveed.com","CHRIS SISK   ","'PK-12","119"
"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL","AUSTIN","METHODIST CHILDREN'S HOME","P O BOX 7667","AUSTIN","TX","78713-7667","(254) 750-1298","(254) 750-1307","ccunningham1@mail.utexas.edu","CRISTY CUNNINGHAM   ","'KG-12","163"
"TARRANT COUNTY","PRIME PREP ACADEMY","FORT WORTH","PRIME PREP ACADEMY","4400 PANOLA AVE","FORT WORTH","TX","76103","(214) 530-6207","(817) 840-5999","cdjones@primetimeplayer.com","    ","'KG-12","0"
"DALLAS COUNTY","CARROLLTON-FARMERS BRANCH ISD","CARROLLTON","EARLY COLLEGE H S","3939  VLY VIEW LN  BLDG G","DALLAS","TX","75244","(972) 968-6200","(972) 968-6270","cfbinfo@cfbisd.edu","ROSA OLIVERIA   ","'09-12","252"
"HARRIS COUNTY","UNIVERSITY OF HOUSTON CHARTER SCHOOL","HOUSTON","UNIV OF HOUSTON CHARTER SCH-TECH","3855 HOLMAN ST MELCHER GYM 100","HOUSTON","TX","77204-6019","(713) 743-9107","(713) 743-9121","cfblack@uh.edu","CAROLYN BLACK   ","'KG-05","135"
"DALLAS COUNTY","UPLIFT EDUCATION - PEAK PREPARATORY","IRVING","UPLIFT EDUCATION-PEAK PREP PRI","606 E ROYAL LN","IRVING","TX","75039-3503","(214) 821-7325","(214) 370-3972","cgarcia@uplifteducation.org","CHRIS GARCIA   ","'KG-05","378"
"HARRIS COUNTY","SER-NINOS CHARTER SCHOOL","HOUSTON","SER-NINOS CHARTER EL II","5815 ALDER DR","HOUSTON","TX","77081","(713) 667-6145","(713) 667-0645","Charmconst@aol.com","CHARMAINE CONSTANTINE   ","'PK-05","0"
"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL","AUSTIN","AUSTIN DISCOVERY SCH","8509 FM 969 STE 200","AUSTIN","TX","78724","(512) 674-0700","(512) 407-8373","chenley@austindiscoveryschool.org","KELLY MCREE   ","'KG-06","375"
"DALLAS COUNTY","DALLAS ISD","DALLAS","GABE P ALLEN CHARTER SCHOOL","5220 NOMAS ST","DALLAS","TX","75212-3229","(972) 794-5100","(972) 794-5101","chovseth@dallasisd.org","CONSTANCE HOVSETH   ","'PK-05","639"
"HARRIS COUNTY","YES PREP PUBLIC SCHOOLS INC","HOUSTON","YES PREP - SOUTHWEST CAMPUS","4411 ANDERSON RD","HOUSTON","TX","77053","(713) 967-9200","(713) 413-0003","Chris.claflin@yesprep.org","CHRIS CLAFLIN   ","'06-12","689"
"HIDALGO COUNTY","IDEA PUBLIC SCHOOLS","WESLACO","IDEA COLLEGE PREP","401 S 1ST ST","DONNA","TX","78537","(956) 464-0203","(956) 464-8532","christina.cavazos-escamilla@ideapublicsc","CHRISTINA CAVAZOS-ESCAMILLA   ","'06-12","785"
"BEXAR COUNTY","JOHN H WOOD JR PUBLIC CHARTER DISTRICT","SAN ANTONIO","GARZA COUNTY","800 N AVE F","POST","TX","79356","(210) 638-5800","(210) 638-5875","cjohnson@woodcharter.com","MR CARLTON JOHNSON   ","'05-12","55"
"DALLAS COUNTY","HONORS ACADEMY","DALLAS","QUEST ACADEMY","12300 FORD RD STE 270","DALLAS","TX","75234","(972) 753-6165","(214) 946-5150","clacey@honorsacademy.org","CERONE LACEY   ","'06-12","132"
"DALLAS COUNTY","HONORS ACADEMY","DALLAS","LEGACY H S","601 S WASHINGTON","KAUFMAN","TX","75142","(972) 932-3814","(972) 962-2265","clacey@honorsacademy.org","CERONE LACEY   ","'06-12","185"
"DALLAS COUNTY","CHILDREN FIRST ACADEMY OF DALLAS","DALLAS","CHILDREN FIRST OF DALLAS","315 E WHEATLAND RD","DALLAS","TX","75241","(214) 371-2545","(214) 371-0283","claudisallen@aol.com","MS TIFFANI MOHAMMAD   ","'PK-07","466"
"HARRIS COUNTY","WALIPP-TSU PREPARATORY ACADEMY","HOUSTON","WALIPP-TSU PREPARATORY ACADEMY","5760 CULLEN BLVD","HOUSTON","TX","77021","(713) 741-3600","(713) 741-3603","clawson@walipp.org","MICHON BENSON   ","'06-08","0"
"DALLAS COUNTY","CHILDREN FIRST ACADEMY OF DALLAS","DALLAS","THE CHILDREN FIRST ACADEMY - HOUSTON","7803 E LITTLE YORK","HOUSTON","TX","77016","(713) 491-9030","(713) 491-9032","cmac45@aol.com","    ","'PK-07","0"
"BELL COUNTY","TRANSFORMATIVE CHARTER ACADEMY","KILLEEN","TRANSFORMATIVE CHARTER ACADEMY","802 N 8TH ST","KILLEEN","TX","76541-4818","(254) 628-8989","(254) 628-8981","cmorganscott1@transformativecharter.org","CLAUDETTE MORGAN-SCOTT   ","'09-12","75"
"HARRIS COUNTY","COMQUEST ACADEMY","TOMBALL","COMQUEST ACADEMY","207 N PEACH ST","TOMBALL","TX","77375","(281) 516-0611","(281) 290-6524","comquest_academy@sbcglobal.net","TANIS STANFIELD   ","'06-12","83"
"HARRIS COUNTY","STEPPING STONES CHARTER EL","HOUSTON","STEPPING STONES CHARTER EL","11250 S WILCREST","HOUSTON","TX","77099","(281) 988-7797","(281) 988-7736","contact@steppingstoneshouston.com","WILLIAM CLARK   ","'EE-08","233"
"HARRIS COUNTY","NORTH FOREST ISD","HOUSTON","YES PREP NORTH FOREST CAMPUS","6602 WINFIELD RD","HOUSTON","TX","77050","(713) 967-8600","(713) 636-8018","CONTACTUS@nfisd.org","ELDRIDGE GILBERT   ","'06-07 09 10","212"
"TARRANT COUNTY","NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON","ARLINGTON","NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON","2350 E MAYFIELD RD","ARLINGTON","TX","76014","(717) 557-5880","(817) 557-3478","cooperdebbie@yahoo.com","DEBBIE COOPER   DONNA HART   ","'PK-12","0"
"BRAZOS COUNTY","BRAZOS SCHOOL FOR INQUIRY & CREATIVITY","BRYAN","BRAZOS SCHOOL FOR INQUIRY AND CREATIVITY BRYAN/COL","410 BETHEL LN","BRYAN","TX","77802","(979) 774-5032","(979) 774-5039","cosgood@thebrazosschool.org","MR CHRISTOPHER OSGOOD   ","'PK-12","99"
"DALLAS COUNTY","UPLIFT EDUCATION - HAMPTON PREPARATORY","IRVING","UPLIFT EDUCATION-HAMPTON PREP PRI","606 E ROYAL LN","IRVING","TX","75039","(972) 421-1982","(972) 421-1986","cowens@uplifteducation.org","    ","'KG-05","200"
"TARRANT COUNTY","FORT WORTH ACADEMY OF FINE ARTS","FORT WORTH","FORT WORTH ACADEMY OF FINE ARTS","3901 S HULEN ST","FORT WORTH","TX","76109","(817) 924-1482","(817) 926-9932","craig.schreckengast@fwafa.org","MR CRAIG SCHRECKENGAST   ","'07-12","337"
"TARRANT COUNTY","FORT WORTH ACADEMY OF FINE ARTS","FORT WORTH","FORT WORTH ACADEMY OF FINE ARTS EL","3901 S HULEN","FORT WORTH","TX","76109","(817) 924-1482","(817) 926-9932","craig.schreckengast@fwafa.org","MR CRAIG SCHRECKENGAST   ","'KG-06","145"
"BRAZOS COUNTY","BRYAN ISD","BRYAN","BRYAN COLLEGIATE H S","1901 VILLA MARIA","BRYAN","TX","77802","(979) 209-2793","(979) 209-2791","crichardson@bryanisd.org","MS CHRISTINA RICHARDSON   ","'09-12","315"
"HARRIS COUNTY","ALPHONSO CRUTCH'S-LIFE SUPPORT CENTER","HOUSTON","ALPHONSO CRUTCH'S-LIFE SUPPORT CENTER","7115 CLAREWOOD","HOUSTON","TX","77036","(713) 779-9990","(713) 779-3047","crutchschool@aol.com","DEBRA H GADDIS   ","'06-12","0"
"HARRIS COUNTY","SPRING BRANCH ISD","HOUSTON","CORNERSTONE ACADEMY","9026 WESTVIEW","HOUSTON","TX","77055-4602","(713) 251-1600","(713) 365-5787","CSA@springbranchisd.com","JILL WRIGHT   ","'06-08","388"
"BEXAR COUNTY","JUBILEE ACADEMIC CENTER","SAN ANTONIO","HARLINGEN LEADERSHIP ACADEMY","4434 ROLAND","SAN ANTONIO","TX","78222","(956) 364-2456","(956) 364-2453","csadler@jubileeacademic.org","DR CINDY SADLER   ","'PK-12","0"
"BEXAR COUNTY","JUBILEE ACADEMIC CENTER","SAN ANTONIO","BCFS - SAN ANTONIO","4434 ROLAND RD","SAN ANTONIO","TX","78222","(210) 639-6619","(210) 337-2357","csaldana@jubileeacademic.org","EDUARDO O SALDANA   ","'KG-12","27"
"HARRIS COUNTY","HOUSTON ISD","HOUSTON","WILLIAMS MIDDLE","6100 KNOX ST","HOUSTON","TX","77091-4143","(713) 696-2600","(713) 696-2604","CSEYMOU1@houstonisd.org","COREY SEYMOUR   ","'06-08","441"
"HARRIS COUNTY","KIPP INC CHARTER","HOUSTON","KIPP INTREPID PREPARATORY SCHOOL","10711 KIPP WAY","HOUSTON","TX","77099","(281) 879-3100","(713) 924-5046","csimmons@kipphouston.org","CARRIE-ANNE SIMMONS   ","'06-08","180"
"BEXAR COUNTY","JOHN H WOOD JR PUBLIC CHARTER DISTRICT","SAN ANTONIO","JOHN H WOOD JR CHARTER SCHOOL AT AFTON OAKS","620 E AFTON OAKS BLVD","SAN ANTONIO","TX","78232-1236","(210) 638-5000","(210) 638-5575","cskipper@woodcharter.com","MR CHRIS SKIPPER   ","'05-12","122"
"BEXAR COUNTY","JUBILEE ACADEMIC CENTER","SAN ANTONIO","JUBILEE ACADEMY","4434 ROLAND","SAN ANTONIO","TX","78222","(210) 333-6227","(210) 337-2357","cstewart@jubileeacademic.org","CHERYL STEWART   ","'PK-12","543"
