"School Name","Contact","Address","City","State","Zip","Telephone","E-Mail","Fax","Web Site"
"LEAP Academy University Charter School","Deanna Burney","549 Cooper Street","Camden","NJ","8102","(856) 614-0400","deanna_burney@post.harard.edu","(856) 342-7900","www.leapacademycharter.org"
"Learning Community Charter School","Susan Grierson","One Canal Street","Jersey City","NJ","7302","(201) 332-0900","susan-grierson@lccsnj.org","(201) 332-4981","http://www.lccsnj.org"
"Liberty Academy Charter School","Anna VillaFane","211 Sherman Avenue","Jersey City","NJ","7307","(201) 217-6771","avilafane@libertyacademy.org","(201) 217-6772","www.libertyacademy.org"
"Maria L. Varisco-Rogers Charter School","Teresa Segarra","233 Woodside Ave. P.O. Box 400010","Newark","NJ","7104","(973) 481-9001","office@mvrogerscharter.org","(973) 481-9004","www.mvrogerscharter.org"
"Marion P. Thomas Charter School","Lynette N. Tannis","370 South 7th Street","Newark","NJ","07103-2047","(973) 621-0060","principaltannis@yahoo.com","(973) 621-0061","www.mptcs.org"
"New Horizons Community Charter School","Andre Hollis","45-59 Hayes Street","Newark","NJ","7103","(973) 848-0400","ahollis@nhccschool.org","(973) 596-0984"
"Newark Educators Community Charter School","Joyce A. Kornegay","17-19 Crawford Street","Newark","NJ","7102","(973) 273-0020","JoyceAnnKornegay@aol.com",,"http://newarkeducators.org"
"North Star Academy Charter School of Newark","Michael Ambriz","10 Washington Place","Newark","NJ","7102","(973) 642-0101","mambriz@northstaracademy.org","(973) 642-5800","www.northstaracademy.org"
"Oceanside Charter School","Jeanine Middleton","1750 Bacharach Boulevard","Atlantic City","NJ","8404","(609) 348-3485","jmiddleton@oceansidecharter.com","(609) 348-5951","http://www.oceansidecharter.com"
"PACE Charter School of Hamilton","Michael Mikitish","1949 Hamilton Avenue","Hamilton Township","NJ","8619","(609) 587-2288","mikitish@pace.charter.k12.nj.us","(609) 587-8483","http://www.pacecharterschool.com"
"Paterson Charter School for Science and Technology","Emrah Ayhan","276 Wabash Avenue","Paterson","NJ","7503","(973) 247-0600","ayhan@pcsst.org","(973) 247-9924","www.pcsst.org"
"Paul Robeson Charter School for the Humanities","Barbara Gaeta","643 Indiana Ave.","Trenton","NJ","8638","(609) 394-7727","bgaeta@paulrobesoncs.org","(609) 394-7720","www.paulrobesoncs.org"
"PleasanTech Academy Charter School","Michael Carr","700 Black Horse Pike","Pleasantville","NJ","8232","(609) 383-1717","kmills@pleasantech.k12.nj.us","(609) 407-9949","www.pleasantech.com"
"Pride Academy Charter School","Fiona Thomas","117 Elmwood Avenue","East Orange","NJ","7018","(973) 672-3200","ffr.thomas@gmail.com","(973) 672-3207","www.prideacs.org"
"Princeton Charter School","Broderick Boxley","100 Bunn Drive","Princeton","NJ","8540","(609) 924-0575","bboxley@princetoncharter.org","(609) 924-0282","http://www.pcs.k12.nj.us"
"Queen City Academy Charter School","RaShawn Adams","815 West Seventh Street","Plainfield","NJ","7063","(908) 753-4700","radams@queencity.edu","(908) 753-4816","http://www.queencity.edu"
"Red Bank Charter School","Meredith Pennotti","58 Oakland Street","Red Bank","NJ","7701","(732) 450-2092","mpennotti@redbankcharterschool.com","(732) 936-1923","www.redbankcharterschool.com"
"Ridge and Valley Charter School","Nanci Dvorsky","1234 State Route 94","Blairstown","NJ","7825","(908) 362-1114","office@ridgeandvalley.org","(908) 362-6680","www.ridgeandvalley.org"
"Riverbank Charter School of Excellence","Beth Kelley","1300 Hornberger Avenue","Roebling","NJ","8554","(609) 499-4321","riverbankcharterschool@yahoo.com",,"www.riverbank.charter.k12.nj.us"
"Robert Treat Academy Charter School","Michael Pallante","443-463 Clifton Avenue","Newark","NJ","7104","(973) 482-8811","mapallanteRTA@aol.com","(973) 482-7681","www.RobertTreatAcademy.org"
"Schomburg Charter School","Emma Sheffield","508 Grand Street","Jersey City","NJ","7302","(201) 451-7770 ex121","esheffield@schomburgcharter.org","(201) 451-1770","www.schomburgcharter.org"
"Soaring Heights Charter School","Claudia Zuorick","1 Romar Avenue","Jersey City","NJ","7305","(201) 434-4800","soaringheights07302@yahoo.com","(201) 434-7474","www.soaringheightscharterschool.com"
"Sussex County Charter School of Technology","Jill Eckel","105 North Church Road","Sparta","NJ","7871","(973) 383-6700 x286","jeckel@sussex.tec.nj.us","(973) 383-2901","www.charter.sussex.tec.nj.us"
"TEAM Academy Charter School","Ryan E. Hill","85 Custer Avenue","Newark","NJ","7112","(973) 705","rhill@teamacademy.org","(973) 556-1238","http://www.teamschools.org"
"Teaneck Community Charter School","Rex Shaw","1650 Palisade Avenue","Teaneck","NJ","7666","(201) 833-9600","rshaw@tccsnj.org","(201) 833-9225","www.tccsnj.org"
"The Dr. Ellen G. Pressman Charter School","Doug Bolton","232 Front Street","Plainfield","NJ","7060","(908) 756-3500","norman@pressman1.com","(908) 756-8901","http://www.pressmancharterschools.com"
"The Ethical Community Charter School","Marta Beragamini","75 Broadway","Jersey City","NJ","7306","(201) 200-9121","sbrow@wtdschools.org","(201) 200-9121","http://www.teccs-jc.org"
"Trenton Community Charter School","Jerri Morrison","363 West State Street","Trenton","NJ","8618","(609) 393-3220","jmorrison@trentoncommunitycharterschool.org","(609) 393-8132","www.TrentonCommunityCharterSchool.org"
"Union County TEAMS","Sheila L. Thorpe","515-517 West Fourth Street","Plainfield","NJ","7060","(908) 754-9043","exec.dir@ucteams.org","(908) 754-7790","www.ucteams.org"
"Contact: Dr. Char Stanko, Lead Person","Char Stanko","340 Speedwell Avenue","Morristown","NJ","7960","(973) 292-1808","cstanko@unity-nj.org","(973) 267-9288","www.unity-nj.org"
"University Academy Charter High School","Erie Lugo","275 West Side Avenue","Jersey City","NJ","7305","(201) 200-3200","elugo@njcu.edu","(201) 200-3262","www.njcu.edu/uachs",,"Jr"
"University Heights Charter School","Misha Simmonds","74 Hartford Street","Newark","NJ","7103","(973) 623-1965","msimmonds@uhcs-newark.org","(973) 623-8511"
"Village Charter School","Aisha Thomas-Johnson","101 Sullivan Way","Trenton","NJ","8638","(609) 695-0110 ex114","administration@villagecharter.org","(609) 695-1880","www.villagecharter.org"
"Vineland Public Charter School","Yvonne Cribbs","1155B E. Landis Ave.","Vineland","NJ","8050","(856) 691-1004","yvonne.cribbs@gmail.com","(856) 691-1005","www.vinelandpubliccharterschool.org"

