"District","School Code","School Name","Principal","Address","City","State","Zip","Phone","Fax","Email","Grade Levels","Total Students"
"BREVARD","6509","ROYAL PALM CHARTER SCHOOL","SHANNON SHUPE","7145 S BABCOCK ST SE","PALM BAY","FL","32909-5462","(321) 723-0650","(321) 722-1117","Shupe.Shannon@Brevardschools.org","K-6 ","255"
"BREVARD","6508","SCULPTOR CHARTER SCHOOL","PATRICIA O'SULLIVAN","1301 Armstrong Dr.","Titusville","FL","32780","(321) 264-4000","(321) 264-4011","O'Sullivan.Pat@Brevardschools.org","K-8 ","498"
"BROWARD","5005","BEN GAMLA CHARTER HIGH SCHOOL","EINAV CABRERA","6511 W SUNRISE BLVD","SUNRISE","FL","33313","(954) 587-8348","(954) 342-4107","ecabrera@bengamlacharter.org","9-12 ","45"
"BROWARD","5410","BEN GAMLA CHARTER SCHOOL","SHARON MILLER","2620 HOLLYWOOD BLVD","HOLLYWOOD","FL","33020-4807","(954) 342-4064","(954) 342-4107",,"K-8 ","531"
"BROWARD","5025","BEN GAMLA CHARTER SCHOOL HALLANDALE","EINAV CABRERA","6511 W SUNRISE","SUNRISE","FL","33313","(954) 587-8348","(954) 587-8347","ecabrera@bengamlacharter.org","K-8 ","18"
"BROWARD","5001","BEN GAMLA CHARTER SCHOOL NORTH CAMPUS","SHARON MILLER","2620 HOLLYWOOD BLVD","HOLLYWOOD","FL","33020-4807","(954) 342-4064","(954) 342-4107","smiller@bengamlacharter.org","K-8 ","50"
"BROWARD","5392","BEN GAMLA CHARTER SCHOOL SOUTH BROWARD","EINAV CABRERA","6501 W SUNRISE BLVD","SUNRISE","FL","33313","(954) 587-8348","(954) 587-8347",,"K-8 ","364"
"BROWARD","5315","BROWARD COMMUNITY CHARTER SCHOOL","JOHN DRAG","11421 NW 56th Drive","Coral Springs","FL","33076","(954) 345-6500","(954) 345-1199",,"K-5 ","111"
"BROWARD","5403","BROWARD COMMUNITY CHARTER WEST","JOHN DRAG","11421 NW 56TH DR","CORAL SPRINGS","FL","33076-3122","(954) 345-6500","(954) 345-1199",,"K-5 ","332"
"BROWARD","5041","CENTRAL CHARTER SCHOOL","TONYA DIX","4525 N State Road 7","Lauderdale Lakes","FL","33319","(954) 735-6295","(954) 735-6232","tdix@centralcharterschool.com","K-6 ","686"
"BROWARD","5031","CHARTER SCHOOL OF EXCELLENCE","LISA CASTRO","1217 SE 3RD AVE","FORT LAUDERDALE","FL","33316-1905","(954) 522-2997","(954) 522-3159",,"K-5 ","276"
"BROWARD","5394","CHARTER SCHOOL OF EXCELLENCE 2","LISA CASTRO","1217 SE 3RD AVE","FT. LAUDERDALE","FL","33316-1905","(954) 522-2997","(954) 522-3159","l.castro@charterschool.com","K-5 ","29"
"BROWARD","5271","CHARTER SCHOOL OF EXCELLENCE AT DAVIE","AILEEN PORTER","2801 N. University Drive","PEMBROKE PINES","FL","33024","(954) 433-8838","(954) 433-8702","a.porter@charterschool.com","K-5 ","153"
"BROWARD","5281","CHARTER SCHOOL OF EXCELLENCE AT RIVERLAND","DIANE SALLEY","3550 Davie Boulevard","FORT LAUDERDALE","FL","33312","(954) 581-0167","(954) 522-3159","salley@charterschool.com","K-5 ","136"
"BROWARD","5026","CHARTER SCHOOL OF EXCELLENCE DAVIE 2","AILEEN PORTER","2801 N UNIVERSITY DR","PEMBROKE PINES","FL","33024-2547","(954) 433-8838","(954) 433-8702","a.porter@charterschool.com","K-5 ","152"
"BROWARD","5201","CHARTER SCHOOL OF EXCELLENCE TAMARAC 1","MONIQUE MACHADO","7595 NW 61 Street","TAMARAC","FL","33321","(954) 721-8904","(954) 721-8908","m.machado@charterschool.com","K-5 ","178"
"BROWARD","5291","CHARTER SCHOOL OF EXCELLENCE TAMARAC 2","MONIQUE MACHADO","7595 NW 61 Street","TAMARAC","FL","33321","(954) 721-8902","(954) 721-8908","m.machado@charterschool.com","K-5 ","196"
"BROWARD","5397","CHARTER SCHOOLS OF EXCELLENCE RIVERLAND","DIANE SALLEY","3550 DAVIE BLVD","FT. LAUDERDALE","FL","33312-3438","(954) 581-0167","(954) 522-3159","salley@charterschool.com","K-5 ","113"
"BROWARD","5091","CITY OF CORAL SPRINGS CHARTER","GARY SPRINGER","3205 N UNIVERSITY DR","CORAL SPRINGS","FL","33065-4115","(954) 340-4100","(954) 340-4111",,"6-12 ","1664"
"BROWARD","5051","CITY OF PEMBROKE PINES CHARTER","SEAN CHANCE","10801 PEMBROKE RD","PEMBROKE PINES","FL","33025-1707","(954) 443-4800","(954) 443-4813",,"K-5 ","2078"
"BROWARD","5121","CITY/PEMBROKE PINES CHARTER HIGH SCHOOL","PETER BAYER","17189 SHERIDAN ST","PEMBROKE PINES","FL","33331-1934","(954) 538-3700","(954) 538-3714",,"9-12 ","1736"
"BROWARD","5081","CITY/PEMBROKE PINES CHARTER MIDDLE SCHOOL","DEVARN FLOWERS","1680 SE 184 Avenue","PEMBROKE PINES","FL","333025","(954) 443-4847","(954) 447-1691",,"6-8 ","1287"
"BROWARD","5412","DISCOVERY MIDDLE CHARTER SCHOOL","JOHN DRAG","11421 NW 56TH DR","CORAL SPRINGS","FL","33076-3122","(954) 345-6500","(954) 345-1199",,"6-8 ","175"
"BROWARD","5331","DOLPHIN PARK HIGH","JOY HICKS","3206 S. UNIVERSITY DRIVE","MIRAMAR","FL","33025","(954) 433-1573","(954) 433-1589","joy.hicks@als-education.com","9-12 ","388"
"BROWARD","5231","EAGLE ACADEMY CHARTER SCHOOL","CHANDRA GLENN-PHILLIPS","3020 NW 33 AVE","LAUDERDALE LAKES","FL","33311-1106","(954) 343-9960","(954) 343-9970","cphillips@smartschool.net","6-12 ","430"
"BROWARD","5355","EAGLES NEST ELEMENTARY CHARTER SCHOOL","CHRISTINE MENTIS","201 N. University Drive","CORAL SPRINGS","FL","33071","(954) 344-7144","(954) 344-7148",,"K-5 ","155"
"BROWARD","5356","EAGLES NEST MIDDLE CHARTER SCHOOL","CHRISTINE MENTIS","201 N. University Drive","CORAL SPRINGS","FL","33071","(954) 344-7144","(954) 344-7148",,"6-8 ","50"
"BROWARD","5393","EXCELSIOR CHARTER OF BROWARD","RAUL BAEZ","10046 W MCNAB RD","TAMARAC","FL","33321-1894","(954) 726-5227","(954) 726-5228",,"K-5 ","200"
"BROWARD","5361","FLORIDA INTERCULTURAL ACADEMY","GWENDOLYN PURCELL","1704 BUCHANAN ST","HOLLYWOOD","FL","33019","(954) 924-8006","(954) 924-8044",,"K-5 ","280"
"BROWARD","5422","FLORIDA INTERCULTURAL ACADEMY K-8 WEST","JOY SCOTT","3367 N UNIVERSITY DR","DAVIE","FL","33328","(954) 924-8006","(954) 640-9678",,"K-8 ","486"
"BROWARD","5012","FRANKLIN ACADEMY A","BRENDA CUMMINGS","18800 PINES BLVD","PEMBROKE PINES","FL","33327","(954) 703-2294","(954) 436-2861",,"K-8 ","1112"
"BROWARD","5010","FRANKLIN ACADEMY B","BRENDA CUMMINGS","18800 PINES BLVD","PEMBROKE PINES","FL","33327","(954) 703-2294","(954) 436-2861",,"K-8 ","98"
"BROWARD","5418","HENRY MCNEAL TURNER LEARNING ACADEMY","MAXINE SPENCE","404 NW 7th Terrace","FORT LAUDERDALE","FL","33311","(954) 463-8404","(954) 463-3566",,"K-5 ","47"
"BROWARD","5325","HOLLYWOOD ACADEMY OF ARTS & SCIENCE","DONTE FULTON","1720 HARRISON ST","HOLLYWOOD","FL","33020-6829","(954) 925-6404","(954) 925-8123",,"K-5 ","435"
"BROWARD","5362","HOLLYWOOD ACADEMY OF ARTS AND SCIENCE MIDDLE SCHOOL","DONTE FULTON","1720 Harrison St. #1A","Hollywood","FL","33020","(954) 925-6404","(954) 925-8123",,"6-8 ","249"
"BROWARD","5261","IMAGINE AT N LAUDERDALE MIDDLE SCHOOL","DAVE GORDON","1395 S STATE RD 7","NORTH LAUDERDALE","FL","33068-4023","(954) 973-8900","(954) 974-5588",,"6-8 ","216"
"BROWARD","5111","IMAGINE CHARTER SCHOOL AT WESTON","SHARON SCHMIDT","2500 GLADES CIRCLE","WESTON","FL","33327-2253","(954) 659-3600","(954) 659-3620",,"K-5 ","892"
"BROWARD","5415","IMAGINE CHARTER SCHOOL OF BROWARD","LINDA ARNOLD","9001 Westview Drive","CORAL SPRINGS","FL","33067","(954) 255-0020","(954) 255-1336","linda.arnold@imagineschools.com","K-5 ","622"
"BROWARD","5171","IMAGINE CHARTER/N LAUDERDALE","DAVE GORDON","1395 S STATE RD 7","NORTH LAUDERDALE","FL","33068-4023","(954) 973-8900","(954) 974-5588",,"K-5 ","397"
"BROWARD","5024","IMAGINE MIDDLE SCHOOL AT BROWARD","LINDA ARNOLD","9001 WESTVIEW DR","CORAL SPRINGS","FL","33067-2869","(954) 255-0020","(954) 255-1336","linda.arnold@imagineschools.com","6-8 ","132"
"BROWARD","5416","INTERNATIONAL SCHOOL OF BROWARD","MICHELLE GARAY","3100 N. University Drive","HOLLYWOOD","FL","33024-2355","(954) 987-2026","(954) 987-7261",,"6-12 ","285"
"BROWARD","5045","KATHLEEN C. WRIGHT LEADERSHIP ACADEMY","DEWANDA CHAMBERS","2099 W PROSPECT RD","TAMARAC","FL","33309","(954) 213-2843","(954) 533-1285",,"K-8 ","135"
"BROWARD","5409","KIDZ CHOICE CHARTER SCHOOL","LILLY SWANSON","9063 TAFT ST","PEMBROKE PINES","FL","33024-4650","(954) 251-2419","(954) 450-6482",,"K-5 ","122"
"BROWARD","5351","LAUDERHILL HIGH","GARTHION MUHAMMED","4131 NW 16th Street","LAUDERHILL","FL","33313","(954) 731-2585","(954) 731-2587","garthion.muhammad@aol-education.com","9-12 ","328"
"BROWARD","5365","LIFE SKILLS BROWARD COUNTY","DANA LIGOCKI","2360 W OAKLAND PARK BLVD","OAKLAND PARK","FL","33311-1410","(954) 735-6970","(954) 735-6022",,"9-12 ","274"
"BROWARD","5481","MAVERICKS HIGH OF CENTRAL BROWARD COUNTY","TRAYVON MITCHELL","424 W SUNRISE BLVD","FT. LAUDERDALE","FL","33311-6211","(954) 446-9234","(954) 522-1539","tmitchell@mavericksineducation.com","9-12 ","555"
"BROWARD","5009","MAVERICKS HIGH OF NORTH BROWARD COUNTY","JAMES CARDWELL","3500 N ANDREWS AVE","POMPANO BEACH","FL","33064","(954) 944-4123","(954) 784-3850","jcardwell@mavericksineducation.com","9-12 ","496"
"BROWARD","5161","NORTH BROWARD ACADEMY OF EXCELLENCE","JACKSON SELF","8200 SW 17TH ST","NORTH LAUDERDALE","FL","33068-4101","(954) 718-2211","(954) 718-2215",,"K-5 ","633"
"BROWARD","5371","NORTH BROWARD ACADEMY OF EXCELLENCE MIDDLE SCHOOL","JACKSON SELF","8200 S.W .17TH ST","NORTH LAUDERDALE","FL","33068-4101","(954) 718-2211","(954) 718-2215",,"6-8 ","346"
"BROWARD","5341","NORTH UNIVERSITY HIGH","LAUREL SUAREZ","4800 N University Drive","SUNRISE","FL","33351","(954) 746-4483","(954) 746-5031","Laurel.moorehead-suarez@als-education.com","9-12 ","328"
"BROWARD","5381","PARAGON ACADEMY OF TECHNOLOGY","STEVEN MONTES","2210 Pierce Street","Hollywood","FL","33020","(954) 925-0155","(954) 925-0209","sbrow@wtdschools.org","6-8 ","92"
"BROWARD","5375","PARAGON ELEMENTARY CHARTER SCHOOL","ARDONNIS LUMPKINS","3311 N ANDREWS AVE","POMPANO BEACH","FL","33064-2036","(954) 943-0471","(954) 943-0473",,"K-5 ","150"
"BROWARD","5181","PARKWAY ACADEMY","CHARLES BOX","7451 RIVIERA BLVD","MIRAMAR","FL","33028","(954) 961-2911","(954) 961-2451","cbox@parkwaycharter.org","9-12 ","529"
"BROWARD","5395","POMPANO CHARTER MIDDLE SCHOOL","ARDONNIS LUMPKINS","3311 N ANDREWS AVE","POMPANO BEACH","FL","33064-2036","(954) 943-0471","(954) 943-0473",,"6-8 ","68"
"BROWARD","5020","RENAISSANCE CHARTER SCHOOL OF CORAL SPRINGS","ROBIN SANDLER","6250 W SAMPLE RD","CORAL SPRINGS","FL","33067","(954) 369-1179","(954) 780-5411",,"K-8 ","932"
"BROWARD","5023","RENAISSANCE CHARTER SCHOOL OF PLANTATION","MARK HAGE","6701 W SUNRISE BLVD","PLANTATION","FL","33313","(954) 556-9700","(954) 556-9701",,"K-8 ","597"
"BROWARD","5389","RISE ACADEMY II","SHARON SMITH","3698 NW 15th Street","Lauderhill","FL","33020","(954) 585-4671","(954) 585-4871","ssmith@riseacademyschools.com","K-8 ","335"
"BROWARD","5420","RISE ACADEMY SCHOOL OF SCIENCE AND TECHNOLOGY","CAROLYN PIKULA","3698 NW 15th Street","Lauderhill","FL","33020","(954) 404-0192","(954) 585-4871","cpikula@riseacademyschools.com","K-8 ","69"
"BROWARD","5071","SMART SCHOOL CHARTER MIDDLE","CHANDRA GLENN-PHILLIPS","3698 NW 15 ST","LAUDERHILL","FL","33311-4133","(954) 343-9960","(954) 343-9970",,"6-8 ","177"
"BROWARD","5141","SOMERSET ACADEMY","BERNARDO MONTERO","20801 JOHNSON ST","PEMBROKE PINES","FL","33029-1916","(954) 442-0233","(954) 442-0813",,"K-5 ","886"
"BROWARD","5221","SOMERSET ACADEMY CHARTER HIGH","BERNARDO MONTERO","20805 JOHNSON ST","PEMBROKE PINES","FL","33029-1916","(954) 442-0233","(954) 442-1762",,"9-12 ","781"
"BROWARD","5007","SOMERSET ACADEMY CHARTER HIGH SCHOOL MIRAMAR CAMPUS","ATHENA GUILLEN","9300 PEMBROKE RD","MIRAMAR","FL","33025","(954) 435-1570","(954) 435-1571",,"9-12 ","216"
"BROWARD","5211","SOMERSET ACADEMY DAVIE CHARTER","DINA MILLER","3788 DAVIE ROAD","DAVIE","FL","33314-2417","(954) 584-5528","(954) 584-5598",,"K-5 ","144"
"BROWARD","5391","SOMERSET ACADEMY EAST PREPARATORY","MARY STUART","2000 South State Road 7","MIRAMAR","FL","33027","(954) 987-7890","(954) 987-7891",,"K-6 ","295"
"BROWARD","5405","SOMERSET ACADEMY ELEMENTARY (MIRAMAR CAMPUS)","SHANNINE SADESKY-HUNT","12425 SW 53rd St","MIRAMAR","FL","33027-5493","(305) 829-2406","(305) 829-4477",,"K-5 ","810"
"BROWARD","5406","SOMERSET ACADEMY MIDDLE (MIRAMAR CAMPUS)","SHANNINE SADESKY-HUNT","12425 SW 53rd St","MIRAMAR","FL","33027-5493","(305) 829-2406","(305) 829-4477",,"6-8 ","361"
"BROWARD","5151","SOMERSET ACADEMY MIDDLE SCHOOL","BERNARDO MONTERO","20803 Johnson Street","Pembroke Pines","FL","33029","(954) 442-0233","(954) 442-1762",,"6-8 ","844"
"BROWARD","5002","SOMERSET ACADEMY VILLAGE CHARTER MIDDLE SCHOOL","LARA SILVA","225 NW 29TH ST","WILTON MANORS","FL","33311-2427","(954) 390-0971","(954) 390-0972",,"6-8 ","149"
"BROWARD","5396","SOMERSET ARTS CONSERVATORY","BERNARDO MONTERO","20807 JOHNSON ST","PEMBROKE PINES","FL","33029-1916","(954) 442-0233","(954) 442-1762",,"9-12 ","91"
"BROWARD","5021","SOMERSET NEIGHBORHOOD SCHOOL","SHANNINE SADESKY-HUNT","225 NW 29 Street","Wilton Manors","FL","33311","(954) 435-1570","(954) 435-1571",,"K-5 ","433"
"BROWARD","5030","SOMERSET PINES ACADEMY","DONNA KAYE","901 NE 33RD ST","POMPANO BEACH","FL","33064-5231","(954) 786-5980","(954) 786-5981",,"K-8 ","379"
"BROWARD","5006","SOMERSET PREPARATORY ACADEMY CHARTER HIGH AT NORTH LAUDERDALE","JAMES GRIFFIN","7101 KIMBERLY BLVD","NORTH LAUDERDALE","FL","33068-2388","(954) 718-5065","(954) 718-5066",,"9-12 ","116"
"BROWARD","5003","SOMERSET PREPARATORY ACADEMY CHARTER SCHOOL AT NORTH LAUDERDALE","JAMES GRIFFIN","7101 KIMBERLY BLVD","NORTH LAUDERDALE","FL","33068-2388","(954) 718-5065","(954) 718-5066","jgriffin@somersetprep.com","K-8 ","729"
"BROWARD","5441","SOMERSET PREPARATORY CHARTER MIDDLE SCHOOL","SHANNINE SADESKY","9300 PEMBROKE RD","MIRAMAR","FL","33025","(954) 435-1570","(954) 435-1571","ssadesky@somersetcentral.org","6-8 ","312"
"BROWARD","5004","SOMERSET VILLAGE ACADEMY","LARA SILVA","225 NW 29TH ST","WILTON MANORS","FL","33311-2427","(954) 390-0971","(954) 390-0972","mdevitt@academica.org","K-5 ","338"
"BROWARD","5400","SUNSHINE ELEMENTARY CHARTER SCHOOL","STEVEN MONTES","2210 Pierce Street","Hollywood","FL","33020","(954) 925-0155","(954) 925-0209",,"K-5 ","121"
"BROWARD","5335","TOUCHDOWNS4LIFE","WAYNE NEUNIE","10044 W MCNAB RD #28","TAMARAC","FL","33321-1894","(954) 726-8785","(954) 726-9590",,"6-8 ","70"
"CHARLOTTE","502","EDISON COLLEGIATE HIGH SCHOOL","DIANE JUNEAU","26300 Airport Road","Punta Gorda","FL","33950","(941) 637-5673","(941) 637-3508","echs@edison.edu","9-12 ","299"
"CITRUS","215","ACADEMY OF ENVIRON. SCIENCES","BEN STOFCHECK","12695 W FORT ISLAND TRAIL","CRYSTAL RIVER","FL","34429-5290","(352) 795-8793","(352) 249-2100","Fletcherd@citrus.k12.fl.us","9-12 ","96"
"COLLIER","9021","IMMOKALEE COMMUNITY SCHOOL","JAMES MCDEVITT","123 N 4TH ST","IMMOKALEE","FL","34142-3721","(239) 867-3220","(239) 867-3224",,"K-6 ","242"
"COLLIER","9032","MARCO ISLAND ACADEMY","CHRIS PELLANT","1450 WINTERBERRY DR","MARCO ISLAND","FL","34145","(239) 249-0004",,"chair@marcoislandacademy.com","9-10 ","85"
"COLLIER","9018","MARCO ISLAND CHARTER MIDDLE","GEORGE ABOUNADER","1401 Trinidad Avenue","Marco Island","FL","34145","(239) 377-3200","(239) 389-4921",,"6-8 ","410"
"DADE","410","ACADEMIR CHARTER SCHOOL WEST","CAROLINA CLARO","14880 SW 26 ST","MIAMI","FL","33185-5929","(305) 485-9911","(305) 270-1452","pr0410@dadeschools.net","K-5 ","593"
"DADE","5044","ACADEMY FOR INTERNATIONAL EDUCATION CHARTER SCHOOL","VERA HIRSH","1080 LABARON DR","MIAMI SPRINGS","FL","33166-6064","(305) 883-3900","(305) 883-3901","pr5044@dadeschools.net","K-8 ","143"
"DADE","7022","ACADEMY OF ARTS & MINDS","JORGE SUAREZ","3138 COMMODORE PLAZA","MIAMI","FL","33133-5814","(305) 448-1100","(305) 448-9737","pr7022@dadeschools.net","9-12 ","463"
"DADE","1014","ADVANCED LEARNING CHARTER SCHOOL","CARLOS GONZALEZ","5855 NW 171 STREET","MIAMI","FL","33015","(305) 231-4888","(305) 231-4881","pr1014@dadeschools.net","K-5 ","445"
"DADE","3026","ADVANTAGE ACADEMY OF MATH AND SCIENCE AT SUMMERVILLE","LYNN YOON","11575 SW 243 ST","HOMESTEAD","FL","33032-7163","(305) 253-2123","(305) 253-4304","pr3026@dadeschools.net","K-8 ","76"
"DADE","3027","ADVANTAGE ACADEMY OF MATH AND SCIENCE AT WATERSTONE","LEZA BREEZY","855 WATERSTONE WAY","HOMESTEAD","FL","33033-5941","(305) 248-6206","(305) 248-6808","pr3027@dadeschools.net","K-8 ","108"
"DADE","3025","ADVANTAGE ACADEMY SANTA FE","YESENIA CANTILLO","9790 S.W. 107 Court","Miami","FL","33176","(786) 228-5309","(786) 718-1921","pr3025@dadeschools.net","K-5 ","295"
"DADE","510","ARCHIMEDEAN ACADEMY","SUSAN SIMPSON","12425 SW 72ND ST","MIAMI","FL","33183-2513","(305) 279-6572","(305) 675-8448","ssimpson@dadeschools.net","K-5 ","492"
"DADE","6006","ARCHIMEDEAN MIDDLE CONSERVATORY","VASILIKI MOYSIDIS","12425 SW 72 STREET","MIAMI","FL","33183-2513","(305) 279-6572","(305) 675-8448","vmoysdis@dadeschools.net","6-8 ","287"
"DADE","7265","ARCHIMEDEAN UPPER CONSERVATORY CHARTER SCHOOL","DEMETRIOS DEMOPOULOS","12425 SW 72 STREET","MIAMI","FL","33183","(305) 279-6572","(305) 675-8448","pr7265@dadeschools.net","9-12 ","186"
"DADE","6070","ASPIRA EUGENIO MARIA DE HOSTOS YOUTH LEADERSHIP CHARTER SCHOOL","FERNANDO LOPEZ","ONE NE 19 STREET","MIAMI","FL","33132-1027","(305) 576-1512","(305) 576-0810","flopez@dadeschools.net","6-8 ","478"
"DADE","6020","ASPIRA RAUL ARNALDO MARTINEZ CHARTER SCHOOL","ILIANA PENA","13300 MEMORIAL HWY","NORTH MIAMI","FL","33161-3940","(305) 893-8050","(305) 891-6055","idepena@dadeschools.net","6-9 ","602"
"DADE","6060","ASPIRA SOUTH YOUTH LEADERSHIP CHARTER SCHOOL","HECTOR MARTINEZ","14112-14114 SW 288TH ST","HOMESTEAD","FL","33033-1864","(305) 246-1111","(305) 246-1433","pr6060@dadeschools.net","6-8 ","299"
"DADE","950","AVENTURA CITY OF EXCELLENCE SCHOOL","JULIE ALM","3333 NE 188TH ST","AVENTURA","FL","33180-2933","(305) 466-1499","(305) 466-1339","juliealm@dadeschools.net","K-8 ","980"
