"School Name","Principal Name","Phone","Fax","Email","Web","Street","City","State ","ZIP"
"Ke Kula Ni'ihau O Kekaha","Haunani Seward","(808) 337-0481","(808) 337-1289","haunani_seward@notes.k12.hi.us",,"8135 Kekaha Rd.","Kekaha","HI","96752"
"Ke Kula 'o Nawahiokalani'opu'u Iki","Ke Kula 'o Nawahiokalani'opu'u Iki","(808) 982-4260","(808) 966-7821","kauanoe@leoki.uhh.hawaii.edu","http://nawahi.org/","16-120 Opukaha'ia St., Ste. 2","Kea'au","HI","96749"
"Ke Kula 'o Samuel M. Kamakau","Meahilahila Kelling/Kamehaililani Waiau","(808) 235-9175","(808) 235-9173","meahilahila@kamakau.com; kamehaililani@kamakau.com","http://www.kamakau.com","45-037 Kaneohe Bay Dr.","Kaneohe","HI","96744"
"Kihei","Gail Weaver/Dan Kuhar","(808) 875-0700","(808) 874-6745","gweaver@kcsohana.com; dkuhar@kcsohana.com","http://www.kiheicharter.org","300 Ohukai Rd., #209","Kihei","HI","96753"
"Kona Pacific","Usha Kotner","(808) 322-4900","(808) 322-4906","director@kppcs.org","http://www.kppcs.org","79-7595 Mamalahoa Hwy.","Kealakekua","HI","96750"
"Kua o ka La","Susan Osborne","(808) 965-5098","(808) 965-9618","pualaa@ilhawaii.net","http://www.kuaokala.org/","14-5322 Kaimu/Kapoho Rd.","Pahoa","HI","96778"
"Kualapu'u Elementary","Lydia Trinidad","(808) 567-6900","(808) 567-6906","lydia_trinidad@notes.k12.hi.us","http://www.kualapuu.k12.hi.us/","260 Farrington Ave.","Kualapuu","HI","96757"
"Kula Aupuni Ni'ihau A Kahelelani Aloha","Hedy Sullivan","(808) 337-2022","(808) 337-2033","hedy@ireland.com","http://www.kanakapcs.org/","8315 Kakaha Rd.","Kekaha","HI","96752"
"Lanikai Elementary","Ed Noh","(808) 266-7844","(808) 266-7848","Ed_Noh@notes.k12.hi.us","http://www.lanikaielementary.com/","140 Alala Rd.","Kailua","HI","96734"
"Laupahoehoe Community","Lucille Chung","(808) 938-3688",,"info@laupahoehoecharterschool.com","http://www.laupahoehoecharterschool.com/","35-2065 Old Mamalahoa HWY","Laupahoehoe","HI","96764"
"Myron B. Thompson Academy","Diana H. Ka'apana Oshiro","(808) 441-8001","(808) 683-7062","msoshiro@ethompson.org","http://www.ethompson.org/","629 Pohukaina St., Ste. #3","Honolulu","HI","96813"
"Volcano School of Arts & Sciences","Ardith Renteria","(808) 985-9800","(808) 985-9898","ardith20@gmail.com","http://www.volcanoschool.org/hawaii/","99-128 Old Volcano Rd.","Volcano","HI","96785"
"Voyager","Amy Vorderbruegge","(808) 521-9770","(808) 521-9772","amy@voyagerschool.com","http://www.voyagerschool.com/","547 Halekauwila Street","Honolulu","HI","96813"
"Wai'alae Elementary","Wendy W. Lagareta","(808) 733-4880","(808) 733-4886","wendy_lagareta@notes.k12.hi.us","http://www.waialae.edu","1045 19th Ave.","Honolulu","HI","96816"
"Waimea Middle","John Colson","(808) 887-6090","(808) 887-6087","john_colson@notes.k12.hi.us","http://www.waimeamiddleschool.org/","67-1229 Mamalahoa Hwy.","Kamuela","HI","96743"
"Waters of Life","Daniel Caluya","(808) 982-7863","(808) 982-7863","danielcaluya@yahoo.com","http://watersoflifepcs.k12.hi.us/index.html","181355 Volcano Hwy.","Mountain View","HI","96771"
"West Hawaii Explorations Academy","Heather Nakakura/Curtis Muraoka","(808) 327-4751","(808) 327-4750","explorations@whea.net","http://www.whea.net/","73-4460 Queen Ka'ahumanu Hwy., Ste. 105","Kailua-Kona","HI","96740"

