"ADMINISTRATOR","NAME","CITY","ADDRESS1","STATE","ZIP","PHONE","FAX","COUNTY","Name","Email"
"ADMINISTRATOR","MT MICHAEL BENEDICTINE H S","ELKHORN","22520 MT MICHAEL RD","NE","68022-3400","(402)289-2541","(402)289-4539","DOUGLAS","David Peters","dpeters@mountmichael.org"
"ADMINISTRATOR","BLAIR CHRISTIAN ACADEMY","BLAIR","13121 COUNTY ROAD 16","NE","-68006","(402)399-9565","(402)399-0248","DOUGLAS","Della Blair","dr.blair@blairchristianacademy.org"
"ADMINISTRATOR","GOOD SHEPHERD ELEMENTARY SCH","OMAHA","5071 CENTER","NE","68106-3155","(402)553-6760",,"DOUGLAS","Ben Leibl","goodshepherd@cox.net"
"ADMINISTRATOR","ST WENCESLAUS SCHOOL","OMAHA","15353 PACIFIC","NE","68154-2871","(402)330-4356","(402)884-4417","DOUGLAS","William Huben","hubenw@stwenceslaus.org"
"ADMINISTRATOR","MERCY HIGH SCHOOL","OMAHA","1501 S 48TH ST","NE","68106-2504","(402)553-9424","(402)553-0394","DOUGLAS","Carolyn Jaworski","jaworskic@mercyhigh.org"
"ADMINISTRATOR","SKUTT CATHOLIC HIGH SCHOOL","OMAHA","3131 S 156TH ST","NE","68130-1907","(402)333-0818","(402)333-1790","DOUGLAS","Jon Burt ","jjburt@schools.archomaha.org"
"ADMINISTRATOR","THE JESUIT ACADEMY","OMAHA","2311 N 22ND ST","NE","68110-2207","(402)346-4464","(402)341-1817","DOUGLAS","Troy Wharton","jmsprincipal@jesuitmso.org"
"ADMINISTRATOR","CREIGHTON PREPARATORY SCHOOL","OMAHA","7400 WESTERN AVE","NE","68114-1878","(402)393-1190","(402)343-1889","DOUGLAS","John Naatz","jnaat@prep.creighton.edu"
"ADMINISTRATOR","ST PIUS X / ST LEO ELEMENTARY","OMAHA","6905 BLONDO ST","NE","68104-4600","(402)551-6667","(402)551-8123","DOUGLAS","Joyce Gubbels","joyce.gubbels@spsl.net"
"ADMINISTRATOR","OMAHA STREET SCHOOL","OMAHA","3223 NORTH 45TH ST","NE","68104-0000","(402)451-5234","(402)451-7048","DOUGLAS","John Parsons","jparsons@omahastreetschool.org"
"ADMINISTRATOR","MARY OUR QUEEN ELEM SCHOOL","OMAHA","3405 S 119TH ST","NE","68144-4631","(402)333-8663","(402)334-3948","DOUGLAS","Lisa Nelson","l.nelson@maryourqueen.omhcoxmail.com"
"ADMINISTRATOR","LIFEGATE CHRISTIAN SCHOOL","OMAHA","15555 WEST DODGE RD","NE","68154-2099","(402)333-5153","(402)758-6980","DOUGLAS","Mr. York","lcsoffice@lcsomaha.org"
"ADMINISTRATOR","DUCHESNE ACADEMY","OMAHA","3601 BURT","NE","68131-1999","(402)558-3800","(402)558-0051","DOUGLAS","Laura Hickman","lhickman@duchesneacademy.org"
"ADMINISTRATOR","ST VINCENT DE PAUL ELEMENTARY","OMAHA","14330 EAGLE RUN DR","NE","68164-5425","(402)492-2111","(402)496-9933","DOUGLAS","Barbara Marchese","marcheseb@svdpomaha.org"
"ADMINISTRATOR","ALL SAINTS CATHOLIC SCHOOL","OMAHA","1335 S 10TH ST","NE","68108-3603","(402)346-5757","(402)346-8794","DOUGLAS","Marlan Burki","marlanburki@yahoo.com"
"ADMINISTRATOR","ST BERNARD ELEMENTARY SCHOOL","OMAHA","3604 N 65TH ST","NE","68104-3218","(402)553-4993","(402)551-4939","DOUGLAS","James Daro, Jr.","mr.daro93@yahoo.com"
"ADMINISTRATOR","HOLY CROSS CATHOLIC SCHOOL","OMAHA","1502 S 48TH ST","NE","68106-2599","(402)551-3773","(402)556-1896","DOUGLAS","Chris Nelson","nelson@holycrossomaha.org"
"ADMINISTRATOR","OMAHA CHRISTIAN ELEMENTARY","OMAHA","10244 WIESMAN DRIVE","NE","-68134","(402)399-9565","(402)399-0248","DOUGLAS","Amy Nylin","office@ocamail.org"
"ADMINISTRATOR","OMAHA CHRISTIAN HIGH SCHOOL","OMAHA","10244 WIESMAN DRIVE","NE","-68134","(402)399-9565","(402)399-0248","DOUGLAS","Amy Nylin","office@ocamail.org"
"ADMINISTRATOR","OMAHA CHIRISTIAN MIDDLE SCHOOL","OMAHA","10244 WIESMAN DRIVE","NE","-68134","(402)399-9565","(402)399-0248","DOUGLAS","Amy Nylin","office@ocamail.org"
"ADMINISTRATOR","STS PETER & PAUL ELEM SCHOOL","OMAHA","3619 X ST","NE","68107-3247","(402)731-4713","(402)731-2633","DOUGLAS","Trish Wallinger","pawallinger@schools.archomaha.org"
"ADMINISTRATOR","ST MARGARET MARY ELEM SCHOOL","OMAHA","123 N 61ST ST","NE","68132-2196","(402)551-6663","(402)551-5631","DOUGLAS","Peggy Grennan","pgrennan@smmomaha.org"
"ADMINISTRATOR","ST STANISLAUS ELEM SCHOOL","OMAHA","4501 S 41ST ST","NE","68107-1199","(402)731-0484","(402)733-4898","DOUGLAS","Richard Leimbach","principal@ststansomaha.org"
"ADMINISTRATOR","ST CECILIA CATHEDRAL ELEM","OMAHA","3869 WEBSTER ST","NE","68131-1899","(402)556-6655","(402)502-3048","DOUGLAS","Paulette Rourke","prourke@stcecilia.net"
"ADMINISTRATOR","ST STEPHEN THE MARTYR SCHOOL","OMAHA","16701 S ST","NE","68135-2309","(402)896-0754","(402)861-4640","DOUGLAS","Roseanne Williby","R.Williby@stephen.org"
"ADMINISTRATOR","CONCORDIA JR/SR HIGH SCHOOL","OMAHA","15656 FORT ST","NE","68116-3201","(402)445-4000","(402)965-9310","DOUGLAS","Dean Raabe","raabed@concordiaomaha.org"
"ADMINISTRATOR","ST PATRICK'S CATHOLIC ELEM SCH","ELKHORN","20500 W MAPLE","NE","68022-0010","(402)289-5407","(402)763-9530","DOUGLAS","Don Ridder","ridderd@stpatselkhorn.org"
"ADMINISTRATOR","ST THOMAS MORE ELEM SCHOOL","OMAHA","3515 S 48TH AVE","NE","68106-4532","(402)551-9504","(402)551-9507","DOUGLAS","Ryan P. Lewis","rplewis@archomaha.org"
"ADMINISTRATOR","ST JOAN OF ARC ELEMENTARY SCH","OMAHA","7430 HASCALL","NE","68124-3499","(402)393-2314","(402)393-4405","DOUGLAS","Renee Young","ryoung@sjaomaha.org"
"ADMINISTRATOR","SACRED HEART ELEMENTARY SCHOOL","OMAHA","2205 BINNEY STREET","NE","68110-2037","(402)455-5858","(402)451-7480","DOUGLAS","Katie Barmettler","sacredheart@sacredheart-cues.org"
"ADMINISTRATOR","CHRIST THE KING CATHOLIC SCH","OMAHA","831 S 88TH ST","NE","68114-4200","(402)391-0977","(402)391-2418","DOUGLAS","Chris Segrell","segrellc@ctkomaha.org"
"ADMINISTRATOR","HOLY NAME ELEMENTARY SCHOOL","OMAHA","2901 FONTENELLE BLVD","NE","68104-4501","(402)451-5403","(402)453-7950","DOUGLAS","Sofie Kock","skock@novia.net"
"ADMINISTRATOR","BROWNELL TALBOT HIGH SCHOOL","OMAHA","400 N HAPPY HOLLOW BLVD","NE","68132-2198","(402)556-3772","(402)553-2994","DOUGLAS","SYLVIA RODRÍGUEZ VARGAS","srvargas@brownell.edu"
"ADMINISTRATOR","BROWNELL TALBOT MIDDLE SCHOOL","OMAHA","400 N HAPPY HOLLOW BLVD","NE","68132-2198","(402)556-3772","(402)553-2994","DOUGLAS","SYLVIA RODRÍGUEZ VARGAS","srvargas@brownell.edu"
"ADMINISTRATOR","BROWNELL TALBOT PRIMARY SCHOOL","OMAHA","400 N HAPPY HOLLOW BLVD","NE","68132-2198","(402)556-3772","(402)553-2994","DOUGLAS","SYLVIA RODRÍGUEZ VARGAS","srvargas@brownell.edu"
"ADMINISTRATOR","ST ROBERT BELLARMINE ELEM","OMAHA","11900 PACIFIC ST","NE","68154-3469","(402)334-1929","(402)333-7188","DOUGLAS","Sandra Suiter ","ssuiter@stroberts.com"
"ADMINISTRATOR","BOYS TOWN HIGH SCHOOL","BOYS TOWN","13803 FLANAGAN BLVD","NE","68010-0703","(402)498-1853","(402)498-3246","DOUGLAS","Steven E. Boes","steven.boes@boystown.org"
"ADMINISTRATOR","MARIAN HIGH SCHOOL","OMAHA","7400 MILITARY","NE","68134-3398","(402)571-2618","(402)571-1952","DOUGLAS","Susan Toohey","stoohey@omahamarian.org"
"ADMINISTRATOR","ST PHILIP NERI ELEM SCHOOL","OMAHA","8202 N 31ST ST","NE","68112-2204","(402)455-8666","(402)453-3620","DOUGLAS","Terri Anderson ","tlanderson@schools.archomaha.org"
"ADMINISTRATOR","OUR LADY OF LOURDES ELEM SCH","OMAHA","2124 S 32ND AVE","NE","68105-3198","(402)341-5604","(402)341-9957","DOUGLAS","William Kelly","wbkelly@omahaourladyoflourdes.com"
"ADMINISTRATOR","ST JOSEPH ELEMENTARY SCHOOL","BEATRICE","420 N 6TH ST","NE","68310-2999","(402)223-5033",,"GAGE","Steve Major","rectory-office@cdolinc.net"
"ADMINISTRATOR","ST PAUL'S LUTHERAN ELEM SCHOOL","BEATRICE","930 PRAIRIE LANE ST","NE","68310-2647","(402)223-3414","(402)223-3418","GAGE","Lonnie Duensing","stpaulschoolbeatrice@yahoo.com"
"ADMINISTRATOR","HEARTLAND LUTHERAN HIGH SCHOOL","GRAND ISLAND","3900 W HUSKER HWY","NE","68803-6001","(308)385-3900","(308)381-7415","HALL","Kurt Busskohl","administrator@heartlandlutheran.org"
"ADMINISTRATOR","PLATTE VALLEY ELEMENTARY","GRAND ISLAND","636 S SHADY BEND RD","NE","-68801","(308)382-3281",,"HALL","Dennis Berlin","iam@dennisberlin.com"
"ADMINISTRATOR","TRINITY LUTHERAN ELEM SCHOOL","GRAND ISLAND","208 W 13TH ST","NE","68801-3881","(308)382-5274","(308)389-2418","HALL","Sandy Armstrong","sandy@kdsi.net"
"ADMINISTRATOR","GRAND ISLAND CHRISTIAN SCHOOL","GRAND ISLAND","1804 W STATE ST","NE","68803-2716","(308)384-2755","(308)389-3286","HALL","Stephen Morris","smorris@gichristian.org"
"ADMINISTRATOR","CENTRAL CATHOLIC HIGH SCHOOL","GRAND ISLAND","1200 RUBY AVE","NE","68803-3746","(308)384-2440","(308)389-3274","HALL","Steve Osborn","steve.osborn@esu10.org"
"ADMINISTRATOR","CENTRAL CATHOLIC MIDDLE SCHOOL","GRAND ISLAND","1200 RUBY AVE","NE","68803-3746","(308)384-2440","(308)389-3274","HALL","Steve Osborn","steve.osborn@esu10.org"
"ADMINISTRATOR","HAMPTON LUTHERAN ELEM SCHOOL","HAMPTON","732 N 3RD ST","NE","68843-9243","(402)725-3347","(402)725-3341","HAMILTON","Kathy Gloystein","gloystein@mainstaycomm.net"
"ADMINISTRATOR","IMMANUEL LUTHERAN ELEM SCHOOL","POLK","2406 E 26TH RD","NE","68654-1702","(402)765-7253","(402)765-7253","HAMILTON","Lisa Lenz","ilspolk@windstream.net"
"ADMINISTRATOR","ST MARY'S HIGH SCHOOL","O'NEILL","300 N 4TH ST","NE","68763-1520","(402)336-4455","(402)336-1281","HOLT","Walter Dupre","wdupre@esu8.org"
"ADMINISTRATOR","ST MARY'S ELEMENTARY SCHOOL","O'NEILL","326 E BENTON","NE","68763-1555","(402)336-2664","(402)336-2055","HOLT","Walter Dupre","wdupre@esu8.org"
"ADMINISTRATOR","ST PAUL'S LUTHERAN ELEM SCHOOL","PLYMOUTH","108 E HWY 4","NE","68424-0247","(402)656-4465","(402)656-4465","JEFFERSON","Tom Plitzuweit","Plitzuweit@stpaulsplymouth.org"
"ADMINISTRATOR","ST ANDREW ELEMENTARY SCHOOL","TECUMSEH","179 N 6TH ST","NE","68450-0386","(402)335-2234","(402)335-2246","JOHNSON","Mary Ellen Auffert","sr.mary-ellen@standrewtecumseh.org"
"ADMINISTRATOR","ST LUKE ELEMENTARY SCHOOL","OGALLALA","406 E 3RD ST","NE","69153-2637","(308)284-4841","(308)284-9839","KEITH","Loretta Krajewski","stlukesschool@saintlukesschool.com"
"ADMINISTRATOR","ST ROSE OF LIMA ELEM SCHOOL","CROFTON","1302 W 5TH ST","NE","68730-0176","(402)388-4393","(402)388-4393","KNOX","Scott Becker","sbecker@esu1.org"
"ADMINISTRATOR","COLLEGE VIEW ACADEMY  HIGH SCHOOL","LINCOLN","5240 CALVERT ST","NE","68506-3935","(402)483-1181","(402)483-5574","LANCASTER","Carlson, Brian","bcarlson@cvak12.org"
"ADMINISTRATOR","COLLEGE VIEW ACADEMY ELEMENTARY","LINCOLN","5240 CALVERT ST","NE","68506-3935","(402)483-1181","(402)483-5574","LANCASTER","Carlson, Brian","bcarlson@cvak12.org"
"ADMINISTRATOR","CHILD VIEW MONTESSORI","LINCOLN","3341 PIONEERS","NE","68506-4895","(402)484-8277","(402)484-8277","LANCASTER","Ann DeVries","cvmontessori02@yahoo.com"
"ADMINISTRATOR","ST JOHN'S ELEMENTARY SCHOOL","LINCOLN","7601 VINE ST","NE","68505-2191","(402)486-1860","(402)486-4762","LANCASTER","Dennis Martin ","dennis-martin@cdolinc.net"
"ADMINISTRATOR","GEORGE STONE ELEMENTARY S D A","LINCOLN","3800 S 48TH ST","NE","68506-4316","(402)486-2896","(402)486-2574","LANCASTER","Denise White","dewhite@ucollege.edu"
"ADMINISTRATOR","ST MICHAEL CATHOLIC SCHOOL","LINCOLN","9101 SOUTH 78TH STREET","NE","-68516","(402)488-1313",,"LANCASTER","Mr. Borowiak","frborowiak@cdolinc.net"
"ADMINISTRATOR","PARKVIEW CHRISTIAN SECONDARY","LINCOLN","4400 N 1ST ST","NE","68521-2410","(402)474-5820","(402)474-5830","LANCASTER","Harold Scott","harold.scott300@gmail.com"
"ADMINISTRATOR","PARKVIEW CHRISTIAN ELEMENTARY","LINCOLN","4400 N 1ST ST","NE","68521-2410","(402)474-5820","(402)474-5830","LANCASTER","Harold Scott","harold.scott300@gmail.com"
"ADMINISTRATOR","PARKVIEW CHRISTIAN MIDDLE SCH","LINCOLN","4400 N 1ST STREET","NE","68521-2410","(402)474-5820","(402)474-5830","LANCASTER","Harold Scott","harold.scott300@gmail.com"
"ADMINISTRATOR","NORTH AMERICAN MARTYRS SCHOOL","LINCOLN","1101 ISAAC DRIVE","NE","68521-5312","(402)476-7373","(402)476-8088","LANCASTER","Patricia Heirigs","heirigs@cdolinc.net"
"ADMINISTRATOR","BLESSED SACRAMENT ELEM SCHOOL","LINCOLN","1725 LAKE STREET","NE","68502-3767","(402)476-6202","(402)474-4258","LANCASTER","Holly Kruger","holly-kruger@cdolinc.net"
"ADMINISTRATOR","BERNIKLAU ED SOLUTIONS TEAM","LINCOLN","11401 S 70TH","NE","68516-9218","(402)420-2888","(402)420-2942","LANCASTER","Jacqueline Berniklau","jacquejjbest@berniklaueducationsolutionsteam.com"
"ADMINISTRATOR","ST JOSEPH'S CATHOLIC SCHOOL","LINCOLN","1940 S 77TH ST","NE","68506-1805","(402)489-0341","(402)489-3260","LANCASTER","Janet Gordon","janet-gordon@stjosephlnk.org"
"ADMINISTRATOR","ST MARK ELEMENTARY SCHOOL","LINCOLN","3930 S 19TH ST","NE","68502-5507","(402)423-1497","(402)817-4481","LANCASTER","Jeremiah Drews","jdrews@stmarkwels.org"
"ADMINISTRATOR","SACRED HEART ELEM SCHOOL","LINCOLN","540 N 31ST STREET","NE","68503-3299","(402)476-1783","(402)476-3040","LANCASTER","Laura Knaus","laura-knaus@cdolinc.net"
"ADMINISTRATOR","CHRIST ELEMENTARY SCHOOL","LINCOLN","4325 SUMNER STREET","NE","68506-1165","(402)483-7774","(402)483-7776","LANCASTER","Linda Becken","lbecken@christlutheranchurch.org"
"ADMINISTRATOR","LINCOLN MONTESSORI SCHOOL","LINCOLN","2615 AUSTIN DRIVE","NE","68506-2536","(402)489-8110",,"LANCASTER","Larry Verschuur","lincolnmontessori@gmail.com"
"ADMINISTRATOR","LINCOLN CHRISTIAN JR-SR HIGH","LINCOLN","5801 S 84TH ST","NE","68516-3804","(402)488-8888","(402)488-6617","LANCASTER","Mark Wilson","mark.wilson@lincolnchristian.org"
"ADMINISTRATOR","TRINITY LUTHERAN ELEM SCHOOL","LINCOLN","1200 N 56TH ST","NE","68504-3297","(402)466-1800","(402)466-1820","LANCASTER","Merv Dehning","mdehning@trinitylcms-lincoln.com"
"ADMINISTRATOR","LINCOLN LUTHERAN HIGH SCHOOL","LINCOLN","1100 N 56TH STREET","NE","68504-3251","(402)467-5404","(402)467-5405","LANCASTER","Matt Heibel","mheibel@lincolnlutheran.org"
"ADMINISTRATOR","LINCOLN LUTHERAN MIDDLE SCHOOL","LINCOLN","1100 N 56TH STREET","NE","68504-3251","(402)467-5404","(402)467-5405","LANCASTER","Matt Heibel","mheibel@lincolnlutheran.org"
"ADMINISTRATOR","ST MARY'S ELEMENTARY SCHOOL","LINCOLN","1434 K ST","NE","68508-2730","(402)476-3987","(402)476-0838","LANCASTER","Nina Beck","NinaMB@aol.com"
"ADMINISTRATOR","ST PETER'S CATHOLIC SCHOOL","LINCOLN","4500 DUXHALL DR","NE","68516-2860","(402)421-6299","(402)421-6507","LANCASTER"," Mary Michael","office@stpeterslincoln.com"
"ADMINISTRATOR","PRAIRIE HILL LEARNING CENTER","ROCA","17705 S 12TH","NE","68430-9708","(402)438-6668","(402)438-6668","LANCASTER","Jeanne M. Hevener","prairiehillschool@yahoo.com"
"ADMINISTRATOR","GOOD SHEPHERD LUTHERAN ELEM","LINCOLN","3825 WILDBRIAR LANE","NE","68516-4502","(402)423-7677","(402)423-0984","LANCASTER","Sue Hanson","Preschool@goodshepherdlincoln.org"
"ADMINISTRATOR","LINCOLN CHRISTIAN ELEM SCHOOL","LINCOLN","5801 S 84TH ST","NE","68516-3804","(402)488-8888","(402)488-8903","LANCASTER","Rodney Zach","rodney.zach@lincolnchristian.org"
"ADMINISTRATOR","MESSIAH LUTHERAN ELEMENTARY  SCHOOL","LINCOLN","1800 S 84TH ST","NE","68506-1899","(402)489-3024","(402)489-3093","LANCASTER","Scott Guenther","sguenther@anonymous.com"
"ADMINISTRATOR","FAITH LUTHERAN SCHOOL","LINCOLN","8701 ADAMS","NE","68507-9735","(402)466-7402","(402)466-3857","LANCASTER","Stuart Tietz","stietz@faithlincoln.org"
"ADMINISTRATOR","PIUS X HIGH SCHOOL","LINCOLN","6000 A ST","NE","68510-5005","(402)488-0931","(402)488-1061","LANCASTER","Tom Korta","Tom.Korta@piusx.net"
"ADMINISTRATOR","CATHEDRAL OF RISEN CHRIST ELEM","LINCOLN","3245 S 37TH","NE","68506-6107","(402)489-9621","(402)489-9622","LANCASTER","Tony Primavera","tony-primavera@cathedrallincoln.org"
"ADMINISTRATOR","MC DAID ELEMENTARY SCHOOL","NORTH PLATTE","P.O. BOX 970","NE","69103-0970","(308)532-1874","(308)532-8015","LINCOLN","Rick Elsasser","elsasser@esu16.org"
"ADMINISTRATOR","ST PATRICK'S JR-SR HIGH SCHOOL","NORTH PLATTE","P.O. BOX 970","NE","69103-0970","(308)532-1874","(308)532-8015","LINCOLN","Mark Skillstad","mskillst@esu16.org"
"ADMINISTRATOR","NORFOLK CATHOLIC HIGH SCHOOL","NORFOLK","2300 MADISON AVE","NE","68701-4456","(402)371-2784","(402)379-2929","MADISON","Jeff Bellar","jeffbellar@sacredheartnorfolk.com"
"ADMINISTRATOR","ST LEONARD'S ELEMENTARY SCHOOL","MADISON","504 S NEBRASKA ST","NE","68748-0368","(402)454-3525","(402)454-6533","MADISON","Ms. Sojka","ksojka@esu8.org"
"ADMINISTRATOR","PARK AVENUE CHRISTIAN ELEM","NORFOLK","401 E PARK","NE","68701-5486","(402)379-0383","(402)371-3987","MADISON","Anne Marie Hess","pastorhess@cbcnorfolk.com"
"ADMINISTRATOR","PARK AVENUE CHRISTIAN JR HIGH","NORFOLK","401 E PARK","NE","68701-5486","(402)379-0383","(402)371-3987","MADISON","Anne Marie Hess","pastorhess@cbcnorfolk.com"
"ADMINISTRATOR","ST JOHN LUTHERAN ELEM SCHOOL","BATTLE CREEK","102 W. MARTIN STREET","NE","68715-0067","(402)675-3605","(402)675-1400","MADISON","Nicholas Onnen","principal@stjohnbc.net"
"ADMINISTRATOR","ST PAUL LUTHERAN ELEM SCHOOL","NORFOLK","1010 GEORGIA AVE","NE","68701-2837","(402)371-1233","(402)379-3646","MADISON","Seth Fitzsimmons","seth.fitzsimmons@stpls.com"
"ADMINISTRATOR","CHRIST LUTHERAN ELEM SCHOOL","NORFOLK","511 S 5TH ST","NE","68701-5297","(402)371-5536","(402)371-1288","MADISON","Steve Stortz","sstortz@clnorfolk.org"
"ADMINISTRATOR","SACRED HEART ELEMENTARY","NORFOLK","2301 MADISON AVE","NE","68701-4463","(402)371-4584","(402)379-8129","MADISON","Troy Berryman","troyberryman@sacredheartnorfolk.com"
"ADMINISTRATOR","NEBRASKA CHRISTIAN HIGH","CENTRAL CITY","1847 INSKIP AVE","NE","68826-8008","(308)946-3836","(308)946-3837","MERRICK","JOSH CUMPSTON","jcumpston@nebraskachristian.org"
"ADMINISTRATOR","NEBR CHRISTIAN JR HIGH SCHOOL","CENTRAL CITY","1847 INSKIP AVE","NE","68826-8008","(308)946-3836","(308)946-3837","MERRICK","JOSH CUMPSTON","jcumpston@nebraskachristian.org"
"ADMINISTRATOR","NEBRASKA CHRISTIAN ELEMENTARY","CENTRAL CITY","1847 INSKIP AVE","NE","68826-8008","(308)946-3836","(308)946-3837","MERRICK","JANICE STUHMER","jstuhmer@nebraskachristian.org"
