"District","School Name","Principals Name","Email","Address","City","State","Zip","Phone","Fax","Grade"
"East Baton Rouge Parish","St. Thomas More School (C)","Judy  Armstrong PhD","stthomasmore@csobr.org","11400 Sherbrook Drive","Baton Rouge              ","LA","70815","2252752820","2252750376","K-8"
"East Baton Rouge Parish","St. Louis King of France School (C)","Mary C. Polito ","stlouiskingfrance@csobr.org","2311 North Sherwood Forest","Baton Rouge              ","LA","70815","2252733932","2252733978","PK3,PK4,K-8"
"Pointe Coupee Parish","Catholic Elementary School of Pointe Coupee(C)","Melissa  Cline ","catholicelempc@csobr.org","304 Napoleon Street","New Roads                ","LA","70760","2256389313","2256389953","PK3,PK4,K-6"
"East Baton Rouge Parish","St. Michael the Archangel Diocesan Regional HS","Ellen B. Lee ","stmichaelhigh@csobr.org","P.O. Box 86110","Baton Rouge              ","LA","70879","2257539782","2257530605","9-12"
"Tangipahoa Parish","St. Thomas Aquinas Diocesan Regional HS (C)","Jose  Becerra ","stthomasaquinas@csobr.org","14520 Voss Drive","Hammond                  ","LA","70401","9855427662","9855424010","9-12"
"East Baton Rouge Parish","St. Jean Vianney School (C)","Wendy  Gilmore ","wgilmore@stjeanvianneyschool.org","16266 S Harrell's Ferry Road","Baton Rouge              ","LA","70816","2257511831","2257528774","K-8"
"East Baton Rouge Parish","Redemptorist Diocesan Regional Junior HS (C)","Anna  Scimeca ","redemptoristhigh@csobr.org","4000 St. Gerard Avenue","Baton Rouge              ","LA","70805","2253570936","2253574555","7-9"
"Ascension Parish","St. John Primary (C)","Tina L. Schexnaydre ","tinaschexnaydre@sjp-sta.org","37407 Duplessis Road","Prairieville             ","LA","70769","2256778238","2256736803","PK4,K-3"
"East Baton Rouge Parish","St. Jude School (C)","Karen  Jakuback ","kjakuback@stjudebr.org","9150 Highland Road","Baton Rouge              ","LA","70810","2257692344","2257690671","PK4,K-8"
"Tangipahoa Parish","Holy Ghost School (C)","Tangee  Daugereaux ","csears@hgschool.org","507 North Oak Street","Hammond                  ","LA","70401","9853450977","9855426545","PK4,K-8"
"East Baton Rouge Parish","Redemptorist Elementary School (C)","Erica  Walker ","ewalker@resbr.org","3655 St. Gerard Avenue","Baton Rouge              ","LA","70805","2253551437","2253551879","PK4,K-6"
"Iberville Parish","St. John High School (C)","Cherie  Schlatre ","stjohnhigh@csobr.org","24250 Regina Street","Plaquemine               ","LA","70764","2256873056","2256873530","7-12"
"Ascension Parish","Ascension Diocesan Regional School (C)","Sandy  Pizzolato ","ascensionhigh@csobr.org","P.O. Box 386","Donaldsonville           ","LA","70346","2254739227","2254739235","PK4,K-12"
"East Baton Rouge Parish","Catholic High School (Boys) (C)","Lisa D.  Harvey ","lharvey@catholichigh.org","855 Hearthstone Drive","Baton Rouge              ","LA","70806","2253830397","2253830381","10-12"
"Pointe Coupee Parish","Catholic High of Pointe Coupee (C)","Colleen K. Caillet ","highschooloffice@catholicpc.com","P.O. Box 146","New Roads                ","LA","70760","2256389313","2256386471","7-12"
"West Baton Rouge Parish","Holy Family School (C)","Brenda  Fremin ","holyfamily@csobr.org","335 North Jefferson Avenue","Port Allen               ","LA","70767","2253444100","2253441928","PK4,K-8"
"Tangipahoa Parish","Mater Dolorosa School (C)","Linda  Wisinger ","lwisinger@mdeagles.org","P.O. Box 380","Independence             ","LA","70443","9858784295","9858784888","PK4,K-8"
"East Baton Rouge Parish","Most Blessed Sacrament School (C)","Maria I. Cloessner ","mcloessner@mbsbr.org","8033 Baringer Road","Baton Rouge              ","LA","70817","2257510273","2257537259","K-8"
"East Baton Rouge Parish","Our Lady of Mercy School (C)","Brian  Moscona ","bmoscona@olomschool.org","400 Marquette Avenue","Baton Rouge              ","LA","70806","2259241054","2259232201","PK4,K-8"
"East Baton Rouge Parish","Redemptorist Diocesan Regional High School (C)","Maribeth  Andereck ","redemptoristhigh@csobr.org","4000 St. Gerard Avenue","Baton Rouge              ","LA","70805","2253570936","2253574555","10-12"
"East Baton Rouge Parish","Sacred Heart of Jesus School (C)","Joan  Hutson ","jhutson@sacredheartbr.com","2251 Main Street","Baton Rouge              ","LA","70802","2253837481","2253831810","PK4,K-8"
"East Baton Rouge Parish","St. Aloysius School (C)","John L. Bennett ","staloysius@csobr.org","2025 Stuart Avenue","Baton Rouge              ","LA","70808","2253833871","2253834500","PK4,K-8"
"Central Community","St. Alphonsus School (C)","Cynthia  Ryals ","cryals@stalphonsusbr.org","13940 Greenwell Springs Rd.","Greenwell Springs        ","LA","70739","2252615299","2252612795","PK3,PK4,K-8"
"Assumption Parish","St. Elizabeth School (C)","Paula  Simoneaux ","stelizabeth@csobr.org","P.O. Drawer M","Paincourtville           ","LA","70391","9853697402","9853691527","PK4,K-8"
"East Baton Rouge Parish","St. Francis Xavier School (C)","Paula  Fabre ","pfabre@sfx.brcoxmail.com","1150 South Twelfth Street","Baton Rouge              ","LA","70802","2253876639","2253831215","PK4,K-8"
"East Baton Rouge Parish","St. George School (C)","Jack  Nelson ","stgeorge@csobr.org","7880 St. George Drive","Baton Rouge              ","LA","70809","2252931298","2252934886","K-8"
"St. James Parish","St. Peter Chanel Interparochial School","Joanna  Foltz ","stpeterchanel@csobr.org","2590 Hwy. 44","Paulina                  ","LA","70763","2258695778","2258698131","PK3,PK4,K-8"
"Lafourche Parish","St. Genevieve School (C)","Chris  Knobloch ","chris.knobloch@htdiocese.org","807 Barbier Avenue","Thibodaux                ","LA","70301","9854779291","9854479883","PK4,K-7"
"Terrebonne Parish","St. Gregory School (C)","Elizabeth M. Scurto ","elizabeth.scurto@htdiocese.org","441 Sixth Street","Houma                    ","LA","70364","9858762038","9858792789","PK3,PK4,K-7"
"Lafourche Parish","E.D. White Catholic High School (C)","David  Boudreaux ","michiasson@htdiocese.org","555 Cardinal Drive","Thibodaux                ","LA","70301","9854468486","9854481275","8-12"
"Terrebonne Parish","Vandebilt Catholic High School (C)","James  Reiss ","vandebilthi@htdiocese.org","209 South Hollywood Road","Houma                    ","LA","70360","9858762551","9858689774","8-12"
"Lafourche Parish","St. Mary's Nativity (C)","Marissa  Bagala ","stmarelm@htdiocese.org","3492 Nies Street","Raceland                 ","LA","70394","9855377544","9855374020","PK4,K-8"
"St. Mary Parish","Central Catholic School (C)","Vic  Bonnaffee III","centcathi@htdiocese.org","2100 Cedar Street, Unit 1","Morgan City              ","LA","70380","9853855372","9853853444","7-12"
"Terrebonne Parish","St. Bernadette School (C)","Joan  LeBoeuf ","stbernelm@htdiocese.org","309 Funderburk Avenue","Houma                    ","LA","70364","9858723854","9858725780","PK3,PK4,K-7"
"Lafourche Parish","St. Joseph Elementary School (C)","Gerard  Rodrigue Jr.","stjoeelm@htdiocese.org","501 Cardinal Drive","Thibodaux                ","LA","70301","9854461346","9854490760","PK4,K-7"
"Terrebonne Parish","Maria Immacolata School (C)","Yvonne  Weimer ","yweimer@htdiocese.org","324 Estate Drive","Houma                    ","LA","70364","9858761631","9858761608","PK4,K-7"
"Lafourche Parish","Holy Savior School (C)","Blaine J. Degruise ","bdegruise@htdiocese.org","201 Church Street","Lockport                 ","LA","70374","9855322536","9855322269","K-8"
"Lafourche Parish","Holy Rosary School (C)","Scott  Bouzigard ","ddarda@htdiocese.org","P.O. Drawer 40","Larose                   ","LA","70373","9856933342","9856933348","PK4,K-8"
"St. Mary Parish","Holy Cross Elementary School (C)","Mamie  Bergeron ","pjensen@htdiocese.org","2100 Cedar Street, Unit 2","Morgan City              ","LA","70380","9853841933","9853843270","K-6"
"Terrebonne Parish","St. Francis de Sales Cathedral School (C)","Brenda  Tanner ","btanner@htdiocese.org","P.O. Box 8034","Houma                    ","LA","70360","9858686646","9858515896","PK4,K-7"
"Lafayette Parish","Teurlings Catholic High School(C)","Michael H. Boyer ","mboyer@tchs.net","139 Teurlings Drive","Lafayette                ","LA","70501","3372355711","3372348057","9-12"
"Vermilion Parish","St. Peter School (C)","Jason  Vidrine ","jvidrine@hotmail.com","513 Sixth Street","Gueydan                  ","LA","70542","3375367930","3375369460","K-8"
"Acadia Parish","St. Michael School (C)","Myra L. Broussard ","myralb@cox.net","805 East Northern Avenue","Crowley                  ","LA","70526","3377831410","3377838547","PK4,K-8"
"Lafayette Parish","Sts. Leo-Seton School (C)","Kimberly  Gothreaux ","kgothreaux@leoseton.org","502 St. Leo Sreet","Lafayette                ","LA","70501","3372345510","3372343676","PK4,K-8"
"St. Martin Parish","Trinity Catholic Elementary School (C)","Dr. Carolyn C. O'Connell ","coconnell@trinitycatholicschoolla.org","242 Gary Street","St. Martinville          ","LA","70582","3373946693","3373943394","PK4,K-8"
"St. Mary Parish","St. John Elementary School (C)","Sheri  Higdon ","astoufflet@stjohnelem.com","924 Main Street","Franklin                 ","LA","70538","3378282648","3378282112","PK3,PK4,K-5"
"Lafayette Parish","St. Thomas More Catholic High School (C)","Audrey  Menard ","audrey.menard@stmcougars.net","450 East Farrel Road","Lafayette                ","LA","70508","3379883700","3379882911","9-12"
"St. Landry Parish","St. Ignatius School (C)","Cynthia B. Prather ","cindyp@stignatiusschool.us","P.O. Drawer J","Grand Coteau             ","LA","70541","3376623325","3376623349","PK4,K-8"
"Vermilion Parish","Vermilion Catholic High School (C)","Mike  Guilbeaux ","mikeguilbeaux@vermilioncatholic.com","425 Park Avenue","Abbeville                ","LA","70510","3378936636","3378980394","9-12"
"Iberia Parish","Catholic High School (C)","Ray  Simon ","rsimon@chspanthers.com","1301 DeLaSalle Drive","New Iberia               ","LA","70560","3373645116","3373645041","4-12"
"St. Martin Parish","St. Bernard School (C)","Ray  Latiolais ","rlatiolais@sbscrusaders.com","251 East Bridge Street","Breaux Bridge            ","LA","70517","3373325350","3373325894","PK4,K-8"
"Lafayette Parish","St. Pius Elementary School (C)","Donna  Lemaire ","donna_lemaire@stpiuselementary.org","205 E Bayou Pkwy.","Lafayette                ","LA","70508","3372373139","3372323455","PK3,PK4,K-8"
"St. Landry Parish","Berchmans Academy of the Sacred Heart (C)","Sr. Lynne  Lieux ","llieux@sshcoteau.org","P.O. Box 310","Grand Coteau             ","LA","70541","3376625275","3376623011","PK3,PK4,K-10"
"Lafayette Parish","Sts. Peter & Paul Catholic Elementary School","Robert  Richard Phd","rrichard@sts-peter-paul.org","1301 Old Spanish Trail","Scott                    ","LA","70583","3375043400","3375044995","PK4,K-7"
"Lafayette Parish","St. Genevieve School (C)","Becky  Trouille ","jchampagne@stgen.net","201 Elizabeth Street","Lafayette                ","LA","70501","3372345257","3372376065","PK4,K-8"
"Vermilion Parish","Mt. Carmel School (C)","Sr.Janet  LeBlanc,O.Carm. ","srjanet@mceschool.com","405 Park Avenue","Abbeville                ","LA","70510","3378980859","3378935968","K-8"
"Acadia Parish","St. Francis School (C)","Cynthia D. Habetz ","chabetz@stfranciswolves.com","490 St. Joseph Avenue","Iota                     ","LA","70543","3377792527","3377792309","PK4,K-8"
"St. Landry Parish","Academy of the Sacred Heart (Girls) (C)","Sr. Lynne  Lieux ","llieux@sshcoteau.org","P.O. Box 310","Grand Coteau             ","LA","70541","3376625275","3376623011","PK3,PK4,K-12"
"Lafayette Parish","Carencro Catholic Elementary School(C)","Andre'  Angelle ","aangelle@carencrocatholic.org","200 West St.Peter Street","Carencro                 ","LA","70520","3378968973","3378961931","PK4,K-8"
"Lafayette Parish","Cathedral Carmel School (C)","Kay B. Aillet ","kaillet@cathedralcarmel.com","848 St.John Street","Lafayette                ","LA","70501","3372355577","3372619493","PK4,K-8"
"St. Mary Parish","Hanson Memorial School (C)","Kim  Adams ","kadams@hansonmemorial.com","903 Anderson Street","Franklin                 ","LA","70538","3378283487","3378280787","6-12"
"Lafayette Parish","Holy Family Catholic School (C)","Rogers James Griffin ","HFS98@aol.com","200 St. John Street","Lafayette                ","LA","70501","3372350267","3372350558","PK4,K-8"
"Iberia Parish","St. Edward School (C)","Karen  Bonin ","kbonin@saintedwardpandas.com","175 Porter Street","New Iberia               ","LA","70560","3373696764","3373699534","PK3,PK4,K-3"
"Vermilion Parish","Maltrait Memorial School (C)","Renee  Meaux ","renee_meaux@yahoo.com","612 N Hebert Avenue","Kaplan                   ","LA","70548","3376437765","3376437765","PK4,K-8"
"Acadia Parish","Notre Dame High School (C)","Cindy M. Istre ","cistre@ndpios.com","910 N Eastern Avenue","Crowley                  ","LA","70526","3377833519","3377882115","9-12"
"St. Landry Parish","Opelousas Catholic School (C)","Perry  Fontenot ","ocsvikings@yahoo.com","428 East Prudhomme Street","Opelousas                ","LA","70570","3379425404","3379425922","PK3,PK4,K-12"
"Lafayette Parish","Our Lady of Fatima School (C)","Joni  Duos ","jduos@olf.org","2315 Johnston Street","Lafayette                ","LA","70503","3372352464","3372351320","PK4,K-8"
"Acadia Parish","Our Mother of Peace Elementary School (C)","Don  Courville ","dcourville@ompwildcats.com","218 North Rogers Street","Church Point             ","LA","70525","3376845780","3376846983","PK4,K-8"
"Acadia Parish","Rayne Catholic Elementary School (C)","Frederick  Menard ","fredmenard@bellsouth.net","407 South Polk Street","Rayne                    ","LA","70578","3373345657","3373343301","PK4,K-8"
"Acadia Parish","Redemptorist Catholic School (C)","Louis  Cramer ","lcramer@rcsraider.org","606 South Avenue N","Crowley                  ","LA","70526","3377834466","3377880961","PK4,K-8"
"Evangeline Parish","Sacred Heart School (C)","Diane  Fontenot ","dianef@shsvp.com","114 Trojan Lane","Ville Platte             ","LA","70586","3373631475","3373630348","K-12"
"Lafayette Parish","St. Cecilia School (C)","George  Fontenot ","gfontenot@scsbluejays.org","302 West Main","Broussard                ","LA","70518","3378376363","3378373688","PK4,K-8"
"St. Landry Parish","St. Edmund School (C)","James  Wallett ","jwallett@stedmund.com","351 West Magnolia","Eunice                   ","LA","70535","3374572592","3374572510","PK4,K-12"
"Lafayette Parish","Immaculate Heart of Mary School (C)","Sr. Leona  Bruner SSF","srlbruner@ihmlafayette.com","800 Twelfth Street","Lafayette                ","LA","70501","3372357843","3372330070","PK3,PK4,K-8"
"Calcasieu Parish","Our Lady Queen of Heaven School (C)","JoAnn  Wallwork ","jwallwork@olqhs.org","3908 Creole Street","Lake Charles             ","LA","70605","3374777349","3374777384","PK4,K-8"
"Calcasieu Parish","St. Theodore's Holy Family Catholic School (C)","Jennifer  Bellon ","principal@sthfcs.com","785 Sam Houston Jones Parkway","Lake Charles             ","LA","70611","3378559465","3378552809","PK4,K-8"
"Calcasieu Parish","St. Margaret School (C)","Brenda  Dufrene ","bdufrene@stmcs.com","2510 Enterprise Boulevard","Lake Charles             ","LA","70601","3374367959","3374369932","PK4,K-8"
"Calcasieu Parish","Our Lady's School (C)","Trevor  Donnelly ","tdonnelly@ourladysschool.org","1111 Cypress Street","Sulphur                  ","LA","70663","3375277828","3375283778","PK3,PK4,K-8"
"Jefferson Davis Parish","Our Lady Immaculate Catholic School (C)","Nicole Domingue Reeves ","nreeves@olischool.org","600 Roberts Avenue","Jennings                 ","LA","70546","3378241743","3378241752","PK3,PK4,K-8"
"Calcasieu Parish","Immaculate Conception Cathedral School (C)","Dinah  Bradford ","dbradford@iccschool.org","1536 Ryan Street","Lake Charles             ","LA","70601","3374333497","3374335056","PK4,K-8"
"Calcasieu Parish","St. Louis Catholic High School (C)","Deborah  Frank ","dfrank@slchs.org","1620 Bank Street","Lake Charles             ","LA","70601","3374367275","3374366792","9-12"
"Jefferson Parish","St. Elizabeth Ann Seton School (C)","Joan  Kathmann ","elizabeth@archdiocese-no.org","4119 St. Elizabeth Drive","Kenner                   ","LA","70065","5044683524","5044696014","PK4,K-7"
"Orleans Parish","De La Salle Senior High School (C)","Peggy  St. John ","pstjohn@delasallenola.com","5300 St. Charles Avenue","New Orleans              ","LA","70115","5048955717","5048951300","10-12"
"Orleans Parish","Xavier University Prep School (Girls) (C)","Cheryllyn  Branche ","jpeychaud@xavierprep.com","5116 Magazine Street","New Orleans              ","LA","70115","5048996061","5048918766","7-12"
"Jefferson Parish","Visitation of Our Lady School (C)","Carolyn  Levet ","volschool@vol.org","3520 Ames Boulevard","Marrero                  ","LA","70072","5043473377","5043415378","PK3,PK4,K-8"
"Orleans Parish","Ursuline Academy (Girls) (C)","John  Gabriel ","jgabriel@ursulineneworleans.org","2635 State Street","New Orleans              ","LA","70118","5048662725","5048617392","8-12"
"Orleans Parish","Ursuline Elementary Academy (Girls) (C)","Kimberly  Harper ","kharper@ursulineneworleans.org","2635 State Street","New Orleans              ","LA","70118","5048665260","5048665293","PK4,K-7"
"Orleans Parish","St. Stephen School (C)","Peggy  LeBlanc ","ststephen@archdiocese-no.org","1027 Napoleon Avenue","New Orleans              ","LA","70115","5048911927","5048911928","PK3,PK4,K-8"
"Jefferson Parish","St. Matthew the Apostle School (C)","Dennis  Panepinto ","panepintod@smaschool.net","10021 Jefferson Highway","River Ridge              ","LA","70123","5047374604","5047387985","PK4,K-8"
"Jefferson Parish","St. Rita School (C)","Miriam  Daniel ","stritahar@archdiocese-no.org","194 Ravan Avenue","Harahan                  ","LA","70123","5047370744","5047382184","PK4,K-7"
"Jefferson Parish","Archbishop Shaw Junior High School (C)","Julie  Abreo ","arnoshaw@archdiocese-no.org","1000 Barataria Boulevard","Marrero                  ","LA","70072","5043406727","5043407899","8-9"
"Orleans Parish","St. Pius X School (C)","Pamela W. Fulham ","spxsch@archdiocese-no.org","6600 Spanish Fort Blvd.","New Orleans              ","LA","70124","5042822811","5042823043","PK3,PK4,K-7"
"Jefferson Parish","St. Philip Neri School (C)","Carol  Stack PhD","cstack@stphilipneri.org","6600 Kawanee Avenue","Metairie                 ","LA","70003","5048875600","5044566857","PK3,PK4,K-7"
"Orleans Parish","St. Peter Claver School (C)","Vanessa J. Chavis ","school@stpeterclaver.org","1020 North Prieur Street","New Orleans              ","LA","70116","5048228191","5048229251","PK3,PK4,K-8"
"St. John the Baptist Parish","St. Peter School (C)","Paula A. Poche' ","ppoche@archdiocese-no.org","188 West Seventh Street","Reserve                  ","LA","70084","9855364296","9855364305","PK3,PK4,K-8"
"St. Tammany Parish","St. Peter School (C)","Melody M. Barousse ","tmontour@stpetercov.org","130 East Temperance Street","Covington                ","LA","70433","9858921831","9858982185","PK3,PK4,K-7"
"St. Tammany Parish","St. Paul's School (Boys)(C)","Br.Ray  Bulliard,F.S.C. ","stpauls@stpauls.com","P.O. Box 928","Covington                ","LA","70434","9858923200","9858924048","8-12"
"Orleans Parish","St. Michael Special School (C)","Susan  Munster ","stmichspecial@archdiocese-no.org","1522 Chippewa Street","New Orleans              ","LA","70130","5045247285","5045245883","NG"
"Orleans Parish","Holy Rosary High School (C)","Len  Enger ","lenger@holyrosarynola.org","2437 Jena Street","New Orleans              ","LA","70115","5044827173","5044827229","8-12"
"Orleans Parish","Stuart Hall School for Boys (C)","Dr. Bridget  Hagan ","bhagan@stuarthall.org","2032 S Carrollton Avenue","New Orleans              ","LA","70118","5048611954","5048615389","PK3,PK4,K-7"
"Orleans Parish","St. Benedict the Moor (C)","Druescellar  Dumas ","stbenmoor@archdiocese-no.org","5010 Piety Drive","New Orleans              ","LA","70126","5042882745","5042829386","PK4,K-4"
"Orleans Parish","Good Shepherd Nativity Mission School (C)","Emily M. Paul ","epaul@thegoodshepherdschool.org","353 Baronne St.","New Orleans              ","LA","70112","5045989399","5045989346","K-7"
"St. Tammany Parish","Mary, Queen of Peace Catholic School (C)","Sybil W. Skansi ","sskansi@maryqueenofpeace.org","1515 West Causeway Approach","Mandeville               ","LA","70471","9856742466","9856741441","PK3,PK4,K-7"
"Orleans Parish","St. Gerard Majella Alternative School","Sr. Joan  Broussar, O. Carm. ","majellaalt@archdiocese-no.org","1941 Dauphine Street","New Orleans              ","LA","70116","5043099543","5043099542","9-12"
"Orleans Parish","Holy Cross Junior High School (Boys) (C)","Teresa D. Billings ","tbillings@holycrosstigers.com","5500 Paris Avenue","New Orleans              ","LA","70122","5049423100","5042865665","5-7"
"Jefferson Parish","Archbishop Rummel Jr. High School (Boys)(C)","David  Rodriguez ","sross@rummelraiders.com","1901 Severn Avenue","Metairie                 ","LA","70001","5048345592","5048344871","8-9"
"St. Tammany Parish","St. Scholastica Academy","Mary Kathryn Villere ","hklechak@ssacad.com","P.O. Box 1210","Covington                ","LA","70434","9858922540","9858935256","8-12"
"St. Tammany Parish","Archbishop Hannan High School(C)","Rev. Charles  Latour, O.P","cllatour@hannanhigh.org","71324 Hwy 1077","Covington                ","LA","70433","9852496363","9852496370","8-12"
"Orleans Parish","Jesuit Junior High School (Boys) (C)","Andrew  Schiro ","schiroa@jesuitnola.org","4133 Banks Street","New Orleans              ","LA","70119","5044866631","5044833942","8-9"
"Orleans Parish","Brother Martin Sr. High School (Boys) (C)","Gregory M. Rando ","grando@brothermartin.com","4401 Elysian Fields Ave.","New Orleans              ","LA","70122","5042831561","5042868462","10-12"
"Orleans Parish","St. Augustine Jr. High School (Boys) (C)","Eric  Smith ","esmith@purpleknights.com","2600 A.P. Tureaud Avenue","New Orleans              ","LA","70119","5049442424","5049477712","6-9"
"Orleans Parish","St. Rita School (C)","Sr. Anette  Baxley MSC","stritahar@archdiocese-no.org","65 Fontainebleau Drive","New Orleans              ","LA","70125","5048661777","5048618512","PK4,K-8"
"St. Bernard Parish","Our Lady of Prompt Succor School (C)","Sharon B. Coll ","scoll8312@aol.com","2305 Fenelon Street","Chalmette                ","LA","70043","5042712953","5042711490","PK3,PK4,K-8"
"Jefferson Parish","St. Ann School (C)","Susan R. Kropog ","skropog@stannschool.org","4921 Meadowdale Street","Metairie                 ","LA","70006","5044558383","5044559572","PK3,PK4,K-7"
"Jefferson Parish","St. Angela Merici School (C)","Colleen S. Remont ","cremont@stangelaschool.org","835 Melody Drive","Metairie                 ","LA","70002","5048358491","5048354463","PK3,PK4,K-7"
"Orleans Parish","St. Andrew the Apostle School (C)","Nicole G. Alvarez ","nalvarez@sasno.org","3131 Eton Street","New Orleans              ","LA","70131","5043944171","5043913627","PK3,PK4,K-8"
"Orleans Parish","St. Alphonsus School (C)","Sr.Monica  Ellerbusch,RSM ","stalphonsus@archdiocese-no.org","2001 Constance Street","New Orleans              ","LA","70130","5045236594","5045238769","PK4,K-6"
"Jefferson Parish","St. Agnes School (C)","Bridget  Sinibaldi ","stagnes@archdiocese-no.org","3410 Jefferson Highway","Jefferson                ","LA","70121","5048356486","5048354295","PK3,PK4,K-8"
"Orleans Parish","Academy of the Sacred Heart (Girls) (C)","Timothy M. Burns PhD","tburns@ashrosary.org","4521 St. Charles Avenue","New Orleans              ","LA","70115","5048911943","5048919939","PK4,K-12"
"St. Charles Parish","Sacred Heart of Jesus School (C)","Cheryl S. Orillion ","corillion@archdiocese-no.org","453 Spruce Street","Norco                    ","LA","70079","9857649958","9857640041","PK3,PK4,K-8"
"Orleans Parish","Resurrection of Our Lord School (C)","Vickie  Helmstetter ","vhelmstetter@archdiocese-no.org","4861 Rosalia Drive","New Orleans              ","LA","70127","5042432257","5042415532","PK3,PK4,K-8"
"Jefferson Parish","St. Anthony School (C)","Jo Anna  Russo ","jrusso@archdiocese-no.org","900 Franklin Street","Gretna                   ","LA","70053","5043670689","5043610054","PK4,K-8"
"Orleans Parish","St. Mary's Dominican High School (Girls) (C)","Carolyn  Favre ","dhsp01@stmarysdominican.org","7701 Walmsley Avenue","New Orleans              ","LA","70125","5048659401","5048665958","8-12"
"Jefferson Parish","Our Lady of Prompt Succor School (C)","Sr. M. Suzanne Miller, FMA","olpswestwego@archdiocese-no.org","531 Avenue A","Westwego                 ","LA","70094","5043419505","5043419508","PK3,PK4,K-8"
"Jefferson Parish","St. Rosalie School (C)","Mary C. Wenzel ","strosalie@archdiocese-no.org","617 Second Avenue","Harvey                   ","LA","70058","5043414342","5043470271","PK3,PK4,K-8"
"Jefferson Parish","Our Lady of Perpetual Help School (C)","Deborah L. Bradbury ","dbradbury@olphla.org","531 Williams Blvd.","Kenner                   ","LA","70062","5044640531","5044640725","PK4,K-8"
"St. Tammany Parish","Our Lady of Lourdes School (C)","Robert V. Kiefer Jr.","rkiefer@ollourdes.org","345 Westchester Blvd.","Slidell                  ","LA","70458","9856433230","9856450648","PK4,K-8"
