"Schools Name","Address","Address2 ","City","City 2","Zip","Zip 2","Area","Title","Principal","First","Last","Email","Phone","Fax","Grades"
"All Saints Central School","217 SOUTH MONROE ST","217 SOUTH MONROE ST","BAY CITY","BAY CITY","48708-7208","48708-7208","Bay City","Mr.","Brian Campbell","Brian","Campbell","asccampbell@bacschools.org","9898922533","9898927188","6-12, GenEd"
"Allendale Christian School","11050 64TH AVE","11050 64TH AVE","ALLENDALE","ALLENDALE","49401-8429","49401-8429","Allendale","Ms.","Alice Spaanstra","Alice","Spaanstra","skuperus@altelco.net","6168955108",,"KG-Part, 1-8, GenEd, PK"
"Alpena SDA Elementary School","4029 US HIGHWAY 23 S","4029 US HIGHWAY 23 S","ALPENA","ALPENA","49707-5135","49707-5135","Alpena","Ms.","Sarah Taylor","Sarah","Taylor","bdavis@misda.org","9893562932","5173161559","1-8, GenEd"
"AnchorPoint Christian School","601 36th Street, SW","601 36th Street, SW","Wyoming","Wyoming","49509","49509","Wyoming","Ms.","Lael Mulder","Lael","Mulder","lmulder@anchorpointchristian.org","6166084006","6164552211","KG-Part,1-6, GenEd, SpecEd"
"Ann Arbor Academy","111 EAST MOSLEY ST","111 EAST MOSLEY ST","ANN ARBOR","ANN ARBOR","48104-2927","48104-2927","Ann Arbor","Ms.","Meredith Schindler","Meredith","Schindler","annarboracademy@gmail.com","7347476641","7347479994","5-12, GenEd"
"Ann Arbor Adventist Elementary School","2796 PACKARD ST","2796 PACKARD ST","ANN ARBOR","ANN ARBOR","48108-3257","48108-3257","Ann Arbor","Ms.","Sally Smith","Sally","Smith","bdavis@misda.org","7349715570","5173161559","1-8, GenEd"
"Ann Arbor Christian School","5500 WHITMORE LAKE RD","5500 WHITMORE LAKE RD","ANN ARBOR","ANN ARBOR","48105-9277","48105-9277","Ann Arbor","Mr.","Thom Ritzema","Thom","Ritzema","office@annarborchristian.org","7347414948","7349296629","KG-Part, 1-8, GenEd, PK"
"Ann Arbor Hills Child Dev. Ctr.","2775 BEDFORD RD","2775 BEDFORD RD","ANN ARBOR","ANN ARBOR","48104-4011","48104-4011","Ann Arbor","Ms.","Ramelle Alexander","Ramelle","Alexander","admin@aahcdc.com","7349713080",,"KG-Part, 1-2, GenEd, PK"
"Assumption BVM","6393 BELMONT AVE NE","6393 BELMONT AVE NE","BELMONT","BELMONT","49306-9701","49306-9701","Rockford","Mr.","Mike Micele","Mike","Micele","schoolprincipal@assumptionbvm.com","6163615483","6163612553","KG-Part, 1-8, GenEd, PK"
"Auburn Area Catholic School","114 WEST MIDLAND RD","114 WEST MIDLAND RD","AUBURN","AUBURN","48611-9492","48611-9492","Bay City","Mrs.","Terri Duch","Terri","Duch","tduch@auburnac.org","9896626431","9896623391","KG-Part, 1-5, GenEd, PK"
"Auburn Hills Christian School","3655 NORTH SQUIRREL RD","3655 NORTH SQUIRREL RD","AUBURN HILLS","AUBURN HILLS","48326-3940","48326-3940","Pontiac","Mr.","Scott Wickson","Scott","Wickson","ahcsswickson@hotmail.com","2483733399",,"KG-Part, 1-12, GenEd, PK"
"Austin Catholic Academy","24125 26 Mile Road","24125 26 Mile Road","Ray Township","Ray Township","48096","48096","New Haven","Fr.","David Brecht","David","Brecht","dbrecht@stclarem.org","5867497900","5867495217","9-12, GenEd"
"Baldwin Road Church Academy","PO Box 210580","1750 BALDWIN AVE","Auburn Hills","PONTIAC","48321-0580","48340-1116","Pontiac","Mr.","D. Mcgowan","D.","Mcgowan","ffwb@sbcglobal.net","2483356011","2483358911","1-12, GenEd"
"Baptist Park School","12505 TELEGRAPH RD","12505 TELEGRAPH RD","TAYLOR","TAYLOR","48180-4019","48180-4019","Taylor","Mr.","Roger Cook","Roger","Cook","baptistparkschool@yahoo.com","7342872720","7342872720","KG-Part, 1-12, GenEd"
"Barry County Christian School","2999 MCKEOWN RD","2999 MCKEOWN RD","HASTINGS","HASTINGS","49058-9140","49058-9140","Hastings","Mr.","Ken Oosterhouse","Ken","Oosterhouse","office@bccsk12.com","2699482151","2699482795","KG-Part, 1-12, GenEd, PK, SpecEd"
"Battle Creek Academy","480 PARKWAY DR","480 PARKWAY DR","BATTLE CREEK","BATTLE CREEK","49037-2134","49037-2134","Battle Creek","Mr.","Elvis Agard","Elvis","Agard","bdavis@misda.org","2699651278","5173161559","KG-Part, 1-12, GenEd, PK"
"Battle Creek Christian School","1035 WAGNER DR","1035 WAGNER DR","BATTLE CREEK","BATTLE CREEK","49017-5419","49017-5419","Pennfield","Mr.","Marc Daly","Marc","Daly","mdaly@bcchristian.org","2699630649","2699637936","KG-Part, 1-8, GenEd, PK"
"Beaverdam Christian School","5181 64TH AVE","5181 64TH AVE","HUDSONVILLE","HUDSONVILLE","49426-9502","49426-9502","Zeeland","Ms.","Stephanie Miedema","Stephanie","Miedema","beaverdamchristian@yahoo.com","6168758340","6168753777","KG-Part, 1-8, GenEd, PK"
"Bedford Bible Church School","21964 BEDFORD RD N","21964 BEDFORD RD N","BATTLE CREEK","BATTLE CREEK","49017-8806","49017-8806","Battle Creek","Mr.","Kevin McCarty","Kevin","McCarty","bedfordbible@juno.com","2699643238",,"KG-Part, 1-12, GenEd, PK"
"Berean Baptist Academy","751 WEST MAUMEE ST","751 WEST MAUMEE ST","ADRIAN","ADRIAN","49221-2031","49221-2031","Adrian","Pastor","Doug Rogers","Doug","Rogers","jennifer.varnum@gmail.com","5172635050","5172634312","KG-Part, 1-12, GenEd, PK"
"Beth Haven Baptist Academy","1158 WEST CARSON CITY RD","1158 WEST CARSON CITY RD","SHERIDAN","SHERIDAN","48884-9205","48884-9205","Central Montcalm","Pastor","Kevin Crowell","Kevin","Crowell","mavery@ionia.k12.mi.us","9892910555","9895273122","KG-Part, 1-12, GenEd, PK"
"Beth Jacob School","14390 WEST 10 MILE RD","14390 WEST 10 MILE RD","OAK PARK","OAK PARK","48237-1437","48237-1437","Berkley","Mrs.","Esther Gendelman","Esther","Gendelman","beth_jacob@ameritech.net","2485449070","2485444662","1-12, GenEd"
"Bethany Christian School","2601 JOHN R RD","2601 JOHN R RD","TROY","TROY","48083-2365","48083-2365","Troy","Mr.","Philip Fitzgerald","Philip","Fitzgerald","fitz@fbctroy.org","2486894821","2486893441","KG-Part, 1-12, GenEd"
"Bethel Baptist Christian School","118 EAST ELK ST","118 EAST ELK ST","MANISTIQUE","MANISTIQUE","49854-1208","49854-1208","Manistique","Rev.","Joseph Crowder","Joseph","Crowder","jcrowder@uplogon.com","9063416335",,"KG,1-11, GenEd"
"Bethel Christian Academy","P.O. Box 183","945 CHIPPEWA ST","Buchanan","BUCHANAN","49107-0183","49107-1122","Buchanan","Ms.","Joyce Stough","Joyce","Stough","bca2009@sbcglobal.net","2696953356","2696954345","2-12, GenEd"
"Bethel Lutheran School","749 N PINE STREET RD","749 NORTH PINE STREET RD","BAY CITY","BAY CITY","48708","48708","Bay City","Mr.","Douglas Dast","Douglas","Dast","djdast@chartermi.net","9898924508","9898925668","KG-Part, 1-8, GenEd, PK"
"Bethlehem Lutheran School","2777 HERMANSAU RD","2777 HERMANSAU RD","SAGINAW","SAGINAW","48604-2417","48604-2417","Carrollton","Mr.","Ronald Dressler","Ronald","Dressler","bethlehemsaginaw@yahoo.com","9897551146","9897553969","KG-Part, 1-8, GenEd, PK"
"Bible Baptist Church School","3338 MAIN ST","3338 MAIN ST","LUPTON","LUPTON","48635-9520","48635-9520","West Branch-Rose City","Dr.","Paul Heaton","Paul","Heaton","biblebaptist@m33access.com","9894733151",,"1-12, GenEd"
"Bishop Baraga Catholic School","623 WEST LINCOLN AVE","623 WEST LINCOLN AVE","CHEBOYGAN","CHEBOYGAN","49721-1862","49721-1862","Cheboygan","Mrs.","Kitty LaBlance","Kitty","LaBlance","principal@nmo.net","2316275608","2316276048","KG-Part, 1-6, GenEd, PK"
"Bishop Baraga Catholic School","406 WEST B ST","406 WEST B ST","IRON MOUNTAIN","IRON MOUNTAIN","49801-3340","49801-3340","Iron Mountain","Mr.","Richard Krainz","Richard","Krainz","rkrainz@baragaup.com","9067742277","9067748704","KG-Part, 1-8, GenEd, PK"
"Bishop Foley Catholic High School","32000 CAMPBELL RD","32000 CAMPBELL RD","MADISON HEIGHTS","MADISON HEIGHTS","48071-1014","48071-1014","Lamphere","Ms.","Patricia Domagala","Patricia","Domagala","domagala@bishopfoley.org","2485851210","2485282753","9-12, GenEd"
"Bishop Kelley Memorial School","926 WEST NEPESSING ST","926 WEST NEPESSING ST","LAPEER","LAPEER","48446-1871","48446-1871","Lapeer","Ms.","Anne Estelle","Anne","Estelle","aestelle@bishopkelleylapeer.org","8106645011",,"KG,1-8, GenEd, PK"
"Blessed Sacrament School","3109 SWEDE AVE","3109 SWEDE AVE","MIDLAND","MIDLAND","48642-3842","48642-3842","Midland","Mrs.","Leeann Berg","Leeann","Berg","leeannb@blessed-midland.org","9898356777","9898352421","KG-Part, 1-5, GenEd, PK"
"Borculo Christian School","6830 96TH AVE","6830 96TH AVE","ZEELAND","ZEELAND","49464-9741","49464-9741","Zeeland","Mr.","Robert Vander Zwaag","Robert","Vander Zwaag","bcsadmin@borculochrschool.org","6168758152","6168758153","KG-Part, 1-8, GenEd, PK"
"Bowen Creek Amish School","654 CLARENDON RD","715 NORTH BRIGGS RD","QUINCY","QUINCY","49082-9477","49082-9492","Quincy","Ms.","Catherine Steury","Catherine","Steury","none@none.com","0000000000",,"1-8, GenEd"
"Bridgeport Baptist Academy","PO Box 249","2400 KING RD","Bridgeport","BRIDGEPORT","48722-0249","48722","Bridgeport-Spaulding","Mr.","John Howell","John","Howell","bridgeportbaptist@sbcglobal.net","9897776811","9897777376","KG-Part, 1-12, GenEd"
"Broadway Baptist School","2892 OAK LN","2892 OAK LN","MUSKEGON","MUSKEGON","49444-2522","49444-2522","Fruitport","Mr.","David Jacobs","David","Jacobs","kjj55@aol.com","2317399450",,"2-12, GenEd"
"Brockway Christian Academy","10951 3 MILE RD","10951 3 MILE RD","MORLEY","MORLEY","49336-9766","49336-9766","Lakeview (Montcalm)","Rev.","David Hansen","David","Hansen","bca@pathwaynet.com","9893527719","9893521365","KG-Part, 1-12, GenEd"
"Brookfield Academy","2965 WALNUT LAKE RD","2965 WALNUT LAKE RD","WEST BLOOMFIELD","WEST BLOOMFIELD","48323-3757","48323-3757","Birmingham","Mrs.","Kelly Randazzo","Kelly","Randazzo","brookfield.wb@brighthorizons.com","2486266665","2486263690","KG-Part, 1-5, GenEd, PK"
"Brookfield Academy","1263 SOUTH ADAMS RD","1263 SOUTH ADAMS RD","ROCHESTER HILLS","ROCHESTER HILLS","48309-2806","48309-2806","Rochester","Mrs.","Dawn McComb","Dawn","McComb","dawnmccomb@brighthorizons.com","2483751700","2483751020","KG-Part, 1-5, GenEd, PK"
"Brookfield Academy - Troy","3950 LIVERNOIS RD","3950 LIVERNOIS RD","TROY","TROY","48083-5036","48083-5036","Troy","Mrs.","Lisa Luther","Lisa","Luther","lluther@brookfieldacademy.net","2486899565","2486893335","KG-Part, 1-5, GenEd, PK"
"Brookview School","501 ZOLLAR DR","501 ZOLLAR DR","BENTON HARBOR","BENTON HARBOR","49022-6429","49022-6429","Benton Harbor","Ms.","Sue Dunbar","Sue","Dunbar","sdubar@brookviewschool.org","2699253544","2699253525","KG-Part, 1-8, GenEd, PK"
"Brother Rice High School","7101 LAHSER RD","7101 LAHSER RD","BLOOMFIELD HILLS","BLOOMFIELD HILLS","48301-4045","48301-4045","Birmingham","Br.","Michael Segvich","Michael","Segvich","segvich@brrice.edu","2486472526","2486478170","9-12, GenEd"
"Byron Center Christian School","8840 BYRON CENTER AVE SW","8840 BYRON CENTER AVE SW","BYRON CENTER","BYRON CENTER","49315-9200","49315-9200","Byron Center","Mr.","Glen Hendricks","Glen","Hendricks","walters@bccs.org","6168783378","6168780019","KG-Part, 1-8, GenEd, PK"
"Cabrini High School","15305 WICK RD","15305 WICK RD","ALLEN PARK","ALLEN PARK","48101-1554","48101-1554","Allen Park","Ms.","Cheryl Szczodrowski","Cheryl","Szczodrowski","csvolleychs@yahoo.com","3133880110",,"9-12, GenEd"
"Cadillac Heritage Christian","1706 WRIGHT ST","1706 WRIGHT ST","CADILLAC","CADILLAC","49601-8815","49601-8815","Cadillac","Mr.","William Goodwill","William","Goodwill","wdgoodwill@yahoo.com","2317754272","2317757193","KG-Part, 1-12, GenEd, PK"
"Calhoun Christian School","20 WOODROW AVE S","20 WOODROW AVE S","BATTLE CREEK","BATTLE CREEK","49015-2922","49015-2922","Lakeview (Calhoun)","Mr.","William Spicer","William","Spicer","bspicer@calhounchristian.org","2699655560","2699658038","KG-Part, 1-12, GenEd, PK"
"Calvary Baptist Academy","6100 PERRINE RD","6100 PERRINE RD","MIDLAND","MIDLAND","48640-2175","48640-2175","Midland","Mr.","Michael Reece","Michael","Reece","mreece@cbamidland.org","9898323341",,"1-12, GenEd"
"Calvary Bible Academy","P.O. Box 56","27032 MARCELLUS HWY","Dowagiac","DOWAGIAC","49047-0056","49047-8718","Dowagiac Union",,"Robert Vickroy","Robert","Vickroy","calvarybible1@verizon.net","2697827296",,"1-11, GenEd"
"Calvary Christian Academy","29788 FORT RD","29788 FORT RD","ROCKWOOD","ROCKWOOD","48173-9781","48173-9781","Gibraltar","Rev.","K Richey","K","Richey","cag74@juno.com","7343794914",,"KG,1-11, GenEd"
"Calvary Christian Academy","1007 ECORSE RD","1007 ECORSE RD","YPSILANTI","YPSILANTI","48198-5820","48198-5820","Ypsilanti",,"M. Cathy White","M. Cathy","White","mgetchell@cbcypsi.org","7344821990","7344821923","KG-Part, 1-12, GenEd"
"Calvary Christian School","2203 EAST 11 MILE RD","2203 EAST 11 MILE RD","ROYAL OAK","ROYAL OAK","48067-2335","48067-2335","Royal Oak","Mr.","Robert Steenbergh","Robert","Steenbergh","bksteen@aol.com","2485414598","2485414598","KG-Part, 1-8, GenEd, PK"
"Calvary Christian School","5873 KENDRA RD","5873 KENDRA RD","FRUITPORT","FRUITPORT","49415-9207","49415-9207","Fruitport","Mr.","Thomas Kapanka","Thomas","Kapanka","tom.kapanka@calvarymuskegon.com","2318652141",,"KG-Part, 1-12, GenEd"
"Calvary Schools of Holland","518 PLASMAN AVE","518 PLASMAN AVE","HOLLAND","HOLLAND","49423-4041","49423-4041","Holland","Mr.","Kevin Alderink","Kevin","Alderink","kevin.alderink@cshk12.org","6163964494","6163960326","KG-Part,1-6, GenEd, PK"
"Calvary Schools of Holland","518 PLASMAN AVE","6047 147TH AVE","HOLLAND","HOLLAND","49423-4041","49423-8948","Holland","Mr.","Kevin Alderink","Kevin","Alderink","kevin.alderink@cshk12.org","6163964494","6163960326","7-12, GenEd"
"Calvin Center SDA School","19088 BROWNSVILLE RD","19088 BROWNSVILLE RD","CASSOPOLIS","CASSOPOLIS","49031-9583","49031-9583","Cassopolis","Mr.","Norman Usher","Norman","Usher","nusherus@yahoo.com","2694762218",,"1-9, GenEd"
"Calvin Christian High School","3750 IVANREST AVE SW","3750 IVANREST AVE SW","GRANDVILLE","GRANDVILLE","49418-2089","49418-2089","Grandville","Ms.","Barbara Engbers","Barbara","Engbers","bengbers@calvinchr.org","6165380990","6165389930","9-12, GenEd"
"Calvin Christian Middle School","3740 IVANREST AVE SW","3740 IVANREST AVE SW","GRANDVILLE","GRANDVILLE","49418-2087","49418-2087","Grandville","Mr.","John Kramer","John","Kramer","jkramer@calvinchr.org","6165322373","6165317402","7-8, GenEd"
"Capitol City Baptist School","5100 WILLOUGHBY RD","5100 WILLOUGHBY RD","HOLT","HOLT","48842-1059","48842-1059","Holt","Mr.","Bryan Ogle","Bryan","Ogle","bryan.ogle@capitolcitybaptistministries.org","5176941216","5176943344","KG-Part, 1-12, GenEd, PK, SpecEd"
"Cardinal Mooney Catholic School","660 SOUTH WATER ST","660 SOUTH WATER ST","MARINE CITY","MARINE CITY","48039-3601","48039-3601","East China","Ms.","Celeste Conflitti","Celeste","Conflitti","principal@cardinalmooney.org","8107658825","8107657164","9-12, GenEd"
"Catholic Central High School","319 SHELDON BLVD SE","319 SHELDON BLVD SE","GRAND RAPIDS","GRAND RAPIDS","49503-4515","49503-4515","Grand Rapids","Mr.","Greg Deja","Greg","Deja","gregdeja@grcss.org","6162335899","6168938480","9-12, GenEd"
"Cedar Creek Christian School","9213 CEDAR CREEK RD","9213 CEDAR CREEK RD","DELTON","DELTON","49046-8666","49046-8666","Delton-Kellogg","Mr.","Robert Norton","Robert","Norton","pastornorton@mei.net","2696235543",,"KG-Part,1-12, GenEd, PK"
"Cedar Crest Academy","8970 DIXIE HWY","8970 DIXIE HWY","CLARKSTON","CLARKSTON","48348-4239","48348-4239","Clarkston","Ms.","Bette Moen","Bette","Moen","tmoen@cedarcrestacademy.com","2486257270","2486251091","KG-Part, 1-8, GenEd, PK"
"Cedar Lake SDA Elementary School","PO Box 218, 7195 Academy Road","7195 ACADEMY RD","Cedar Lake","CEDAR LAKE","48812-0218","48812","Montabella","Ms.","Miriam Troup","Miriam","Troup","bdavis@misda.org","9894275614","5173161559","KG-Part, 1-8, GenEd"
"Chapman Academy","28117 MILFORD RD","28117 MILFORD RD","NEW HUDSON","NEW HUDSON","48165-8519","48165-8519","South Lyon","Ms.","Theresa Fader","Theresa","Fader","chapmanacademy@aol.com","2484860492","2484864817","KG-Part, 1-8, GenEd"
"Charlotte Mason Community School","3816 TOLEDO ST","3816 TOLEDO ST","DETROIT","DETROIT","48216-1059","48216-1059","Detroit","Mr.","David Stone","David","Stone","david.stone@charlottemasoncs.org","3138416848","3138416848","KG-Part,1-8, Alt, GenEd"
"Charlotte SDA School","1510 SOUTH COCHRAN RD","1510 SOUTH COCHRAN RD","CHARLOTTE","CHARLOTTE","48813-9124","48813-9124","Charlotte","Ms.","Amanda Hasty","Amanda","Hasty","bdavis@misda.org","5175439491","5173161559","KG,KG-Part,1-8, GenEd, PK"
"Children's Place Montessori of Grosse Ile","9393 Church Rd","9393 Church Rd","Grosse Ile","Grosse Ile","48138","48138","Grosse Ile","Ms.","Marie Liburdi","Marie","Liburdi","lmari04@rogers.com","7346710577","7346710577","KG, GenEd"
"Christ Ev. Lutheran School","16070 WEST BRADY RD","16070 WEST BRADY RD","OAKLEY","OAKLEY","48649-9761","48649-9761","Chesaning Union","Mr.","Alan Schaffer","Alan","Schaffer","a.schaffer@centurytel.net","9898452611","9898456711","KG-Part,1-8, GenEd, PK"
"Christ Lutheran School","4333 CLEVELAND AVE","4333 CLEVELAND AVE","STEVENSVILLE","STEVENSVILLE","49127-9595","49127-9595","Lakeshore (Berrien)","Mr.","Charles Strohacker","Charles","Strohacker","cnschmaltz45@yahoo.com","2694297111","2694293788","KG-Part, 1-8, GenEd, PK"
"Christ the King Lutheran School","15600 TRENTON RD","15600 TRENTON RD","SOUTHGATE","SOUTHGATE","48195-2063","48195-2063","Southgate","Mr.","Michael Rosin","Michael","Rosin","mike@ctk-church.org","7342859697",,"KG-Part, 1-8, GenEd, PK"
"Christ the King Lutheran-Sebewaing","612 EAST BAY ST","612 EAST BAY ST","SEBEWAING","SEBEWAING","48759-1644","48759-1644","Unionville-Sebewaing","Mr.","David Kumm","David","Kumm","dkumm@ctkl.org","9898833730","9898839171","3-8, GenEd, PK"
"Christ the King Lutheran-Unionville","6351 CENTER ST","6351 CENTER ST","UNIONVILLE","UNIONVILLE","48767-9784","48767-9784","Unionville-Sebewaing","Mr.","David Kumm","David","Kumm","dkumm@ctkl.org","9898833730","9898839171","KG-Part, 1-2, GenEd, PK"
"Christ the King School","16800 TRINITY ST","16800 TRINITY ST","DETROIT","DETROIT","48219-3968","48219-3968","Detroit",,"Rosanne Jodway","Rosanne","Jodway","nsoisson@aol.com","3135321213","3135321050","KG-Part, 1-8, GenEd, PK"
"Christian Leadership Academy","3668 LIVERNOIS RD STE B","3668 LIVERNOIS RD STE B","TROY","TROY","48083-5083","48083-5083","Troy","Mrs.","robin Schmidt","robin","Schmidt","rschmidt@cla-edu.org","2484571510","2484571520","KG-Part, 1-12, GenEd"
"Christian Montessori School","5225 JACKSON RD","5225 JACKSON RD","ANN ARBOR","ANN ARBOR","48103-1857","48103-1857","Ann Arbor","Ms.","Tara Schmitt","Tara","Schmitt","tschmitt@cmsaa.org","7343329600",,"KG, KG-Part, 1-9, GenEd, PK"
"City Mission Academy","20405 Schoolcraft","20405 SCHOOLCRAFT","Detroit","DETROIT","48223","48223-2743","Detroit","Mrs.","Dana Adams","Dana","Adams","dana.adams@city-mission.org","3135413531","3135410242","KG-Part,1-6, GenEd, PK"
"Clonlara School","1289 JEWETT ST","1289 JEWETT ST","ANN ARBOR","ANN ARBOR","48104-6201","48104-6201","Ann Arbor","Ms.","Chandra Nicol","Chandra","Nicol","mkoppecs@yahoo.com","7347694511","7347699629","KG-Part,1-12, GenEd"
"Community Christian School","PO Box 67","4395 20 MILE RD","Barryton","BARRYTON","49305-0067","49305-9734","Chippewa Hills","Mr.","James Elenbaas","James","Elenbaas","sfour@wtdschools.org","9893827896",,"KG-Part, 1-12, GenEd"
"Concordia Lutheran North","20805 MIDDLEBELT RD","20805 MIDDLEBELT RD","FARMINGTON HILLS","FARMINGTON HILLS","48336-5545","48336-5545","Clarenceville","Mr.","David Kusch","David","Kusch","dkusch@concordials.org","2484742488","2484741945","KG-Part, 1-4, GenEd"
"Concordia Lutheran South","9600 Leverne","9600 LEVERNE","Redford","REDFORD","48239-2293","48239-2239","South Redford","Mr.","David Kusch","David","Kusch","dkusch@concordials.org","3139372233","3139372173","5-8, GenEd"
"Copper Country Christian School","56172 CALUMET AVE","56172 CALUMET AVE","CALUMET","CALUMET","49913-2358","49913-2358","Houghton-Portage","Mr.","Dean Franz","Dean","Franz","dlfranz@chartermi.net","9064871718",,"KG-Part,1-12, GenEd, PK"
"Cornerstone Christian Academy","405 WEST 44TH ST","405 WEST 44TH ST","FREMONT","FREMONT","49412-1166","49412-1166","Fremont","Ms.","Sandra Anderson","Sandra","Anderson","ccacademyfremont@att.net","2319244705","2319244751","KG-Part, 1-8, GenEd"
"Cornerstone Christian School","9455 HILTON RD","9455 HILTON RD","BRIGHTON","BRIGHTON","48114-7509","48114-7509","Brighton","Dr.","Arthur Hunt","Arthur","Hunt","ahunt@cornerstoneforlife.com","8104944040","8104944041","KG-Part,1-8, GenEd, PK"
"Cornerstone Christian School","900 SOUTH WESTERN AVE","900 SOUTH WESTERN AVE","CHEBOYGAN","CHEBOYGAN","49721-1849","49721-1849","Cheboygan","Mrs.","Sally Agee","Sally","Agee","cornerstonechristian@straitsarea.com","2316272160","2316271192","KG-Part,1-8, GenEd, PK"
"Cornerstone Leadership & Business High School","6861 E. Nevada","6861 E Nevada St","Detroit","Detroit","48234","48234-2968","Detroit","Ms.","Ernestine Sanders","Ernestine","Sanders","ernestine.sanders@cornerstoneschools.org","3138921860","3138921861","9, GenEd"
"Cornerstone Nevada Middle","6861 EAST NEVADA ST","6861 EAST NEVADA ST","DETROIT","DETROIT","48234-2968","48234-2968","Detroit","Ms.","Ernestine Sanders","Ernestine","Sanders","ernestine.sanders@cornerstoneschools.org","3138921860",,"6-8, GenEd, SpecEd"
"Cornerstone School--Nevada Primary","6861 EAST NEVADA ST","6861 EAST NEVADA ST","DETROIT","DETROIT","48234-2968","48234-2968","Detroit","Ms.","Ernestine Sanders","Ernestine","Sanders","ernestine.sanders@cornerstoneschools.org","3138921860",,"KG-Part, 1-5, GenEd, PK, SpecEd"
"Corpus Christi Catholic School","12100 QUINCY ST","12100 QUINCY ST","HOLLAND","HOLLAND","49424-8003","49424-8003","West Ottawa","Ms.","Joanne Jones","Joanne","Jones","jswanjones@corpuschristischool.us","6169949864","6169949870","KG-Part, 1-8, GenEd, PK"
"Country Meadows Montessori","8622 DIXIE HWY","8622 DIXIE HWY","FAIR HAVEN","FAIR HAVEN","48023-2466","48023-2466","Algonac","Ms.","Jeanette Bostick","Jeanette","Bostick","email@country-meadows-montessori.com","5867252042",,"KG-Part, 1, GenEd, PK"
"Covenant Christian High School","1401 FERNDALE AVE SW","1401 FERNDALE AVE SW","GRAND RAPIDS","GRAND RAPIDS","49534-6509","49534-6509","Grandville","Mr.","Richard Noorman","Richard","Noorman","rnoorman@altelco.net","6164535048","6164534277","10-12, GenEd"
