"District Name","School Name","Principal Name","Email","Street1","City","Zip","streetaddress","cityaddress"
"Red Clay","Tatnall School, Inc. (The)","Dr. Eric Ruoss","headmaster@tatnall.org","1501 Barley Mill Road","Wilmington","19805","1501 Barley Mill Road","Wilmington, DE 19805"
"Red Clay","High Road School of Delaware","Ian Cassidy","icassidy@highroadschool.com","2002 Rodman Road","Wilmington","19805","2002 Rodman Road","Wilmington, DE 19805"
"Milford","Geneva Academy","Carla Y. Deason","info@genevaacademyofde.com","11146 Ponder Road","Lincoln","199631799","11146 Ponder Road","Lincoln, DE 19963-1799"
"Christina","Islamic Academy of Delaware","Nidal S. Abuasi","info@iadonline.org","28 Salem Church Road","Newark","198014499","28 Salem Church Road","Newark, DE 19801-4499"
"Christina","Delaware Tarbiyah School","Amna Latif","info@tarbiyahschool.org","698 Old Baltimore Pike","Newark","198014499","698 Old Baltimore Pike","Newark, DE 19801-4499"
"Christina","Cross Roads Christian Academy","Dorothy Chambers","ironhillbuilders@comcast.net","1667 Iron Hill Road","Newark","198014499","1667 Iron Hill Road","Newark, DE 19801-4499"
"Brandywine","Concord Christian Academy","Mr. Jeffrey Bergey","jeffrey.bergey@concordchristian.com","2510 Marsh Road","Wilmington","19809","2510 Marsh Road","Wilmington, DE 19809"
"Caesar Rodney","Harvest Christian Academy","Ms. Elaine Sestito","Jestem_3@yahoo.com","7361 Carpenters Bridge Road","Frederica","19934","7361 Carpenters Bridge Road","Frederica, DE 19934"
"Milford","Cross Christian Academy","Joann Fitchett","JLF1993@yahoo.com","4771 Mills Road","Milford","199631799","4771 Mills Road","Milford, DE 19963-1799"
"Smyrna","Family Learning Academies, Inc.","Ms. Janis Menefee","Jmene811@aol.com","PO Box 249","Camden","19977","PO Box 249","Camden, DE 19977"
"Capital","Dover First Christian School: A Seventh-Day Adventist School","Jennifer Miller","jmillerdfcs@gmail.com","647 Wyoming Avenue","Dover","199043498","647 Wyoming Avenue","Dover, DE 19904-3498"
"Christina","Learning Express Academy","Ms. Jennifer Valentine","jvalentine@learningexpressinc.com","302 Darling Street","Newark","198014499","302 Darling Street","Newark, DE 19801-4499"
"Red Clay","International Montessori Academy of Wilmington","Karen Pontrelli Ms.","karen@themontessoriacademyofdelaware.org","1 Middleton Drive","Wilmington","19805","1 Middleton Drive","Wilmington, DE 19805"
"Appoquinimink","Cornerstone Child Care & Youth Center","Katie Davis","kdavis@cornerstonedelaware.com","3135 Summit Bridge Road","Bear","197304010","3135 Summit Bridge Road","Bear, DE 19730-4010"
"Indian River","Southern Sussex Learning Academy","Ms. Kelly Jansen","kjansen@basede.com","14019 Quiddity Way","Bridgeville","19975","14019 Quiddity Way","Bridgeville, DE 19975"
"Christina","Crystal Academy","Michele Kleinhomer","kleinhomer@comcast.net","15 Forestal Circle","Newark","198014499","15 Forestal Circle","Newark, DE 19801-4499"
"Brandywine","Wilmington Montessori School","Ms. Linda Zankowsky","linda_zankowsky@wmsde.org","1400 Harvey Road","Wilmington","19809","1400 Harvey Road","Wilmington, DE 19809"
"Brandywine","Brandywine Valley Christian Preschool","Lori Bishop Ms.","loriabishop@yahoo.com","7 Mt. Lebanon Road","Wilmington","19809","7 Mt. Lebanon Road","Wilmington, DE 19809"
"Appoquinimink","New Beginnings in Jesus Christ Homeschool","Teishia M. Doyle","lovepeople9@hotmail.com","105 Trupenny Turn","Middletown","197304010","105 Trupenny Turn","Middletown, DE 19730-4010"
"Milford","School of Godfrey","Traci Hurd","mamabearhurd@gmail.com","17537 Dutton Lane","Milford","199631799","17537 Dutton Lane","Milford, DE 19963-1799"
"Brandywine","Delaware Gratz Hebrew High School","Marlene C. Milunsky","marlene@delawaregratz.org","101 Garden of Eden Road","Wilmington","19809","101 Garden of Eden Road","Wilmington, DE 19809"
"Red Clay","Wilmington Junior Academy","Mike Marinkovic Mr.","Mike.marinkovic@gmail.com","3001 Mill Creek Road","Wilmington","19805","3001 Mill Creek Road","Wilmington, DE 19805"
"Appoquinimink","Happy Times Learning Center","Mobina Mallick","mobinamallick@gmail.com","32 Doolin Bay Drive","Bear","197304010","32 Doolin Bay Drive","Bear, DE 19730-4010"
"Christina","Mt. Sophia Academy","Vicki Duncan Tillman","mtsophias@yahoo.com","PO Box 9925","Newark","198014499","PO Box 9925","Newark, DE 19801-4499"
"Red Clay","Learning Laboratory (The)","Erinn Chioma","mzchioma@yahoo.com","2200 Baynard Blvd.","Wilmington","19805","2200 Baynard Blvd.","Wilmington, DE 19805"
"Smyrna","St. Josephs Academy","Ms. Nanette Benson","nanettebenson@verizon.net","948 Grears Corner Road","Townsend","19977","948 Grears Corner Road","Townsend, DE 19977"
"Brandywine","St. Helena Early Education Program","Pamela Kreurer","pkreuer@nemours.org","602 Philadelphia Pike","Wilmington","19809","602 Philadelphia Pike","Wilmington, DE 19809"
"Appoquinimink","St. Anne's Episcopal School","Mr. Peter Thayer","pthayer@saintannesschool.org","211 Silver Lake Road","Middletown","197304010","211 Silver Lake Road","Middletown, DE 19730-4010"
"Red Clay","Harvest Christian Academy @ Wilmington","Raymond Williams","raymonddwilliams@comcast.net","2205 W. Lancaster Avenue","Wilmington","19805","2205 W. Lancaster Avenue","Wilmington, DE 19805"
"Colonial","Kingdom Life Preparatory Academy","Rhonda J.C. Williams","rhondajwilliams@comcast.net","101 Lukens Drive","New Castle","197204214","101 Lukens Drive","New Castle, DE 19720-4214"
"Brandywine","Cedar Ridge Academy of Claymont, DE","A. Leigh Kennedy","rsvp0700@gmail.com","1300 Philadelphia Pike","Claymont","19809","1300 Philadelphia Pike","Claymont, DE 19809"
"Colonial","St. Peter School","Ms. Paula Ryan","ryan@saintpeternewcastle.org","515 Harmony Street","New Castle","197204214","515 Harmony Street","New Castle, DE 19720-4214"
"Indian River","Delmarva Christian High School","Scott Kemerling","skemerling@delmarvachristian.com","150 Airport Road","Georgetown","19975","150 Airport Road","Georgetown, DE 19975"
"Red Clay","Wilmington Christian School","Ms. Sandy Kroeber","skroeber@wilmingtonchristian.org","825 Loveville Road","Hockessin","19805","825 Loveville Road","Hockessin, DE 19805"
"Christina","Christ the Teacher Catholic School","LaVerne King Sister","slking@christtheteacher.org","2451 Frazer Road","Newark","198014499","2451 Frazer Road","Newark, DE 19801-4499"
"Brandywine","Albert Einstein Academy","Dr. Jack L. Sparks","sparks@aeacademy.org","101 Garden of Eden Road","Wilmington","19809","101 Garden of Eden Road","Wilmington, DE 19809"
"Smyrna","Mount Sanai Academy","Shannon Payton","spaytonde@yahoo.com","PO Box 153","Clayton","19977","PO Box 153","Clayton, DE 19977"
"Christina","Serviam Girls Academy","Stacy Solomon","ssolomon@serviamgirlsacademy.org","1019 Brown Street","Wilmington","198014499","1019 Brown Street","Wilmington, DE 19801-4499"
"Indian River","Neighborhood Sch for Lrng Creatively","Leigh Scott","thenextstepde@yahoo.com","2 West Church Street","Selbyville","19975","2 West Church Street","Selbyville, DE 19975"
"Christina","Time to Learn (A)","Sherlene Stevens","timetolearn@nni.com","715 W. 7th Street","Wilmington","198014499","715 W. 7th Street","Wilmington, DE 19801-4499"
"Laurel","Acorn Christian School","Tracy Christianson","traceechristianson@yahoo.com","PO Box 223","Milford","199561413","PO Box 223","Milford, DE 19956-1413"
"Indian River","King's Kids Academy","Tammy Walls","Twalls2k6@comcast.net","26433 Secluded Lane","Georgetown","19975","26433 Secluded Lane","Georgetown, DE 19975"
"Red Clay","Meadowood KinderCare Learning Center","Veronica Ducharme","VDucharme@klcorp.com","50 South Meadowood Drive","Newark","19805","50 South Meadowood Drive","Newark, DE 19805"
"Brandywine","Montessori Learning Centre","Vienna Broadbelt","vienna@montessorilc.com","2313 Concord Pike","Wilmington","19809","2313 Concord Pike","Wilmington, DE 19809"
"Capital","KEYS Academy","Wanda Pollock","warriormamma@yahoo.com","4199 Halltown Road","Hartly","199043498","4199 Halltown Road","Hartly, DE 19904-3498"
"Woodbridge","JUST Kids","Hilary Keith","zoe199500@smconnect.com","4644 Williamsville Road","Houston","19933","4644 Williamsville Road","Houston, DE 19933"

