"DISTRICT","NON-PUBLIC SCHOOLS","RELIGIOUS_AFFILIATION","PRINCIPAL","Address","State and zip","Phone","EMAIL"
"24612","NORTHLAND CHRISTIAN SCHOOL ","CHRISTIAN-NONDENOMINATIONAL ","Rice,  Richard ","4214 NW Cookingham Dr  KANSAS CITY","MO  64164 ","(816) 464-578 ","richardr@northlandchristianed.com "
"26400","TRINITY LUTHERAN SCHOOL ","LUTHERAN ","HARTMAN,  KEN ","812 STADIUM BLVD  JEFFERSON CITY  MO","651090000","(573) 636-7348 ","KENHARTMAN@HOTMAIL.COM "
"26402","IMMACULATE CONCEPTION SCH ","CATHOLIC ","Struemph,  Jill ","1208 E MCCARTY  JEFFERSON CITY","MO  65101 ","(573) 635-1833 ","jstruemph@icangels.com "
"26403","ST FRANCIS XAVIER SCHOOL ","CATHOLIC ","FRAZIER,  DONNA ","7307 ROUTE M  JEFFERSON CITY","MO  65101 ","(573) 395-4017 ","OFFICE@SFXTAOS.COM "
"26404","ST STANISLAUS SCHOOL ","CATHOLIC ","Heberlie,  Nancy ","6410 ROUTE W  JEFFERSON CITY","MO  65101 ","(573) 635-4782 ","nancyh@stan.net "
"26405","IMMANUEL LUTHERAN SCHOOL ","LUTHERAN ","LEECH,  BILL  ","8231 TANNER BRIDGE ROAD  JEFFERSON CITY","MO  65101 ","(573) 496-9920 ","IMMANUELHC@EMBARQMAIL.COM "
"26406","ST MARTINS SCHOOL ","CATHOLIC ","WOLTERS,  CATHY ","7206 ST. MARTINS AVE  JEFFERSON CITY  MO","651093035","(573) 893-7404 ","STMARTINS1@EMBARQMAIL.COM "
"26413","HELIAS HIGH SCHOOL ","CATHOLIC ","Dietrich,  Jean ","1305 SWIFTS HIGHWAY  JEFFERSON CITY","MO  65109 ","(573) 635-5615 ","jdietrich@heliashs.com "
"26530","ST THOMAS THE APOSTLE SCH ","CATHOLIC ","DOERHOFF,  SIDNEY ","PO Box 211,14830 RT B  ST THOMAS  MO","650760000","(573) 477-3700 ","SDOERHOFF@EMBARQMAIL.COM "
"26532","CONCORD CHRISTIAN SCHOOL ","OTHER PRIVATE SCHOOL ","MITCHELL,  LARRY ","3212 EMERALD LANE  JEFFERSON CITY","MO  65109 ","(573) 634-7095 ","LMITCHELL@CCSJC.ORG "
"27401","ST PETER & PAUL SCHOOL ","Catholic ","Lammers,  Alan ","502 Seventh St.  BOONVILLE  MO","652330000","(660) 882-2476 ","alammers@ssppschool.net "
"27402","ST JOSEPH SCHOOL ","CATHOLIC ","Monnig,  Kent  ","405 HARRIS ST  PILOT GROVE  MO","652760000","(660) 834-5601 ","kentmonnig@att.net "
"27404","ZION LUTHERAN SCHOOL ","LUTHERAN ","TOELLNER,  MARCIA ","17291 LONE ELM RD  BUNCETON  MO","652370000"," ","TOELLNA@ILAND.NET "
"29400","IMMANUEL LUTHERAN SCHOOL ","LUTHERAN ","GRIFFIN,  GARY ","212 W 4TH, PO BOX H  LOCKWOOD  MO","656820000","(417) 232-4476 ","FRANOKY@HOTMAIL.COM "
"31602","JAMESPORT CHRISTIAN SCHOOL ","CHRISTIAN-NONDENOMINATIONAL ","PRINCIPAL,  SCHOOL ","704 S. MYRTLE ST  JAMESPORT","MO  64648 ","(660) 684-6751 ","sking0369@gmail.com "
"34601","AVA VICTORY ACADEMY ","CHRISTIAN-NONDENOMINATIONAL ","BRUFFETT,  TERESA ","PO Box 608  AVA","MO  65608 ","(417) 683-1402 ","AVAVICTORYACADEMY@GETGOIN.NET "
"35400","ST TERESA SCHOOL ","CATHOLIC ","Ogden,  Peggy ","40648 State Highway JJ  CAMPBELL  MO","639330000","(573) 328-4197 ","pogden@catholicweb.com "
"36400","ST GERTRUDE SCHOOL ","Catholic ","Newbanks,  Mike  ","6520 STATE RD YY  WASHINGTON","MO  63090 ","(636) 239-3550 ","newbanksm@sgs-krakow.com "
"36401","IMMACULATE CONCEPTION SCH ","Catholic ","Stahlman,  Tom ","6 WEST STATE STREET  UNION","MO  63084 ","(636) 583-3073 ","stahlmant@icschoolunion.org "
"36402","ST FRANCIS BORGIA SCHOOLS ","CATHOLIC ","BRANSON,  KEITH ","225 CEDAR STREET  WASHINGTON","MO  63090 ","(636) 239-3501 ","KBRANSON@SFBGS.ORG "
"36403","ST BRIDGET'S SCHOOL ","CATHOLIC ","HERBST,  PAT ","223 W UNION ST  PACIFIC  MO","630690000","(636) 257-2504 ","HERBST_PAT@STBRIDGETOFKILDARE.ORG "
"36404","ST CLARE CATHOLIC SCHOOL ","CATHOLIC ","HOFFMAN,  MARY ","125 E SPRINGFIELD  ST CLAIR","MO  63077 ","(636) 629-1440 ","STCLARECATH@YAHOO.COM "
"36405","OUR LADY OF LOURDES SCH ","CATHOLIC ","WHALEN,  ERIN ","950 MADISON AVE  WASHINGTON","MO  63090 ","(636) 239-7682 ","EWHALEN@OLLWASHINGTONMO.COM "
"36406","ST JOHN THE BAPTIST SCHOOL ","CATHOLIC ","WILSON,  JUDITH ","5579 GILDEHAUS RD  VILLA RIDGE","MO  63089 ","(636) 583-9341 ","PRINCIPAL326@ARCHSTL.ORG "
"36408","ST ANTHONY SCHOOL ","CATHOLIC ","KUCHLER,  SISTER JOANN ","119 W SPRINGFIELD  SULLIVAN  MO","630800000","(573) 468-3428 ","ANTHONYS@FIDNET.COM "
"36415","ST FRANCIS BORGIA REG H S ","CATHOLIC ","HEGER,  BRAD ","1000 BORGIA DRIVE  WASHINGTON","MO  63090 ","(636) 239-1198 ","BRAD.HEGER@BORGIA.COM "
"37400","ST GEORGE SCHOOLS ","CATHOLIC ","CLINGMAN,  JULIE ","133 W FOURTH STREET  HERMANN","MO  65041 ","(573) 486-1914 ","JCLINGMAN@STGEORGESCHOOL-HERMANN.COM "
"37401","IMMANUEL LUTHERAN SCHOOL ","LUTHERAN ","OTTEN,  CARL ","300 N FIRST  ROSEBUD  MO","630910000","(573) 764-3495 ","IMMANUEL@FIDNET.COM "
"39401","ST AGNES SCHOOLS ","CATHOLIC ","SKAHAN,  JEANNE ","531 S JEFFERSON  SPRINGFIELD","MO  65806 ","(417) 866-2906 ","JSKAHAN@SCSPK12.ORG "
"39403","IMMACULATE CONCEPTION SCH ","CATHOLIC ","BAIRD,  PAULA ","3555 SOUTH FREMONT  SPRINGFIELD  MO","658040000","(417) 881-7087 ","PBAIRD@SCSPK12.ORG "
"39408","SPRINGFIELD LUTHERAN SCH ","LUTHERAN ","Baker,  Paul ","2852 S DAYTON  SPRINGFIELD","MO  65807 ","(417) 889-6218 ","pbaker@rlcmail.org "
"39409","SPRINGFIELD CATHOLIC HIGH ","CATHOLIC ","DEMELO,  AMY ","2340 S EASTGATE  SPRINGFIELD  MO","658090000","(417) 885-1165 ","ADEMELO@SCSPK12.ORG "
"39415","SPRINGFIELD SEVENTH DAY ADVENT ","SEVENTH-DAY ADVENTIST ","Reasoner,  Beverly ","704 S. BELVIEW  SPRINGFIELD","MO  65802 ","(417) 862-833 ","bevsda@yahoo.com "
"39603","NEW COVENANT ACADEMY ","CHRISTIAN-NONDENOMINATIONAL ","Pruett,  Sharon ","3304 S COX RD  SPRINGFIELD","MO  65807 ","(417) 887-2419 ","spruett@newcovenant.net "
"39610","PARK AVENUE CHRISTIAN SCHOOL ","CHRISTIAN-NONDENOMINATIONAL ","Ralph,  Roy ","2850 N. PARK AVE  SPRINGFIELD","MO  65803 ","(360) 369-361 ","pacschool@mchsi.com "
"39611","ST ELIZABETH ANN SETON SCHOOL ","CATHOLIC ","HALL,  CHERYL ","2200 W Republic Road  SPRINGFIELD","MO  65807 ","(417) 887-2189 ","CHALL@SCSPK12.ORG "
"42400","ST MARYS SCHOOL ","CATHOLIC ","KOEHLER,  SUE ","608 KANSAS  MONTROSE","MO  64770 ","(660) 693-4713 ","RAKLAWETC@YAHOO.COM "
"42401","HOLY ROSARY SCHOOL ","CATHOLIC ","MCMILLAN,  DOUG ","400 EAST WILSON  CLINTON  MO","647350000","(660) 885-5791 ","DMCMILLAN@HRCLINTON.NET "
"42403","CLINTON CHRISTIAN ACADEMY ","CHRISTIAN-NONDENOMINATIONAL ","REID,  GENE ","271 WEST DIVISION ROAD  CLINTON","MO  64735 ","(660) 885-2191 ","GREID@CLINTONACADEMY.ORG "
"45400","ST MARYS SCHOOL ","CATHOLIC ","MONNIG,  KENT ","501 3RD ST  GLASGOW","MO  65254 ","(660) 338-9930 ","KENTMONNIG@ATT.NET "
"46406","FAITH ASSEMBLY CHRISTIAN SCHL ","OTHER PRIVATE SCHOOL ","JACOBS,  ROBERTA ","PO BOX 748  WEST PLAINS","MO  65775 ","(417) 257-2838 ","FCAWARRIORS@LIVE.COM "
"48404","ST ELIZABETHS SCHOOL ","CATHOLIC ","KOLLASCH,  PAT ","14 W 75TH  KANSAS CITY  MO","641140000","(816) 523-2566 ","KOLLASCH@STELIZABETHNET.ORG "
"48406","VISITATION SCHOOL ","CATHOLIC ","Cascone,  Vincent ","5134 BALTIMORE ST  KANSAS CITY  MO","64112-2497 ","(816) 531-8045 ","vcascone@school.visitation.org "
"48410","HOLY CROSS SCHOOL ","Catholic ","FERRARA,  JEAN ","121 N QUINCY  KANSAS CITY  MO","64123-1399 ","(816) 231-7258 ","jferrara@holycrosscatholicschool.org "
"48413","CALVARY LUTHERAN SCHOOL ","LUTHERAN ","KLETKE,  D BRUCE ","7500 OAK ST  KANSAS CITY  MO","641140000","(816) 361-5979 ","BKLETKE@CALVARYKC.COM "
"48420","ST PETERS SCHOOL ","CATHOLIC ","SPALLO,  JANET ","6400 CHARLOTTE  KANSAS CITY","MO  64131 ","(816) 523-1248 ","JSPALLO@STPETERSKC.ORG "
"48423","NOVA CENTER ","OTHER PRIVATE SCHOOL ","Elder,  Georgette ","2425 SOUTH HARDY AVE  INDEPENDENCE","MO  64052 ","(816) 924-3678 ","gelder429@msn.com "
"48430","ST JOHN LA LANDE SCHOOL ","CATHOLIC ","HELM,  NATALIE ","801 NW R D MIZE ROAD  BLUE SPRINGS  MO","640150000","(816) 228-8979 ","NHELM@STJOHNLALANDE.COM "
"48443","CENTER PLACE RESTORATION ","OTHER RELIGION ","NEILL,  RICHARD ","819 WEST WALDO AVE  INDEPENDENCE  MO","640500000","(816) 252-2900 ","geagle99mo@aol.com "
"48445","NATIVITY BVM SCHOOL ","Catholic ","Baker,  Elizabeth ","10021 E 36TH TERR  INDEPENDENCE  MO","640520000","(816) 356-286 ","lbaker@nativityofmary.org "
"48448","ISLAMIC SCH OF GREATER KC ","OTHER RELIGION ","HAMOUDA,  SABA ","10007 JAMES A REED  KANSAS CITY  MO","641340000","(816) 761-9249 ","OFFICE@ISGKC.NET "
"48457","ST JOHN REGIS SCHOOL ","Catholic ","Bachkora,  Mary ","8941 JAMES A REED  KANSAS CITY  MO","641380000","(816) 966-1350 ","mbachkora@regisschool.org "
"48480","ST PAUL'S EPISCOPAL DAY SCHOOL ","CHRISTIAN-NONDENOMINATIONAL ","BARNES,  LIZ ","4041 MAIN STREET  KANSAS CITY","MO  64111 ","(816) 931-6860 ","EBARNES@SPEDS.ORG "
"48601","LEE'S SUMMIT COMM CHRIST SCH ","CHRISTIAN-NONDENOMINATIONAL ","Harrelson,  Linda ","1500 SW Jefferson  LEE'S SUMMIT","MO  64081 ","(816) 525-5402 ","lharrelson@sca-kc.org "
"48620","LUTHERAN HIGH SCHOOL ","Lutheran ","Domsch,  Chris ","12411 WORNALL ROAD  KANSAS CITY","MO  64145 ","(816) 876-2069 ","kwerth@lhskc.com "
"48630","ST TERESA'S ACADEMY ","Catholic ","McCormick,  Barbara ","5600 MAIN STREET  Kansas City  MO","64113-1298 ","(816) 523-232 ","Bmccormick@stteresasacademy.org "
"48633","NOTRE DAME DE SION HIGH SCHOOL ","CATHOLIC ","OLSON,  MICHELLE ","10631 Wornall Road  Kansas City  MO","64114-5096 ","(816) 942-4052 ","molson@NDSION.EDU "
"48634","SHERWOOD CENTER FOR THE EXCEPT ","Other Private School ","cindrich,  elizabeth ","7938 CHESTNUT  KANSAS CITY","MO  64132 ","(816) 822-1988 ","ecindrich@sherwoodcenter.org "
"48640","NOTRE DAME DE SION ELEMENTARY ","CATHOLIC ","Butel,  Catherine ","3823 Locust Street  Kansas City  MO","64109-2697 ","(816) 753-806 ","cbutel@ndsion.edu "
"48641","RAINBOW CENTER FOR COMMUN ","Other Private School ","HERRICK,  MARILU ","900 NW Woods Chapel Rd.  Blue Springs","MO  64015 ","(816) 229-4260 ","MARILU.HERRICK@RAINBOW-CENTER.ORG "
"48642","ARCHBISHOP O'HARA HIGH SCHOOL ","CATHOLIC ","O'CONNOR,  JOHN ","9001 James A. Reed Rd.  Kansas City  MO","64138-4420 ","(816) 765-5008 ","JOCONNOR@OHARAHS.ORG "
"48644","ROCKHURST HIGH SCHOOL ","Catholic ","Harkness,  Gregory ","9301 STATE LINE ROAD  KANSAS CITY","MO  64114 ","(816) 363-8883 ","gharkness@rockhursths.edu "
"48705","GLAD-TIDINGS ASSEMBLY OF GOD ","OTHER RELIGION ","Fraser,  Errolyn ","2830 E 60TH STREET  KANSAS CITY","MO  64130 ","(816) 333-396 ","direfraser@aol.com "
"48713","TIMOTHY LUTHERAN SCHOOL ","LUTHERAN ","KUERSCHNER,  ED ","301 SW Wyatt Road  BLUE SPRINGS","MO  64014 ","(816) 874-4025 ","EDK@TIMOTHYLUTHERAN.COM "
"48714","GRANDVIEW CHRISTIAN SCHOOL ","Christian-Nondenominational ","Sharpton,  Denise  ","ATTN: Denise Sharpton  GRANDVIEW","MO  64030 ","(816) 763-5029 ","dsharpton@grandviewchristianschool.com "
"48719","PLAZA HEIGHTS CHRISTIAN ACAD ","CHRISTIAN-NONDENOMINATIONAL ","Hart,  Michael ","1500 SW CLARK ROAD  BLUE SPRINGS","MO  64015 ","(816) 229-4092 ","mhart@plazaheights.org "
"49400","ST MARYS SCHOOL ","CATHOLIC ","Jones,  Stephen  ","505 WEST 25TH  JOPLIN","MO  64804 ","(417) 623-4749 ","sjones@jacss.org "
"49401","ST ANNS SCHOOL ","Catholic ","Schaeffer,  Bonnie ","1156 GRAND AVENUE  CARTHAGE","MO  64836 ","(417) 358-8976 ","bschaeffer26@yahoo.com "
"49402","MC AULEY REGIONAL HIGH ","Catholic ","Koester,  Gene ","930 PEARL  JOPLIN","MO  64801 ","(417) 626-8334 ","gkoester@jacss.org "
"49403","MARTIN LUTHER SCHOOL ","LUTHERAN ","SCHAMBER,  JEREMY ","2616 CONNECTICUT  JOPLIN  MO","648043027","(417) 624-2774 ","JSCHAMBER@MARTINLUTHERJOPLIN.COM "
"49601","COLLEGE HEIGHTS CHRISTIAN SCHO ","CHRISTIAN-NONDENOMINATIONAL ","HORTON,  NELSON ","4311 E. Newman Road  Joplin","MO  64801 ","(417) 659-9092 ","SWOODMANSEE@COLLEGEHEIGHTS.ORG "
"49605","ST PETER'S MIDDLE SCHOOL ","CATHOLIC ","Emory,  William ","802 BYERS AVE.  JOPLIN","MO  64801 ","(417) 624-6254 ","gemory@jacss.org "
"49606","THOMAS JEFFERSON INDEP DAY SCH ","Independent - Nonsectarian ","McDonald,  Laura ","3401 E NEWMAN RD  JOPLIN","MO  64801 ","(417) 781-1949 ","etaylor@tjeffschool.org "
"50400","ST ROSE OF LIMA SCHOOL ","CATHOLIC ","Renick,  Imogene ","523 South Fourth Street  DESOTO  MO","630200000","(636) 337-2394 ","srol-prin@sbcglobal.net "
"50403","OUR LADY SCHOOL ","CATHOLIC ","KEMPFER,  TRACY ","1599 St. Mary Lane  FESTUS  MO","63028-1599 ","(636) 933-2230 ","TKEMPFER@OURLADYFESTUS.ORG "
"50406","HOLY CHILD SCHOOL ","CATHOLIC ","COWELL,  ROB ","2316 CHURCH RD  ARNOLD","MO  63010 ","(636) 296-5639 ","RCOWELL@HOLYCHILD.MO.K12US.COM "
"50407","ST PIUS X HIGH SCHOOL ","Catholic ","DeCosty,  Karen ","1030 ST. PIUS DR.  FESTUS  MO","630280000","(636) 931-7487 e","xt. 102                       kdecosty@stpius.com "
"50410","GOOD SHEPHERD SCHOOL ","CATHOLIC ","Jones,  Mariann ","701 THIRD ST  HILLSBORO  MO","630504341","(636) 789-3311 ","principal@mygoodshepherd.com "
"50416","ST JOHNS LUTHERAN SCHOOL ","LUTHERAN ","PAWLITZ,  RON ","3511 JEFFCO BLVD  ARNOLD  MO","630103996","(636) 464-8424 ","RPAWLITZ@SJLSARNOLD.ORG "
"50420","ST JOSEPH CATHOLIC ELEM ","CATHOLIC ","SMITH,  MARY ELLEN ","6024 OLD ANTONIA RD  IMPERIAL  MO","630520000","(636) 464-8792 ","MESMITH@STJOSEPHIMPERIAL.ORG "
"54402","TRINITY LUTHERAN SCHOOL ","Lutheran ","Tebbenkamp,  Rob ","304 N. WAVERLY  ALMA  MO","64001-0257 ","(660) 674-2747 ","trinity@almanet.net "
"54403","IMMANUEL LUTHERAN SCHOOL ","LUTHERAN ","GESCH,  RON ","1500 LIPPER  HIGGINSVILLE  MO","640370000","(660) 584-5914 ","ILS@CTCIS.NET "
"54405","ST PAUL'S LUTHERAN HIGH SCHOOL ","LUTHERAN ","LEMMONS,  BILL ","205 SOUTH MAIN ST  CONCORDIA","MO  64020 ","(660) 463-7621 ","BLEMMONS@SPLHS.ORG "
"54407","WENTWORTH MILITARY ACAD/JR COL ","OTHER PRIVATE SCHOOL ","AULL,  JOE ","1880 WASHINGTON AVE  LEXINGTON","MO  64067 ","(660) 259-2677 ","JAULL@WMA.EDU "
"55400","TRINITY LUTHERAN SCHOOL ","Lutheran ","Kleiboeker,  Carole A ","218 N MAIN  FREISTATT  MO","656540000","(417) 235-5931 ","tls@mo-net.com "
"55412","ROUND GROVE CHRISTIAN ACADEMY ","Christian-Nondenominational ","Bowles,  Lori ","877 Hwy UU  MILLER","MO  65707 ","(417) 452-2573 ","rgcaschool@yahoo.com "
"56600","CEDAR FALLS SCHOOL ","INDEPENDENT - NONSECTARIAN ","Wyatt,  Carol ","19481 STATE HIGHWAY B  CANTON","MO  63435 ","(573) 288-5298 ","rwyatt11@yahoo.com "
"57400","IMMACULATE CONCEPTION SCH ","CATHOLIC ","SCHUTZ,  SUE ","120 MARYKNOLL  OLD MONROE  MO","633690000","(636) 661-5002 ","PRINCIPAL@ICOMSCHOOL.ORG "
"57402","ST ALPHONSUS SCHOOL ","CATHOLIC ","Huber,  Lisa ","25 ST ALPHONSUS RD  SILEX","MO  63377 ","(573) 384-6190 ","alphonsus@windstream.net "
"57403","SACRED HEART SCHOOL ","CATHOLIC ","FENNEWALD,  JEANNETTE ","110 THOMPSON DR  TROY","MO  63379 ","(636) 528-3923 ","SJEANNETTE@SACREDHEARTTROY.ORG "
"57405","FIRST BAPTIST CHRISTIAN ACAD ","CHRISTIAN-NONDENOMINATIONAL ","Ryan,  Karen ","1000 Elm Tree Road  TROY  MO","633790000","(636) 528-8766 ","fbca@troyfirst.com "
"59400","BISHOP HOGAN SCHOOLS ","Catholic ","SACCARO,  DONNA ","1114 TRENTON ST  CHILLICOTHE","MO  64601 ","(660) 646-705 ","KIDSAREUS@BISHOPHOGAN.ORG "
"61401","IMMACULATE CONCEPTION SCH ","CATHOLIC ","KOCH,  BARBARA ","401 N RUBY ST  MACON","MO  63552 ","(660) 385-2839 ","SBRKOPCH@CENTURYTEL.NET "
"61601","TRI-COUNTY CHRISTIAN SCHOOL ","Christian-Nondenominational ","Bunse,  Kala ","604 H.B.C. ROAD  MACON","MO  63552 ","(660) 385-7011 ","kbunse@cvalley.net "
"64403","HOLY FAMILY CATH SCHOOL ","CATHOLIC ","Hayward,  Joy ","1113 BROADWAY  HANNIBAL","MO  63401 ","(573) 221-6357 ","hayward@myholyfamily.com "
"64404","ST JOHNS LUTHERAN SCHOOL ","LUTHERAN ","KOENIG,  MATT ","1317 LYON STREET  HANNIBAL","MO  63401 ","(573) 221-8384 ","SCHOOL@STJOHNSHANNIBAL.ORG "
"66600","LAKEVIEW CHRISTIAN ACADEMY ","Christian-Nondenominational ","Thrasher,  Carolyn ","31 Wood River Rd.  Lake Ozark","MO  65049 ","(573) 348-1280 ","learning7@ymail.com "
"67400","ST HENRYS SCHOOL ","Catholic ","Harvell,  Alice ","306 COURT ST  CHARLESTON  MO","638340000","(573) 683-4124 ","sthenryprincipal@catholicweb.com "
"68400","ST ANDREW SCHOOL ","CATHOLIC ","Franken,  Helen ","118 East Cooper Street  TIPTON  MO","650810000","(660) 433-5432 ","standr34@embarqmail.com "
"69400","HOLY ROSARY SCHOOL ","CATHOLIC ","WALKER,  SR. SUZANNE ","620 S MAIN ST  MONROE CITY  MO","634560000","(573) 735-3091 ","HRSSW@SOCKET.NET "
"70401","IMMACULATE CONCEPTION SCH ","CATHOLIC ","FRANKENBERG,  JAIME ","407 W 3RD STREET  MONTGOMERY CITY","MO  63361 ","(573) 564-2305 ","jfrankenberg@icschool-mc.org "
