"County Name","School name","Street","City","State","Zip","Physical Street","Physical City","Physical State","Physical Zip","Administrator Name","Administrator Title","Grade Start","Grade End","Phone","Fax","Email"
"Franklin","St Pauls Lutheran School","404  W. Main St","Latimer","Iowa","50452","404 W. Main St","Latimer","Iowa","50452","Barb Buescher","Principal","K","08","6415796046","6415796285","stplsl@frontiernet.net"
"Carroll","Kuemper Catholic School System","116 South East St.","Carroll","Iowa","51401","116 South East St.","Carroll","Iowa","51401","Vern Henkenius","Other Administrator","PK","12","7127923313","7127928073","vrhenkenius@kuemper.org"
"Carroll","Kuemper High School","109 S Clark","Carroll","Iowa","51401","109 S Clark","Carroll","Iowa","51401","Penny Miller","Principal","09","12","7127923596","7127928070","psmiller@kuemper.org"
"Carroll","Kuemper Catholic Grade School","201 S Clark","Carroll","Iowa","51401","201 S. Clark Street","Carroll","Iowa","51401","Sharon Dentlinger","Principal","PK","08","7127923610","7127928072","skdentlinger@kuemper.org"
"Black Hawk","Valley Lutheran High School","4520 Rownd Street","Cedar Falls","Iowa","50613-7924","4520 Rownd Street","Cedar Falls","Iowa","50613-7924","Nathan Richter","Principal","09","12","3192664565","8888888888","nrichter@valleylutheranhigh.com"
"Black Hawk","St Patrick School","615 Washington St","Cedar Falls","Iowa","50613","615 Washington St","Cedar Falls","Iowa","50613","Sr Marilou Irons","Principal","PK","08","3192776781","3192665806","DBQE07@arch.pvt.k12.ia.us"
"Linn","Holy Family School System","3700 First Avenue NW","Cedar Rapids","Iowa","52405","3700 First Avenue NW","Cedar Rapids","Iowa","52405","Richard Louk","Principal","PK","08","3193967792","3193906527","dbqe12@arch.pvt.k12.ia.us"
"Linn","All Saints School","720 29th St SE","Cedar Rapids","Iowa","52403","720 29th St SE","Cedar Rapids","Iowa","52403","Marlene Bartlett","Principal","PK","05","3193634110","3193639547","mbartlett@cr-cath.pvt.k12.ia.us"
"Linn","Xavier High School","6300 42nd StNE","Cedar Rapids","Iowa","52411","6300 42nd StNE","Cedar Rapids","Iowa","52411","Tom Keating","Principal","09","12","3192946635","3192946712","tkeating@cr-cath.pvt.k12.ia.us"
"Linn","St Ludmila Center","215 21st Ave SW","Cedar Rapids","Iowa","52404","215 21st Ave SW","Cedar Rapids","Iowa","52404","Rick Louk","Principal","PK","04","3193621943","3193644149","dbqe10@arch.pvt.k12.ia.us"
"Linn","St Matthew School","125 24th St. N.E.","Cedar Rapids","Iowa","52402","125 24th St. N.E.","Cedar Rapids","Iowa","52402","Joseph F. Wolf","Principal","PK","05","3193623021","3193627946","dbqe11@arch.pvt.k12.ia.us"
"Linn","St Pius X School","4901 Council St., NE","Cedar Rapids","Iowa","52402-2402","4901 Council St., NE","Cedar Rapids","Iowa","52402-2402","Candace G. Hurley","Principal","PK","05","3193934507","3193930216","DBQE13@arch.pvt.k12.ia.us"
"Linn","St Jude Center","3700 1st Avenue NW","Cedar Rapids","Iowa","52405","3700 1st Avenue NW","Cedar Rapids","Iowa","52405","Ronda Krystofiak","Principal","PK","02","3193967818","3193900952","dbqe09@arch.pvt.k12.ia.us"
"Linn","Summit Schools Inc","1010 Regent St NE","Cedar Rapids","Iowa","52402","1010 Regent St NE","Cedar Rapids","Iowa","52402","Erikka Vosmek","Supervisor","PK","05","3192942036","3192942039","ebenhart@summit.pvt.k12.ia.us"
"Linn","Trinity Lutheran School","1361 7th Ave SW","Cedar Rapids","Iowa","52404-1831","1361 7th Ave SW","Cedar Rapids","Iowa","52404-1831","Jonathan Baumgartel","Principal","PK","08","3193626952","3193661569","baumgartelj@trinitycr.org"
"Linn","Regis Middle School","735 Prairie Dr. NE","Cedar Rapids","Iowa","52402","735 Prairie Dr. NE","Cedar Rapids","Iowa","52402","Rick Blackwell","Principal","06","08","3193631968","3192476099","regismiddleschool@mchsi.com"
"Linn","LaSalle Middle School","3700 First Ave. N.W.","Cedar Rapids","Iowa","52405","3700 First Ave. N.W.","Cedar Rapids","Iowa","52405","Richard Louk","Principal","05","08","3193967792","3193906527","dbqe12@arch.pvt.k12.ia.us"
"Linn","Isaac Newton Christian Academy","1635 Linmar Drive NE","Cedar Rapids","Iowa","52402","1635 Linmar Drive NE","Cedar Rapids","Iowa","52402","Dean Ridder","Principal","PK","08","3193629512","3193625610","dridder@incaonline.org"
"Clinton","St Joseph School","417 6th Ave","De Witt","Iowa","52742","417 6th Ave","De Witt","Iowa","52742","Christine A. Meyer","Principal","K","08","5636593812","5636591565","chris.meyer@st-joseph-dwt.pvt.k12.ia.us"
"Lyon","Northwest Iowa Protestant Reformed Sch","302 N 3rd St","Doon","Iowa","51235","302 N 3rd St","Doon","Iowa","51235","Vacant","Principal","K","08","7127263200","7127263200","nwiaprs@mtcnet.net"
"Floyd","Immaculate Conception School","1203 Clark","Charles City","Iowa","50616","1203 Clark","Charles City","Iowa","50616","Mindy Hart","Principal","PK","06","6412281225","6412287692","DBQE14@arch.pvt.k12.ia.us"
"Page","Clarinda Lutheran School Association","707 W Scidmore","Clarinda","Iowa","51632","707 W Scidmore","Clarinda","Iowa","51632","Merrilee Anne Sump","Principal","K","08","7125423657","7125423657","msump@cls.k12.ia.us"
"Clinton","Prince Of Peace Catholic Education System","312 S 4th Street","Clinton","Iowa","52732","312 S 4th Street","Clinton","Iowa","52732","Nancy Peart","Administrator","PK","12","5632421663","5632438272","npeart@prince.pvt.k12.ia.us"
"Clinton","Prince of Peace Academy Elementary Building","312 S 4th St","Clinton","Iowa","52732","312 S 4th St","Clinton","Iowa","52732","Nancy Peart","Administrator","K","08","5632421663","5632438272","npeart@prince.pvt.k12.ia.us"
"Clinton","Prince of Peace College Prep","312 South 4th Street","Clinton","Iowa","52732","312 South 4th Street","Clinton","Iowa","52732","Nancy Peart","Administrator","09","12","5632421663","5632438272","npeart@prince.pvt.k12.ia.us"
"Clinton","Prince of Peace Preschool","312 S. 4th Street","Clinton","Iowa","52732","245 26th Ave North","Clinton","Iowa","52732","Nancy Peart","Administrator–Other","PK","PK","5632429258","5632429258","npeart@prince.pvt.k12.ia.us"
"Pottawattamie","St Albert Catholic Schools","400 Gleason Avenue","Council Bluffs","Iowa","51503","400 Gleason Avenue","Council Bluffs","Iowa","51503","Jonna D. Andersen","Principal","PK","12","7123282316","7123288316","andersenj@stalbert.pvt.k12.ia.us"
"Pottawattamie","St Albert Elementary Sch","400 Gleason Avenue","Council Bluffs","Iowa","51503","400 Gleason Avenue","Council Bluffs","Iowa","51503","Anne I. Jensen","Principal","PK","06","7123233703","7123220399","jensena@saintalbertschools.org"
"Pottawattamie","St Albert Secondary School","400 Gleason Ave","Council Bluffs","Iowa","51503","400 Gleason Ave","Council Bluffs","Iowa","51503","Jonna Andersen","Principal","07","12","7123282316","7123288316","andersenj@stalbertschools.org"
"Union","St Malachy School","403 W Clark","Creston","Iowa","50801","403 W Clark","Creston","Iowa","50801","John T. Walsh","Principal","PK","08","6417827125","6417825924","jwalsh@crestonstmalachy.org"
"Scott","Assumption High School","1020 W Central Park Ave","Davenport","Iowa","52804","1020 W Central Park Ave","Davenport","Iowa","52804","Chuck  Elbert","Principal","09","12","5633265313","5633263510","elbertc@mail.assumption.pvt.k12.ia.us"
"Scott","All Saints Catholic School","1926 Marquette St","Davenport","Iowa","52804-2198","1926 Marquette St","Davenport","Iowa","52804-2198","Cheryl Lafferty","Principal","PK","08","5633243205","5633249331","clafferty@saints.pvt.k12.ia.us"
"Scott","St Paul The Apostle School","1007 E Rusholme St","Davenport","Iowa","52803","1007 E Rusholme St","Davenport","Iowa","52803","Julie  Delaney","Principal","PK","08","5633222923","5633222530","julie.delaney@st-paul.pvt.k12.ia.us"
"Scott","John F Kennedy Cath Sch","1627 W 42nd St","Davenport","Iowa","52806","1627 W 42nd St","Davenport","Iowa","52806","Chad C. Steimle","Principal","PK","08","5633913030","5633885206","chad.steimle@kennedy-dav.pvt.k12.ia.us"
"Scott","Marquette Academy","1116 West 6th Street","Davenport","Iowa","52802","1116 West 6th Street","Davenport","Iowa","52802","Carolyn Merrill","Principal","K","05","5633223723",,"merrill60@msn.com"
"Scott","Trinity Lutheran School","1122 W Central Pk Ave","Davenport","Iowa","52804","1122 W Central Pk Ave","Davenport","Iowa","52804","Bill Meyer","Principal","PK","08","5633225224","5633249153","bmeyer@trinity-lutheran-dav.pvt.k12.ia.us"
"Winneshiek","St Benedict School","402 Rural Ave","Decorah","Iowa","52101","402 Rural Ave","Decorah","Iowa","52101","Ruth J. Palmer","Principal","PK","08","5633824668","5633823193","dbqe16@arch.pvt.k12.ia.us"
"Crawford","St Rose Of Lima School","1012 2nd Ave South","Denison","Iowa","51442","1012 2nd Ave South","Denison","Iowa","51442","Susan King","Principal","K","05","7122635408","7122639370","k6strose@frontiernet.net"
"Crawford","Zion Lutheran School","1004 1st Ave South","Denison","Iowa","51442","1004 1st Ave South","Denison","Iowa","51442","Brian L''Heureux","Principal","K","08","7122634766","7122636010","zionls@frontiernet.net"
"Polk","Grandview Park Baptist Elem","1701 East 33rd Street","Des Moines","Iowa","50317","1701 East 33rd Street","Des Moines","Iowa","50317","Richard McWilliams","Principal","K","08","5152657579","5152669834","mcwilliams.gpbs@mchsi.com"
"Polk","St Anthony School","16 Columbus Ave","Des Moines","Iowa","50315","16 Columbus Ave","Des Moines","Iowa","50315","Joseph F. Cordaro","Principal","PK","08","5152431874","5152434467","jcordaro@stanthonydsm.org"
"Polk","St Augustin School","4320 Grand Ave","Des Moines","Iowa","50312","4320 Grand Ave","Des Moines","Iowa","50312","Nancy Oneill Dowdle","Administrator","PK","08","5152795947","5152798049","ndowdle@dowling.pvt.k12.ia.us"
"Polk","Holy Family School","1265 E. 9th St.","Des Moines","Iowa","50316","1265 E. 9th St.","Des Moines","Iowa","50316","Martin Flaherty","Principal","PK","08","5152628025","5152629665","mflaherty@hfsdm.org"
"Polk","St Joseph Elementary School","2107 E 33rd St","Des Moines","Iowa","50317","2107 E 33rd St","Des Moines","Iowa","50317","Phyllis J. Konchar","Principal","PK","08","5152663433","5152662860","Pkonchar@dowling.pvt.k12.ia.us"
"Polk","St Theresa School","5810 Cara Carpenter Ave","Des Moines","Iowa","50311","5810 Cara Carpenter Ave","Des Moines","Iowa","50311","Ellen K. Stemler","Principal","PK","08","5152770178","5152552415","estemler@sainttheresaiowa.org"
"Polk","Christ The King School","701 Wall Ave","Des Moines","Iowa","50315","701 Wall Ave","Des Moines","Iowa","50315","Becky Johnson","Principal","PK","08","5152853349","5152850381","bjohnson@dowling.pvt.k12.ia.us"
"Polk","Holy Trinity School","2922 Beaver Ave","Des Moines","Iowa","50310","2922 Beaver Ave","Des Moines","Iowa","50310","Audra Meyer","Principal","PK","08","5152553162","5152551381","ameyer@htschool.org"
"Polk","Mt Olive Lutheran School","5625 Franklin","Des Moines","Iowa","50310-1099","5625 Franklin","Des Moines","Iowa","50310-1099","Cory Emily","Principal","K","08","5152770247","5152742723","cory.emily@molcs.org"
"Polk","The Academy","100 45th St","Des Moines","Iowa","50312","100 45th St","Des Moines","Iowa","50312","Kathleen Ricker","Principal","K","08","5152740453","5152776237","office@theacademydesmoines.org"
"Dubuque","Holy Family System (Dubuque)","2005 Kane St","Dubuque","Iowa","52001","2005 Kane St","Dubuque","Iowa","52001","Steven Cornelius","Administrator–Other","PK","12","5635825456","5635833885","dbqmd01@arch.pvt.k12.ia.us"
"Dubuque","St Columbkille School","1198 Rush St","Dubuque","Iowa","52003","1198 Rush St","Dubuque","Iowa","52003","Barb Roling","Principal","K","05","5635823532","5635834884","dbqe22@arch.pvt.k12.ia.us"
"Dubuque","St Anthony School","2175 Rosedale","Dubuque","Iowa","52001-4198","2175 Rosedale","Dubuque","Iowa","52001-4198","Denise Grant","Principal","PK","05","5635562820","5635562131","dgrant@holyfamily.dbq.pvt.k12.ia.us"
"Dubuque","Holy Ghost School","2981 Central Ave","Dubuque","Iowa","52001-1953","2981 Central Ave","Dubuque","Iowa","52001-1953","Denise Grant","Principal","PK","05","5635561511","5635564768","DBQE17@arch.pvt.k12.ia.us"
"Dubuque","Mazzuchelli Catholic Middle School","2005 Kane Street","Dubuque","Iowa","52001","2005 Kane Street","Dubuque","Iowa","52001","Kim Hermsen","Principal","06","08","5635825456","5635833885","DBQM03@arch.pvt.k12.ia.us"
"Dubuque","Wahlert Catholic High School","2005 Kane St","Dubuque","Iowa","52001-0599","2005 Kane St","Dubuque","Iowa","52001-0599","Ron Meyer","Principal","09","12","5635839771","5635839775","DBQH04@arch.pvt.k12.ia.us"
"Dubuque","Resurrection School","4300 Asbury Rd","Dubuque","Iowa","52002-0498","4300 Asbury Rd","Dubuque","Iowa","52002-0498","David Gross","Principal","K","05","5635839488","5635577995","DBQE20@arch.pvt.k12.ia.us"
"Dubuque","Dubuque Lutheran School","2145 John F. Kennedy Rd","Dubuque","Iowa","52002","2145 John F. Kennedy Rd","Dubuque","Iowa","52002","George Wm. Holland","Principal","K","05","5635880614","5635883475","principal@dubuquelutheranschool.com"
"Palo Alto","Emmetsburg Catholic School","1903 S Broadway","Emmetsburg","Iowa","50536","1903 S Broadway","Emmetsburg","Iowa","50536","Jean Hylsop","Principal","K","08","7128523464","7128523464","jhyslop@emmetsburg-catholic.pvt.k12.ia.us"
"Jefferson","Maharishi School Of The Age Of Enlightenment","Keith Wallace Dr","Fairfield","Iowa","52556","804 Dr Robt K Wallace Dr","Fairfield","Iowa","52556","Laura Bordow","Principal","K","06","6414729400","6414721211","lbordow@msae.edu"
"Webster","St Edmond School","501 N 22nd St","Fort Dodge","Iowa","50501","501 N 22nd St","Fort Dodge","Iowa","50501","John  Howard","Principal","PK","12","5159555850","5159553569","howardj@st-edmond.pvt.k12.ia.us"
"Webster","St Paul Lutheran School","1217 4th Ave S","Fort Dodge","Iowa","50501","1217 4th Ave S","Fort Dodge","Iowa","50501","Gene Sommerfeld","Principal","PK","08","5159557208","5155737839","principal@stpaulfd.org"
"Webster","Community Christian School","3058 10th Ave N","Fort Dodge","Iowa","50501","3058 10th Ave N","Fort Dodge","Iowa","50501","Kristi Ellis","Principal","PK","08","5155733011","5155767698","ccschool@ccsfd.org"
"Lee","Holy Trinity Catholic Schools Inc","2600 Avenue A","Fort Madison","Iowa","52627","2600 Avenue A","Fort Madison","Iowa","52627","Doris Turner","Principal","K","12","3193722486","3193726310","doris.turner@gpaea.k12.ia.us"
"Lee","Holy Trinity High School Holy Trinity Jr-Sr. High","2600 Ave A","Fort Madison","Iowa","52627","2600 Ave A","Fort Madison","Iowa","52627","Doris Turner","Principal","07","12","3193722486","3193726310","doris.turner@gpaea.k12.ia.us"
"Lee","Holy Trinity Elem","413 Ave C","West Point","Iowa","52627-0039","413 Ave C","West Point","Iowa","52627-0039","Doris Turner","Principal","K","06","3198376131","3198378112","doris.turner@gpaea.k12.ia.us"
"Poweshiek","Central Iowa Christian School","201 380th Ave","Grinnell","Iowa","50112","201 380th Ave","Grinnell","Iowa","50112","Steve Ryan","Principal","PK","08","6412363000","6412361433","office@centraliowachristian.org"
"Clayton","St Marys School","510 S. Second St.","Guttenberg","Iowa","52052-0100","510 S. 2nd St.","Guttenberg","Iowa","52052-0100","S.M. Suzanne Gallagher","Principal","K","08","5632521577","5632521363","sgallagher@st-marys.gutt.pvt.k12.ia.us"
"Shelby","Shelby County Catholic School System","2005 College Place","Harlan","Iowa","51537-1948","2005 College Place","Harlan","Iowa","51537-1948","Ann Andersen","Principal","PK","08","7127555634","7127553332","aanderse@shelcocath.pvt.k12.ia.us"
"Shelby","Shelby Co. Catholic Sch","2005 College Place","Harlan","Iowa","51537","2005 College Place","Harlan","Iowa","51537","Ann Andersen","Principal","PK","08","7127555634","7127553332","aanderse@shelcocath.pvt.k12.ia.us"
"O'Brien","Sanborn Christian School","405 West 2nd St","Sanborn","Iowa","51248","405 West 2nd St","Sanborn","Iowa","51248","Anthony Minderhoud","Principal","PK","08","7127293288","7127293289","sanchr@sanbornchristian.com"
"Howard","Notre Dame Elementary School","221 2nd Ave East","Cresco","Iowa","52136","221 2nd Ave East","Cresco","Iowa","52136","Wendy Schatz","Principal","PK","06","5635474513","5635473835","dbqe15@arch.pvt.k12.ia.us"
"Humboldt","St Mary School","303 3rd Ave North","Humboldt","Iowa","50548","303 3rd Ave North","Humboldt","Iowa","50548","Cindy Edge","Principal","PK","06","5153322134","5153321487","smshadm@goldfieldaccess.net"
"Buchanan","St John Elementary School","314 3rd St NE","Independence","Iowa","50644","314 3rd St NE","Independence","Iowa","50644","Peter Bellaver","Principal","K","08","3193347173","3193349088","dbqe35@arch.pvt.k12.ia.us"
"Johnson","Regina Schools","2140 Rochester Ave","Iowa City","Iowa","52245","2140 Rochester Ave","Iowa City","Iowa","52245","Carol Trueg","Other Administrator","PK","12","3193385436","3198873817","carol.trueg@icregina.com"
"Johnson","Willowwind School","950 Dover","Iowa City","Iowa","52245","950 Dover","Iowa City","Iowa","52245","Carly Andrews","Principal","K","06","3193386061","3193394465","carlya@willowwind.org"
"Johnson","Regina Jr Sr High School","2150 Rochester Ave","Iowa City","Iowa","52245","2150 Rochester Ave","Iowa City","Iowa","52245","David Krummel","Principal","07","12","3193385436","3198873817","david.krummel@icregina.com"
"Johnson","Regina Elementary School","2120 Rochester Ave","Iowa City","Iowa","52245","2120 Rochester Ave","Iowa City","Iowa","52245","Celeste Vincent","Principal","PK","06","3193375739","3193374109","celeste.vincent@icregina.com"
"Buchanan","St Athanasius School",,"Jesup","Iowa","50648-0288","641 Stevens St","Jesup","Iowa","50648-0288","Raymond Pechous","Principal","K","08","3198271314","3198271124","DBQE36@arch.pvt.k12.ia.us"
"Lee","Keokuk Catholic Schools Keokuk Catholic School","2981 Plank Rd","Keokuk","Iowa","52632","2981 Plank Rd","Keokuk","Iowa","52632","Laurie  Mendenhall","Principal","PK","05","3195245450","3195247725","laurie.mendenhall@gpaea.k12.ia.us"
"Plymouth","Gehlen Catholic School","709 Plymouth St NE","Le Mars","Iowa","51031-3701","709 Plymouth St NE","Le Mars","Iowa","51031-3701","Jeff  Alesch","Principal","K","12","7125464181","7125469384","j_alesch@gehlencatholic.com"
"Plymouth","Gehlen Catholic School Incorporated","709 Plymouth St NE","Le Mars","Iowa","51031-3701","709 Plymouth St NE","Le Mars","Iowa","51031-3701","Jeff Alesch","Principal","07","12","7125464181","7125469384","j_alesch@gehlencatholic.com"
"Plymouth","Gehlen Catholic Elem School","709 Plymouth Street NE","Le Mars","Iowa","51031-3701","709 Plymouth Street NE","Le Mars","Iowa","51031-3701","Lorie Nussbaum","Principal","PK","06","7125464181","7125469384","l_nussbaum@gehlencatholic.com"
"Pottawattamie","Heartland Christian School","400 Wright Rd","Council Bluffs","Iowa","51501","400 Wright Rd","Council Bluffs","Iowa","51501","William D Ross","Principal","K","06","7123225817","7123224287","ek_wilson@hotmail.com"
"Jasper","Sully Christian School","12629 S 92nd Ave E","Sully","Iowa","50251","12629 S 92nd Ave E","Sully","Iowa","50251","Virginia Tull","Principal","K","08","6415944180","6415943799","principal@sullychristian.org"
"Woodbury","Danbury Catholic School","602 Peach St","Danbury","Iowa","51019","602 Peach St","Danbury","Iowa","51019","Kristy Liechti","Principal","K","06","7128832244","7128832024","kliechti@pionet.net"
"Jackson","Sacred Heart School","806 Eddy St","Maquoketa","Iowa","52060","806 Eddy St","Maquoketa","Iowa","52060","Angela Ruley","Principal","PK","06","5636523743","5636523743","dbqE38@arch.pvt.k12.ia.us"
"Linn","St Joseph School","1430 14th St","Marion","Iowa","52302","1430 14th St","Marion","Iowa","52302","Anthony Voss","Principal","PK","08","3193776348","3193779358","DBQE39@arch.pvt.k12.ia.us"
"Marshall","Marshalltown Catholic Grade School","10 W Linn St","Marshalltown","Iowa","50158","10 W Linn St","Marshalltown","Iowa","50158","James Wessling","Principal","K","06","6417537977","6417530337","DBQE40@arch.pvt.k12.ia.us"
"Cerro Gordo","Newman Catholic School System","2445 19th SW","Mason City","Iowa","50401","2445 19th SW","Mason City","Iowa","50401","Tony Adams","Principal","PK","12","6414236939","6414236653","dbqh07@arch.pvt.k12.ia.us"
"Cerro Gordo","Newman Catholic Elementary School","2000 S. McKinley","Mason City","Iowa","50401","2000 S. McKinley","Mason City","Iowa","50401","Tony Adams","Principal","K","05","6414233101","6414221181","dbqh07@arch.pvt.k12.ia.us"
"Cerro Gordo","Newman Catholic High School","2445 19th NW","Mason City","Iowa","50401","2445 19th NW","Mason City","Iowa","50401","Tony Adams","Principal","06","12","6414236939","6414236653","dbqh07@arch.pvt.k12.ia.us"
"Cerro Gordo","North Iowa Christian School","811 N. Kentucky","Mason City","Iowa","50401","811 N. Kentucky","Mason City","Iowa","50401","Janna Voss","Principal","K","08","6414236440","6414236440","nicschool@mchsi.net"
"Sioux","Spalding Catholic School System","Broad and Garfield","Granville","Iowa","51022","Broad and Garfield","Granville","Iowa","51022","Kathleen A. Alons","Principal","PK","12","7127273451","7127273455","kalons@spalding-catholic.pvt.k12.ia.us"
"Sioux","Spalding Catholic St Anthony Center","505 Cedar St","Hospers","Iowa","51238","505 Cedar St","Hospers","Iowa","51238","Kathleen A. Alons","Principal","K","03","7127528286","7127273455","kalons@spalding-catholic.pvt.k12.ia.us"
"Sioux","Spalding Catholic St Mary's Center","908 6th Avenue","Alton","Iowa","51003","908 6th Avenue","Alton","Iowa","51003","Kathleen A. Alons","Principal","04","06","7127564532","7127273455","kalons@spalding-catholic.pvt.k12.ia.us"
"Sioux","Spalding Catholic High School","510 Broad St","Granville","Iowa","51022","510 Broad St","Granville","Iowa","51022","Gary Niichel","Principal","07","12","7127273451","7127273455","gniichel@spalding-catholic.pvt.k12.ia.us"
"Sioux","Orange City Christian School","604 3rd St SW","Orange City","Iowa","51041","604 3rd St SW","Orange City","Iowa","51041","Gale Tien","Principal","PK","08","7127372274","7127378608","gtien@occhristian.pvt.k12.ia.us"
"Sioux","Unity Christian High School","216 Michigan Ave SW","Orange City","Iowa","51041","216 Michigan Ave SW","Orange City","Iowa","51041","Wayne Dykstra","Principal","09","12","7127374114","7127372686","wdykstra@unitychristian.net"
"Johnson","Iowa Mennonite School","1421 540th St SW","Kalona","Iowa","52247-0913","1421 540th St SW","Kalona","Iowa","52247-0913","Anthony Miller","Principal","09","12","3196562073","3196562073","tmiller@iamenno.pvt.k12.ia.us"
"Jones","Sacred Heart Grade School","234 N Sycamore St","Monticello","Iowa","52310","234 N Sycamore St","Monticello","Iowa","52310","James  Zimmerman","Principal","PK","06","3194654605","3194656183","dbqe42@arch.pvt.k12.ia.us"
"Muscatine","Saints Mary and Mathias Catholic School","2407 Cedar St","Muscatine","Iowa","52761","2407 Cedar St","Muscatine","Iowa","52761","Ann Gomez","Principal","PK","05","5632633264","5632636700","ann.gomez@mus-hayes.pvt.k12.ia.us"
