"School Name","Principals Name","Email","Address","City","Zip","State","Phone","Fax"
"Our Lady Of Mt. Carmel Elementary School","Vincent Sheridan","olo_mt_carmel_school@diocesephoenix.org","2117 South Rural Road","Tempe","85282","AZ","(480) 967-5567","(480) 967-6038"
"Chandler Christian School","Ruth Zappe","rzappe@chandlerchristianacademy.org","301 North Hartford Street","Chandler","85225","AZ","480-963-0748","480-963-4322"
"Desert Sun Child Dev Ctr","Trisha Lucas","trisha@desertsun.org","1512 W Elliot Rd","Chandler","85224","AZ","(480) 831-1718","(480) 831-9483"
"New Vistas Academy","Carol Elias","newvistasaz@gmail.com","670 North Arizona Avenue,","Chandler","85225","AZ","480.963.2313","480.812.9207"
"Valley Christian High School","Mark Bistricky","mbistricky@vchsaz.org","6900 W Galveston St","Chandler","85226","AZ","480-705-8888","480-705-8889"
"Cornerstone Christian Academy ","Jeff Jones","jeff.jones@cca-tucson.org","6450 N. Camino Miraval","Tucson","85718","AZ","520.529.7080","520.529.7140"
"Pusch Ridge Christian Academy","Jason Clapero","sfour@wtdschools.org","9500 N. Oracle Road","Tucson","85704","AZ","520.797.0107","520.797.0598"
"Loretto Catholic School","Mary Aloysius","office@lorettoschool.org","1200 E. 14th Street","Douglas","85607","AZ","(520) 364-5754","(888) 364-5869"
"Flagstaff Cooperative Preschool","Liz Taylor","contact@flagstaffco-op.org","PO Box 428","Flagstaff","86002","AZ","928.779.1441",
"Mt Calvary Lutheran School","Kurt Mueller","kmueller@mtcalvaryflagstaff.org","2605 N. Ft. Valley Rd","Flagstaff","86001","AZ","928-774-8811",
"Peace Lutheran Preschool Kindergarten",,"peace.school@aspect1.net","3430 N Fourth St","Flagstaff","86004","AZ","928·526·9256","928·526·0260"
"Christ's Greenfield Lutheran School","Paul Brandt","pbrandt@cglschool.org","425 N Greenfield Road","Gilbert","85234","AZ","(480) 892-8521",
"Atonement Lutheran School","David Haught","haughtd@atonementlc.org","4001 W Beardsley Rd","Glendale","85308","AZ","(623) 582-8785",
"Children's Center For Neurodev",,"admin@ccnsaz.org","5430 West Glenn Drive","Glendale","85301","AZ","623-915-0345","623-937-5425"
"Joy Community School","Patrick Bennett","Patrick.Bennett@joyonline.org","21000 N 75th Ave","Glendale","85308","AZ","(623) 561-2000","623-362-3201"
"Holbrook Seventh-day Adventist Indian School","Pedro Ojeda",,"2001 McLaws Rd","Holbrook","86025","AZ","928.524.6845","928.524.3190"
"Hopi Mission School","Thane Epefanio","hmschool03@gmail.com","Po Box 39","Kykotsmovi","86039","AZ","(928) 734-2453",
"Montessori West Prep School","Cora A. Gaabucayan","montessoriwest@cox.net","13034 W Solano Drive","Litchfield Park","85340","AZ","(623) 935-2017",
"The Orme School","Keith E. Cassell","kccassell@ormeschool.org","Hc 63 Box 3040","Mayer","86333","AZ","(928) 632-7601",
"Faith Christian School","Meridith Borta","mborta@faith-christian.org","7464 E Main St","Mesa","85207","AZ","480-833-1983",
"Pilgrim Lutheran School","Matthew Meitner","office@pilgrimmesa.com","3257 E. University","Mesa","85213","AZ","480-830-1724","480-807-2921"
"Redeemer Christian School","Denise Monroe","office@redeemerchristianschool.org","719 North Stapley Drive","Mesa","85203","AZ","480-962-5003","480-833-7502"

