" School Name  ","Principals Name","First","Last","Principals Email"," Address  ","City","Zip","Phone","Fax"," Grade  ","Enrolment"," County  ",
" Academy for Learning  ","Tracy Yeich","Tracy ","Yeich"," tzy@cox.net  "," 1018 E. Sahara Ave. Suite D Las Vegas","Las Vegas","89104","(702)737 8668","(702)948 8676"," K-12  "," 23  "," Clark  ",,,,
" Diocese of Las Vegas Elementary Schools P.O. Box 18316 Las Vegas, 89114  ","Richard Facciolo","Richard ","Facciolo"," Superintendent.raf@dioceseoflasvegas.org   "," 336 Cathedral Way Las Vegas","Las Vegas","89109","(702)735 9605","(702)735 8941"," K-8  "," 2,634  "," Clark  ",,,,
" Discovery Learning Center  ","Alyson Carpenter","Alyson ","Carpenter"," discoveryplc@cccomm.net "," 905 Taylor Place Fallon","Fallon","89406",,," K  "," 9  "," Churchill  ",,,,
" DJ’s Community Christian Academy  ","Debra Jo Abendroth","Debra ","Jo Abendroth"," jvdjacademy@lvcoxmail.net  "," 95 S. Arroyo Grande Blvd. Henderson","Henderson","89012","(702)263 9646","(702)269 0670"," K-5  "," 37  "," Clark  ",,,,
" E.L. Cord Foundation Child Care Center  ","Diane Nicolet","Diane ","Nicolet"," dnicolet@tmcc.edu   "," 7000 Dandini Blvd. CCC100","Sparks","89512","(775)674 7515","(775)674 7989"," K  "," 12  "," Washoe   ",,,,
" Early Childhood Education Lab School CCSN  ","Janis Fikes","Janis ","Fikes"," Janis_fikes@ccsn.edu   "," 3200 E. Cheyenne Ave.","Reno",,"(702)651 4004","(702)651 4781"," K  "," 14  "," Clark  ",,,,
" Excel Christian School  ","Bonnie Krupa","Bonnie ","Krupa"," Office@excelchristianschool.com "," 780 Lincoln Way Sparks","Sparks","89431","(775)356 9995","(775)356 9527"," K-5  "," 37  "," Washoe  ",,,,
" Excel Christian School  ","Bonnie Krupa","Bonnie ","Krupa"," Office@excelchristianschool.com  "," 2285 Oddie Blvd. Sparks","Sparks","89431","(775)356 9995","(775)356 9527"," 6-12  "," 65  "," Washoe  ",,,,
" Faith Baptist Academy  ","Dick Cervi","Dick ","Cervi"," fbckjv@aol.com  "," 5785 Elm St. Silver Springs","Springs","89429","(775)577 9600","(775)577 9604"," K-12  "," 8  "," Lyon  ",,,,
" Faith Community Lutheran Academy  ","Stacey Walter","Stacey ","Walter"," stacey.walter@faithlasvegas.org  "," 2700 S. Town Center Drive Las Vegas","Las Vegas","89135","(702)921 2777","(702)921 2730"," K-5  "," 274  "," Clark  ",,,,
" Faith Lutheran Jr-Sr High School  ","Kevin Dunning","Kevin ","Dunning"," Exec. dunningk@faithlutheranlv.org  "," 2015 S. Hualapai Las Vegas","Las Vegas","89117","(702)804 4400","(702)804 4488"," 6-12  "," 1,278  "," Clark  ",,,,
" First Baptist Children’s Center  ","Stephanie Slater","Stephanie ","Slater"," directorfbcc@yahoo.com  "," 1330 Foster Drive Reno","Reno","89509","(775)323 6569","(775)323 7142"," K-3  "," 41  "," Washoe  ",,,,
" First Christian Church Child Development Ctr.  ","Bonnie Manion","Bonnie ","Manion"," happychild@fcclv.com  "," 101 S. Rancho Rd. Las Vegas","Las Vegas","89106","(702)384 4839","(702)384 0250"," K  "," 10  "," Clark  ",,,,
" First Good Shepard Lutheran School  ","James E. Krafft","James ","E. Krafft"," fgsschool@hotmail.com  "," 301 S. Maryland Parkway Las Vegas","Las Vegas","89101","(702)382 8610","(702)384 2080"," K-6  "," 182  "," Clark  ",,,,
" Foothills Montessori School  ","Leanne Grafiada","Leanne ","Grafiada"," info@foothillsmontessori.com  "," 1401 Amador Lane Henderson","Henderson","89012","(702)407 0790","(702)407 0775"," K-8  "," 223  "," Clark  ",,,,
" Gateway Christian Academy  ","Ginny Proffitt","Ginny ","Proffitt"," lengin@earthlink.net  "," 1900 Gateway Rd. Las Vegas","Las Vegas","89115","(702)452 7111","(702)438 2781"," K-12  "," 32  "," Clark  ",,,,
" Ginny’s Child Garden  ","Virginia Blank","Virginia ","Blank"," vblank@sbcglobal.net  "," 565 Reactor Way Reno","Reno","89502","(775)856 0033 ","(775)856 3107"," K  "," 14  "," Washoe  ",,,,
" Grace Christian Academy Minden, 89423  ","Julie Henry","Julie ","Henry"," juliehenry@gcanevada.org  "," 2320 Heybourne Rd. Minden","Las Vegas","89423","(775)782 7811","(775)782 7768"," K-8  "," 54  "," Douglas  ",,,,
" Green Valley Christian School  ","Christy Johnson","Christy ","Johnson"," cjohnson@gvchristian.com  "," 711 Valle Verde Ct. Henderson","Henderson","89014","(702)558 2835","(702)454 6275"," K-8  "," 444  "," Clark  ",,,,
" Green Valley Lutheran Kindergarten  ","Shawn Nielsen","Shawn ","Nielsen"," prek@greenvalleylutheran.com  "," 1799 Wigwam Pkwy Henderson","Henderson","89074","(702)454 0004","(702)454 9950"," K  "," 27  "," Clark  ",,,,
" Happy Days (Sparks United Methodist Ch.) Kindergarten  ","Allena Ponte","Allena ","Ponte"," happydays@sparksumc.org   "," 1231 Pyramid Way Sparks","Sparks","89431","(775)331 6699","(775)358 0929"," K  "," 17  "," Washoe  ",,,,
" Henderson International Campus Windmill  ","Ron Bennett","Ron ","Bennett"," Ron.Bennett@hendersonschool.com "," 2150 Windmill Pkwy Henderson","Henderson","89074","(702)896 8430","(702)897 7236"," K-4  "," 278  "," Clark  ",,,,
" Hill and Dale Child Development Center  ","Tamy Gates","Tamy ","Gates"," tamy@clclv.org  "," 3720 E. Tropicana Las Vegas","Las Vegas","89102","(702)458 2243 ","(702)458 6872"," K  "," 11  "," Clark  ",,,,
" Holy Child Catholic Day Home  ","Rebecca S. Vicina","Rebecca ","S. Vicina"," ruizina@ccsnn.org  "," 440 Reno Ave. Reno","Reno","89509","(775)329 2979","(775)329 8537"," K  "," 26  "," Washoe  ",,,,
" Horizon Academy HCR 70, Box 531 Amargosa Valley, 89020  ","Jade Robinson","Jade ","Robinson"," office@horizonacademy.net   "," 1472 State Hwy 373 Amargosa Valley","Amargosa Valley","89020","(775)372 1199 ","(775)372 1196"," 7-12  "," 181  "," Nye  ",,,,
" House of Knowledge Christian Academy  ","Cynthia Watson","Cynthia ","Watson"," hsofknowledge@yahoo.com   "," 1624 J Street Las Vegas","Las Vegas","89106","(702)326 5931   ",," K-12  "," 50  "," Clark  ",,,,
" HSBC Family Center  ","Nikki Mead","Nikki ","Mead"," housnv@brighthorizons.com   "," 10100 Banburry Cross Drive Las Vegas","Las Vegas","89144","(702)243 7020","(702)243 7038"," K  "," 10  "," Clark  ",,,,
" Imagination Station   ","Kathy Etchemendy","Kathy ","Etchemendy"," kksmirf@yahoo.com "," 1410 Iratcabal Circle Sparks","Sparks","89436","(775)626 9292","(775)626 1772"," K  "," 24  "," Washoe  ",,,,
" Kids R Kids Quality Learning Center  ","Jason Griffin","Jason ","Griffin"," contact@kidsrkidsgreenvalley.com  "," 1640 Patrick Lane Henderson","Henderson","89014","(702)547 3555","(702)454 9786"," K  "," 18  "," Clark  ",,,,
" Kids R Kids Quality Learning Center  ","Debbie Thompson","Debbie ","Thompson"," docmike@mpowercom.net "," 985 E. Serene Ave. Las Vegas","Las Vegas","89123","(702)270 6010","(702)260 3976"," K  "," 14  "," Clark  ",,,,
" Kids R Kids Quality Learning Center  ","Traci Stackhouse","Traci ","Stackhouse"," traci@kidsrkidslasvegas.com  "," 5000 S. Jones Blvd. Las Vegas","Las Vegas","89118","(702)871 7600","(702)871 4703"," K  "," 20  "," Clark  ",,,,
" Kids’ Co-op  ","Nancy Ferraro","Nancy ","Ferraro"," info@kidscoop.org  "," 4316 N. Decatur N. Las Vegas","Las Vegas","89130","(702)656 6600","(702)656 6669"," K  "," 9  "," Clark  ",,,,
" KinderCare Learning Center  ","Samatha Bering","Samatha ","Bering"," Nancy.breneman@klcorp.com "," 3085 Desert Marigold Lane N. Las Vegas","Las Vegas","89135","(702)243 0033","(702)243 0692"," K  "," 23  "," Clark  ",,,,
" King’s Academy   ","Irene Miller","Irene ","Miller"," church@sierrabible.org  "," 3195 Everett Dr. Reno","Reno","89503","(775)747 1217 ext. 230   ","(775)747 1240"," K-6  "," 86  "," Washoe  ",,,,
" Koinonia Day Treatment  ","Jennifer Jones","Jennifer ","Jones"," dosier-tatar@kfh.org  "," 1050 Bible Way Reno","Reno","89502","(775)826 3774","(775)826 248"," K-8  "," 11  "," Washoe  ",,,,
" La Petite Academy  ","Tonya Glass","Tonya ","Glass"," LPANVLVHI@Lpacorp.com "," 2121 Harbor Island Drive Las Vegas","Las Vegas","89128","(702)2555657","(702)256 7596"," K-1  "," 18  "," Clark  ",,,,
" La Petite Academy   ","Denyel Mathison","Denyel ","Mathison"," lpanvhr@lpacorp.com  "," 2750 Robindale Henderson","Henderson","89074","(702)361 5437","(702)361 8298"," K-5  "," 16  "," Clark  ",,,,
" La Petite Academy   ","Kimberly Raab","Kimberly ","Raab"," LPANVNLV@LPACorp.com  "," 4425 Simmons St. N. Las Vegas","Las Vegas","89031","(702)638 7862","(702)638 8425"," K-3  "," 21  "," Clark  ",,,,,
" Lake Mead Christian Academy P.O. Box 90099 Henderson, 89009  ","Gayle Sue Blakeley","Gayle ","Sue Blakeley"," sblackeley@lmca.org   "," 540 E. Lake Mead Henderson","Henderson","89015","(702)565 5831","(702)566 6206"," K-12  "," 574  "," Clark  ",,,,,
" Lake Tahoe School   ","Steven McKibben","Steven ","McKibben"," smckibben@laketahoeschool.org   "," 995 Tahoe Blvd. Incline Village","Incline Vilage","89451","(775)831 5828","(775)831 5825"," K-9  "," 106  "," Washoe  ",,,,,,
" Lamb of God Lutheran School  ","Paul Pullman","Paul ","Pullman"," pullmannp@lambschool.org "," 6220 N. Jones Blvd. Las Vegas","Las Vegas","89130","(702)645 1626","(702)645 6031"," K-5  "," 198  "," Clark  ",,,,,
" Lamplight Christian School  ","Paul E. Jachimiak","Paul ","E. Jachimiak"," Paul@Lesreno.com  "," 1881 Harvard Way Reno","Reno","89502","(775)329 7775","(775)329 7775"," K-12  "," 46  "," Washoe  ",,,,
" Las Vegas Day School  ","Neil Daseler","Neil ","Daseler"," ndaseler@LVDS.com  "," 3275 Red Rock St. Las Vegas","Las Vegas","89146","(702)362 1180","(702)362 0620"," K-8   "," 704  "," Clark  ",,,,
" Las Vegas Jr. Academy  ","Arlyn Sundsted","Arlyn ","Sundsted"," arlynsundsted@yahoo.com   "," 6059 W. Oakey Blvd. Las Vegas","Las Vegas","89146","(702)871 7208","(702)364 5456"," K-10  "," 86  "," Clark  ",,,,
" Legacy Christian School  ","J. Gregory Root","J. ","Gregory Root"," admin@legacychristianschool.com  "," 815 Holman Way Sparks","Sparks","89431","(775)358 1112","(775)358 5030"," 7-12  "," 63  "," Washoe  ",,,,
" Lighthouse Baptist Academy  ","Randy Ralstin","Randy ","Ralstin"," lbcreno@gmail.com  "," 5350 Pembroke Dr. Reno","Reno","89523","(775)356 7535","(775)035 6753"," K-12  "," 11  "," Washoe  ",,,,
" Lion & the Lamb Christian School  ","Debra Roth","Debra ","Roth"," debir@gracechurchreno.org  "," 1220 Robb Drive Reno","Reno","89523","(775)747 7769","(775)747 8689"," K  "," 44  "," Washoe  ",,,,
" Lit’l Scholar Summerlin  ","Gary Vause","Gary ","Vause"," litlsdann@aol.com  "," 8961 Hillpointe Rd. Las Vegas","Las Vegas","89134","(702)256 5300","(702)256 8704"," K  "," 13  "," Clark  ",,,,
" Logos Christian Academy  ","Tim Tucker","Tim ","Tucker"," logos@teacher.com "," 655 Sheckler Road Fallon","Fallon","89406","(775)428 1825  ",," K-10  "," 105  "," Churchill  ",,,,
" McCarran Child Development Center  ","Julie Houchins","Julie ","Houchins"," malv@brighthorizons.com  "," 1788 E. Russell Rd. Las Vegas","Las Vegas","89119","(702)261 5437","(702)261 4545"," K  "," 10  "," Clark  ",,,,
" Meadows School   ","Carolyn Goodman","Carolyn ","Goodman"," cgoodman@themeadowsschool.org  "," 8601 Scholar Lane Las Vegas","Las Vegas","89128","(702)254 1610","(702)254 2452"," K-12  "," 806  "," Clark  ",,,,
" Merryhill School at Green Valley  ","Meg L. Wagner","Meg ","L. Wagner"," meg.wagner@nlcinc.com  "," 2150 Windmill Parkway Henderson","Henderson","89074","(702)896 0781","(702)896 5266"," K  "," 11  "," Clark  ",,,,
" Merryhill School at Spanish Trail  ","Kimberly Way","Kimberly ","Way"," Kimberly.way@nlcinc.com  "," 5055 S. Durango Dr. Las Vegas","Las Vegas","89113","(702)889 2803","(702)889 2810"," K-7  "," 241  "," Clark  ",,,,
" Merryhill School at Summerlin  ","Kimberly Roden","Kimberly ","Roden"," Kimberly.roden@nlcina.com  "," 2160 Snow Trail Las Vegas","Las Vegas","89134","(702)242 8838","(702)242 8830"," K-7  "," 196  "," Clark  ",,,,
" Midbar Kodesh Temple Early Childhood Center Kindergarten  ","Mira Slobody","Mira ","Slobody"," mira@midbarkodesh.org  "," 1940 Paseo Verde Parkway Henderson","Henderson","89012","(702)454 4848","(702)454 4847"," K  "," 15  "," Clark  ",,,,
" Milton I Schwartz Hebrew Academy  ","Camille Wright","Camille ","Wright"," mwileyelvhebrewacademy.org  "," 9700 W. Hillpointe Las Vegas","Las Vegas","89134","(702)255 4500","(702)255 7232"," K-10  "," 182  "," Clark  ",,,,
" Montessori Children’s Academy  ","Patricia Weakly","Patricia ","Weakly"," director@montessorichildrensacademy.com "," 2560 N. Green Valley Pkway Henderson","Henderson","89014","(702)784 0055","(702)240 2900"," K-3  "," 28  "," Clark  ",,,,
" Montessori Vision Academy  ","Lori Bossy","Lori ","Bossy"," info@montessorivisions.com  "," 3551 E. Sunset Rd. Las Vegas","Las Vegas","89120","(702)451 9801","(702)451 0049"," K-8  "," 92  "," Clark  ",,,,
" Mount Olive Lutheran School  ","Frank Van Brocklin","Frank ","Van Brocklin"," principal@mtolivelv.org  "," 3975 S. Sandhill Rd. Las Vegas","Las Vegas","89121","(702)451 1050","(702)451 1050"," K-8  "," 91  "," Clark  ",,,,
" Mountain View Christian School  ","Cecilia Sacra","Cecilia ","Sacra"," CiSacra@mvcs.net  "," 3900 E. Bonanza Rd. Las Vegas","Las Vegas","89110","(702)452 1300","(702)452 0499"," K-12   "," 631  "," Clark  ",,,,
" Mountain View Montessori School  ","Mary Levy","Mary ","Levy"," mary@mountainviewmontessori.com  "," 565 Zolezzi Lane Reno","Reno","89511","(775)852 6162","(775)852 6553"," K-9  "," 156  "," Washoe  ",,,,
" New Hope Christian Academy  ","Julie Schmidt","Julie ","Schmidt"," jschmidt@nhfministries.org  "," 781 West Street Pahrump","Reno","89048","(775)751 1867","(775)751 3387"," K-12  "," 104  "," Nye  ",,,,
" Oasis Christian Academy  ","Lori Neal","Lori ","Neal"," lorineal@oasisbaptistchurch.org "," 4824 E. Desert Inn Rd. Las Vegas","Las Vegas","89121","(702)777 0800","(702)451 7074"," K-12  "," 84  "," Clark  ",,,,
" Redeemer Lutheran Elementary School  ","Patricia Davis","Patricia ","Davis"," abcpsredeemerele@earthlink.net  "," 1730 N. Pecos Rd. Las Vegas","Las Vegas","89115","(702)642 5176","(702)642 3548"," K-2  "," 21  "," Clark  ",,,,
" Reno Christian Academy PO Box 70723 Reno, 89570  ","Kim Troop","Kim ","Troop"," Katroop7@sbcglobal.net  "," 2680 E. 9th Street Reno","Reno","89512","(775)331 0909","(775)331 5358"," K-8  "," 102  "," Washoe  ",,,,
" Sage Ridge School   ","William Heim III","William ","Heim III"," bheim@sageridge.org  "," 2515 Crossbow Ct. Reno","Reno","89511","(775)852 6222","(775)852 6228"," 5-12  "," 230  "," Washoe  ",,,,
" Searchlight Christian Academy  ","Pastor Craig Moss","Pastor ","Craig Moss"," craigmossministires@yahoo.com "," 101 W. Hobson St. PO Box 186 Searchlight","Las Vegas","89046","(702)297 1972 ","(702)297 1992"," K-12  "," 9  "," Clark  ",,,,
" Shadow Hills Baptist Church  ","Janet Cowan","Janet ","Cowan"," spiveyslv@aol.com  "," 7811 Vegas Dr. Las Vegas","Las Vegas","89128","(702)360 3550","(702)256 2511"," K  "," 34  "," Clark  ",,,,
" Shenker Academy   ","Diane Wright","Diane ","Wright"," growthnlearning@aol.com  "," 9001 Hillpointe Rd. Las Vegas","Las Vegas","89134","(702)255 5437","(702)256 4816"," K-2  "," 9  "," Clark  ",,,,
" Sierra Nevada High School  ","Joseph Reading","Joseph ","Reading"," reading.joseph@jobcorps.org  "," 5005 Echo Ave. Reno","Reno","89506","(775)789 0951","(775)789 1091"," 9-12  "," 588  "," Washoe  ",,,,
" Solomon Schechter Day School  ","Jon Mitzmacher","Jon ","Mitzmacher"," info@ssds-lv.org  "," 10700 Havenwood Lane Las Vegas","Las Vegas","89135","(702)804 1333 ext. 114   ","(702)804 1370"," K-3  "," 68  "," Clark  ",,,,
" St. Albert the Great Catholic School  ","Patrick Perry","Patrick ","Perry"," pperry@stalbertcatholicschoolreno.org  "," 1255 St. Albert Dr. Reno","Reno","89503","(775)747 3392","(775)747 6296"," K-8  "," 263  "," Washoe  ",,,,
" St. John’s Children’s Center  ","Linda Peters","Linda ","Peters"," dyoung@stjohnchildren’scenter.org  "," 1070 W. Plumb Lane Reno","Reno","89509","(775)826 4655","(775)826 4744"," K  "," 40  "," Washoe  ",,,,
" St. Mary’s Children’s Garden  ","Thelma Aviles","Thelma ","Aviles"," thelmaiaviles@saintmarys.com  "," 595 Bell Street Reno","Reno","89503","(775)688 6100 ","(775)688 6133"," K  "," 13  "," Washoe  ",,,,
" St. Teresa Avila Catholic School  ","Christine Perdomo","Christine ","Perdomo"," cperdomo@stts.org "," 567 S. Richmond Carson City","Carson City","89703","(775)882 2079","(775)882 6135"," K-8  "," 181  "," Carson  ",,,,
" Stepping Stones Children’s Center  ","Constance Davies","Constance ","Davies"," Stepstones102@msn.com  "," 1230 Corporate Blvd.","Reno","89502","(775)856 8339","(775)856 3225"," K  "," 24  "," Washoe  ",,,,
" Teen Challenge of Nevada PO Box 1136 Sparks, 89434  ","John Yacenda","John ","Yacenda"," drjohn@teenchallengenv.org  "," 7555 Pyramid Sparks","Reno","89436","(775)424 6777","(775)424 2363"," 7-12  "," 12  "," Washoe  ",,,,
" Truckee Meadows School  ","Terri Peltier","Terri ","Peltier"," Teri.peltier@psysolutions.com  "," 690 Edison Way Reno","Reno","89502","(775)858 4541","(775)858 4585"," K-12  "," 70  "," Washoe  ",,,,

