"County","School Name","Administrator","Email","Title","Address","City","State","Zip","Phone","Fax","Grade"
"DeKalb","NEW BIRTH CHRISTIAN ACADEMY","Priscilla Goode","pgoode@nbcanewbirth.org","Head of School","6400 Woodrow Road","Lithonia","GA","30038","(770) 696-9678","(770) 696-9674","Grades: PK-12"
"Fulton","MOUNT PISGAH CHRISTIAN SCHOOL","Scott E. Barron","sbarron@mountpisgahschool.org","President","9820 Nesbit Ferry Road","Johns Creek","GA","30022-5349","(678) 336-3443","(678) 868-1555","Grades: PS-12"
"Gwinnett","NOTRE DAME ACADEMY","Debra M. Orr","dorr@ndacademy.org","Head of School","4635 River Green Parkway","Duluth","GA","30096-2583","(678) 387-9385","(678) 990-9353","Grades: PK-8"
"Fulton","MOUNT VERNON PRESBYTERIAN SCHOOL","J. Brett Jacobsen","bjacobsen@mountvernonschool.org","Headmaster","471 Mount Vernon Highway","Atlanta","GA","30328-4141","(404) 252-3448","(404) 252-7154","Grades: PK-12"
"Carroll","OAK MOUNTAIN ACADEMY","Paula Gillispie","paulagillispie@oakmountain.us","Head of School","222 Cross Plains Road","Carrollton","GA","30116-6692","(770) 834-6651","(770) 834-6785","Grades: PK-12"
"Greene","NATHANAEL GREENE ACADEMY","Beth B. Williams","bwilliams@nathanaelgreeneacademy.com","Head of School","Post Office Box 109 / (4731 Highway 15 South)","Siloam","GA","30665-0109","(706) 467-2147","(706) 467-2147","Grades: PK-12"
"Fayette","OUR LADY OF MERCY CATHOLIC HIGH SCHOOL","Daniel S. Dorsel","ddorsel@mercycatholic.org","Principal","861 Evander Holyfield Highway","Fayetteville","GA","30214-2615","(770) 461-2202","(770) 461-9353","Grades: 9-12"
"DeKalb","OUR LADY OF THE ASSUMPTION SCHOOL","Anita Nagel","anagel@olaschool.org","Principal","1320 Hearst Drive","Atlanta","GA","30319-2711","(404) 364-1902","(404) 364-1914","Grades: PK-8"
"Jasper","PIEDMONT ACADEMY","Anthony ""Tony"" D. Tanner","tony_tanner@piedmontacademy.com","Headmaster","Post Office Box 231 / (126 GA Highway 212 W.)","Monticello","GA","31064-0231","(706) 468-8818","(706) 468-2409","Grades: PK3-12"
"Fayette","OUR LADY OF VICTORY SCHOOL","Linda Grace","lgrace@olvpatriots.org","Principal","211 Kirkley Road","Tyrone","GA","30290-1504","(770) 306-9026","(770) 306-0323","Grades: PK-8"
"Forsyth","PINECREST ACADEMY","Rick Swygman","rswygman@pinecrestacademy.org","Executive Director","955 Peachtree Parkway","Cumming","GA","30041-6826","(770) 888-4477","(770) 886-5596","Grades: PK-12"
"Fulton","PACE ACADEMY","Frederick G. Assaf","fassaf@paceacademy.org","Head of School","966 West Paces Ferry Road","Atlanta","GA","30327-2648","(404) 262-1345","(404) 264-9376","Grades: K-12"
"Evans","PINEWOOD CHRISTIAN ACADEMY","Clint Welch","welch@gopca.org","Headmaster","Post Office Box 7 / (Buck Cravey Drive)","Bellville","GA","30414-0007","(912) 739-1272","(912) 739-2321","Grades: PK4-12"
"DeKalb","PAIDEIA SCHOOL","Paul F. Bianchi","bianchi.paul@paideiaschool.org","Headmaster","1509 Ponce de Leon Avenue","Atlanta","GA","30307-1617","(404) 377-3491","(404) 377-0032","Grades: PK-12"
"Fulton","PORTER ACADEMY","Claudia Porter","claudia@porteracademy.org","Head of School","200 Cox Road","Roswell","GA","30075-1061","(770) 594-1313","(770) 594-1771","Grades: PK-8"
"Gwinnett","PROVIDENCE CHRISTIAN ACADEMY","James W. Vaught","j.vaught@providencechristianacademy.org","Headmaster","4575 Lawrenceville Highway","Lilburn","GA","30047-3617","(770) 279-7200","(770) 279-8258","Grades: K-12"
"Putnam","REDEEMER EPISCOPAL ACADEMY","Jacquelyn D. Campbell","jackie.campbell@redeemeracademy.org","Headmaster","680 Old Phoenix Road","Eatonton","GA","31024-5003","(706) 484-1238","(706) 991-4502","Grades: PK3-6"
"Chatham","PROVIDENCE CHRISTIAN SCHOOL","Paula Cook","providencechristiansch@comcast.net","Headmaster","425 West Montgomery Cross Road","Savannah","GA","31406-3310","(912) 335-7976","(912) 335-7981","Grades: PK3-12"
"Toombs","ROBERT TOOMBS CHRISTIAN ACADEMY","Jon R. Dorminey","jdorminey@gortca.com","Headmaster","Post Office Box 227 / (628 W. Oglethorpe Avenue)","Lyons","GA","30436-0227","(912) 526-8938","(912) 526-0571","Grades: PK-12"
"Rabun","RABUN GAP-NACOOCHEE SCHOOL","Anthony H. Sgro","asgro@rabungap.org","Head of School","339 Nacoochee Drive","Rabun Gap","GA","30568-2200","(706) 746-7467","(706) 746-2594","Grades: 6-12"
"Lamar","ROCK SPRINGS CHRISTIAN ACADEMY","Lee T. Nelson","lnelson@rockspringschristianacademy.com","Director","219 Rock Springs Road","Milner","GA","30257-3307","(678) 692-0192","(678) 692-0601","Grades: K2-5"
"Randolph","RANDOLPH SOUTHERN SCHOOL (I","Wendy T. Lamb","randolphsouthern@windstream.net","Head of School","Post Office Box 300 / (100 Pecan Street)","Shellman","GA","39886-0300","(229) 679-5324","(229) 679-5325","Grades: K3-12"
"Chatham","SAVANNAH CHRISTIAN PREPARATORY SCHOOL","Roger L. Yancey","rlyancey@savcps.com","Headmaster","Post Office Box 2848 / (1599 Chatham Parkway)","Savannah","GA","31402-2848","(912) 234-1653","(912) 234-0491","Grades: PK-12"
"Chatham","SAVANNAH COUNTRY DAY SCHOOL","Marcia M. Hull","hull@savcds.org","Head of School","824 Stillwood Drive","Savannah","GA","31419-2643","(912) 925-8800","(912) 920-7800","Grades: PK-12"
"DeKalb","SOPHIA ACADEMY","Marie S. Corrigan","mcorrigan@sophiaacademy.org","Director","2880 Dresden Drive","Atlanta","GA","30341-3920","(404) 303-8722","(404) 303-8883","Grades: PK-9"
"Fulton","THE SCHENCK SCHOOL","Gena W. Calloway","gcalloway@schenck.org","Head of School","282 Mt. Paran Road","Atlanta","GA","30327-4664","(404) 252-2591","(404) 252-7615","Grades: K-6"
"Sumter","SOUTHLAND ACADEMY","William (Billy) E. Stubbs","bstubbs@southlandacademy.org","Headmaster","Post Office Box 1127 / (123 Southland Road)","Americus","GA","31709-1127","(229) 924-4406","(229) 924-2996","Grades: K3-12"
"Dougherty","SHERWOOD CHRISTIAN ACADEMY","Glen L. Schultz","glenschultz@scaeagles.com","Headmaster","1418 Old Pretoria Road","Albany","GA","31721-8697","(229) 883-5677","(229) 883-5794","Grades: K4-12"
"Early","SOUTHWEST GEORGIA ACADEMY","David Bell","davidbell@sgawarriors.com","Headmaster","14105 GA Highway 200","Damascus","GA","39841-3728","(229) 725-4792","(229) 725-5476","Grades: K3-12"
"Fayette","SOLID ROCK ACADEMY","Sherry Moore-Wright","srajl@aol.com","Principal","106 Commerce Street","Riverdale","GA","30296-1146","(770) 997-9744","(770) 997-0061","Grades: PK-12"
"Chatham","ST. ANDREW'S SCHOOL","Gilbert G. Webb","webbg@saintschool.com","Headmaster","601 Penn Waller Road","Savannah","GA","31410-5136","(912) 897-4941","(912) 897-4943","Grades: PK-12"
"Fulton","ST. FRANCIS SCHOOL","Drew Buccellato","dbuccellato@stfranschool.com","Headmaster","(K-8) 9375 Willeo Road","Roswell","GA","30075-4743","(770) 641-8257","(770) 641-0283","Grades: PK-12"
"Fulton","ST. JUDE THE APOSTLE SCHOOL","Patricia G. Childs","pchilds@saintjude.net","Principal","7171 Glenridge Drive","Atlanta","GA","30328-2630","(770) 394-2880","(770) 804-9248","Grades: K-8"
"Lamar","ST. GEORGE'S EPISCOPAL SCHOOL","Larry Collins","lcollins@sges.org","Headmaster","103 Birch Street","Milner","GA","30257-3454","(770) 358-9432","(770) 358-9495","Grades: PK-8"
"DeKalb","ST. MARTIN'S EPISCOPAL SCHOOL","The Rev. Dr. James","jhamner@stmartinschool.org","Headmaster","3110-A Ashford Dunwoody Road","Atlanta","GA","30319-2971","(404) 237-4260","(404) 237-9311","Grades: PK - 8"
"Lowndes","ST. JOHN SCHOOL","Melanie E. Lasseter","mlasseter@stjohnschl.org","Principal","800 Gornto Road","Valdosta","GA","31602-1612","(229) 244-2556","(229) 244-0865","Grades: K3-8"
"DeKalb","ST. PIUS X CATHOLIC HIGH SCHOOL","Stephen W. Spellman","spellman@spx.org","Principal","2674 Johnson Road","Atlanta","GA","30345-1720","(404) 636-3023","(404) 633-8387","Grades: 9-12"
