"School Name","Address","City","ST","Zip","County","School #","Contact Person","Phone","Grade Span","# of Students","# of Teachers","E-mail",
"Montessori Kinder ","500 Tasso Lane","Cleveland","TN","37312","Bradley","9035","Brigitta Hoeferle","(423) 479-7282","Pre-K","33","5","info@montessorikinder.com"
"Landmark Christian School","1802 Lois Street","Cleveland","TN","37311","Bradley","9051","Ron Hyde","(423) 478-1545","K4-12","56","3","lhyde@landmarkchurch.com"
"First Baptist Weekday Ministry","4100 Stephens Road NE","Cleveland","TN","37312","Bradley","9025","Kami Dillon","(423) 472-5001","K","16","1","ntorchick@clevelandfbc.com"
"Shenandoah Baptist Academy","138 Osment Rd., P.O. Box 5207","Cleveland","TN","37320","Bradley","9080","Robert Nelms & Josh Grubbs","(423) 339-0992","PreK-12","129","12","school_office1@yahoo.com"
"Christian Academy of Campbell County ","2709 General Carl W. Stiner Hwy","LaFollette","TN","37766","Campbell","9005","Donnie Poston","(423) 566-5294","PreK-8","124","15","swilloughbyc@comcast.net"
"Carroll Academy","625 High Street","Huntingdon","TN","38344","Carroll","9012","Tara Wade","(731) 986-1350","6-12","66","6","twade@carroll.tn.org",
"Pleasant View Montessori","258 Village Sq. Ste. 100","Pleasant View","TN","37146","Cheatham","9011","Diana Martin","615.497.3569","PreK-K","10","1","pleasantviewmontessori@gmail.com"
"Tri-State Christian Academy","PO Box 206  271 Arthur Road","Arthur","TN","37707","Claiborne","9080","Rev. Audie Miracle","(423) 869-8008","PreK-12","29","5","a3kmiracle@yahoo.com"
"Heritage Christian Academy","PO Box 1467  428 Harmon Rd.","New Tazewell","TN","37825","Claiborne","9004","Gail Leonard","(423) 526-2807","PreK-8","84","11","gail@heritageba.com"
"J. Frank White Academy","6965 Cumberland Gap Parkway","Harrogate","TN","37752","Claiborne","9005","Jarryd Boster","(423) 869-6234","5-12","96","14","jarryd.boster@lmunet.edu "
"Clay County Christian Academy","P.O. Box 534; 150 E. Lake Avenue","Celina","TN","38551","Clay","9010","Tiffany Andrews","931.243.2882","PK-3","13",,"cccacademy@twlakes.net"
"Open Door Outreach Christian Academy","518 Punkton Rd.","Del Rio","TN","37727","Cocke","9070","Jackie S. Allen","(423) 487-3355","1-8","5","1","hughes@bishopbyrne.org"
"Tullahoma Christian Academy","215 Big Springs Ave.","Tullahoma","TN","37388","Coffee","9150","David Adams","(931) 393-6000","K-12","30","3","davidhunteradams@yahoo.com"
"Temple Baptist Christian School","66 Fairlane Drive, PO Box 900","Manchester","TN","37349","Coffee","9060","Jeff Stewart","(931) 728-4911","K4-9","43","8","secretary@templeministries.com"
"St. Paul the Apostle School","306 West Grizzard Street","Tullahoma","TN","37388","Coffee","9005","Susan Molvik","(931) 455-4221","K-8","96","13","stpaulcc@cafes.net"
"Christian Academy of the Cumberlands ","325 Braun St.","Crossville","TN","38555","Cumberland","9001","Alicia Jones","(931) 707-9540","PK-9","55","17","ajones@cacknights.com"
"Crossville Christian School","28 Rock Quarry Road","Crossville","TN","38555","Cumberland","9020","Julia Palumbo","(931) 484-0026","PK-6","68",,"jpalumbo@crossvillechristian.org"
"Cumberland Mountain School","73 Methodist Campground Loop","Crossville","TN","38555","Cumberland","9015","Michael W. Adkins","931.707.1077","7-12","16","1","madkins@VBHCS.org"
"Family Christian Academy","925 Industrial Dr","Old Hickory","TN","37138","Davidson","9037","Belinda Scarlata","(615) 847.3999","K-12","5112","3007","administrator@familychristianacademy.com"
"Hermitage Hall","1220 8th Avenue South","Nashville","TN","37203","Davidson","9105","Art Taylor","(615) 742-3000","K-12","100","9","art.taylor@uhsinc.com"
"Davidson Academy","1414 Old Hickory Boulevard","Nashville","TN","37207","Davidson","9045","Bill Chaney, Headmaster","(615) 860-5300","Pk-12","781","79","bchaney@davidsonacademy.com"
"Nashville International Academy","7335 Charlotte Pike","Nashville","TN","37209","Davidson","9222","Berthena McKinney","(615) 352-5903","PreK-6","91","10","berthena.McKinney@gmail.com
"
"Casa dei Montessori","7646 Hwy. 70 S.","Nashville","TN","37221","Davidson","9443","Amber Jennings","(615) 673-8000","PreK-5","20","4","casadeimont@gmail.com"
"Christ the King School","3105 Belmont Boulevard","Nashville","TN","37212","Davidson","9030","Dr. Christine Caron Gebhardt","(615) 292-9465","K-8","241","18","ccaron.gebhardt@CTK.org"
"Bambini Montessori","27 Fairway Drive","Nashville","TN","37214","Davidson","9335","Lori A. Eldridge","615.885.8772","PreK-K","15","2","clgjwong21@aol.com"
"Father Ryan High School","700 Norwood Drive","Nashville","TN","37204","Davidson","9070","Paul Davis","(615) 383-4200","9-12","908","82","davisp@fatherryan.org; mcintyrej@fatherryan.org"
"Ezell-Harding Christian School","574 Bell Road","Antioch","TN","37013","Davidson","9060","Donald W. Hutchison","(615) 367-0532","PK-12","860","74","dhutchison@ezellharding.com"
"Nashville Christian School","7555 Sawyer Brown Road","Nashville","TN","37221","Davidson","9155","Suzie Estes","(615) 356-5600","PK-12","515","43","estess@employees.nashvillechristian.org; bishopb@employees.nashvillechristian.org"
"River Road Academy (formerly Community High School)","8283 River Road; P.O. Box 907227","Nashville","TN","37209","Davidson","9255","Ginger Goad","(615) 432-3175","7-12","24","2","ginger_goad@cumberlandheights.org"
"Montgomery Bell Academy","4001 Harding Road","Nashville","TN","37205","Davidson","9145","Bradford Gioia","(615) 298-5514","7-12","712","97","gioiab@montgomerybell.edu"
"Nashville Christian Advancement School","3551 Dickerson Pike","Nashville","TN","37207","Davidson","9067","Glenda Lyles","(615-860-3740","K-12","30","3","glenda@ncaacademy.org"
"Lighthouse Christian School","610 West Due West Ave.","Madison","TN","37115","Davidson","9515","Dr. Greg Mutsch","(615) 612-5200","1-12","19","4","gmutsch@aceministries.com"
"Holy Rosary Academy","190 Graylynn Drive","Nashville","TN","37214","Davidson","9110","Tim Keogh","(615) 883-1108","K-8","489","33","hartmary@holyrosary.edu"
"Linden Waldorf School","3201 Hillsboro Road","Nashville","TN","37215","Davidson","9308","Shelby B. Strickland","(615) 354-0270","PK-8","135","10","info@lindenwaldorf.org"
"St. Bernard Academy","2020 24th Avenue, South","Nashville","TN","37212","Davidson","9260","Carl Sabo","(615) 385-0440 x203","K-8","232","20","info@stbernard.org"
"Monroe Carell Jr. Children's  Hospital at Vanderbilt","2200 Children's Way, Suite 2116","Nashville","TN","37232-9002","Davidson","9295","Janet Cross, Tina Wood","(615) 343-4299","K-12",,"1","janet.cross@vanderbilt.edu;  tina.c.woods@vanderbilt.edu"
"Smithson Craighead Preparatory School","3307 Brick Church Pike","Nashville","TN","37207","Davidson","9383","Myron Oglesby-Pitts","615.228.9886","9","20","6","jca2047@gmail.com"
"University School of Nashville","2000 Edgehill Avenue","Nashville","TN","37212","Davidson","9445","Vincent W. Durnan","(615) 327-3812","K-12","1012","108","jdouglas@usn.org"
"David Lipscomb Campus School","3901 Granny White Pike","Nashville","TN","37204-3951","Davidson","9035","Dr. Keith Nikolaus","(615) 269-1828","PreK-12","1365","125","keith.nikolaus@lipscomb.edu"
"St. Henry School","6401 Harding Road","Nashville","TN","37205","Davidson","9210","Sister Ann Hyacinth, O.P.","(615) 352-1328","K-8","667","43","lbailey@sthenry.org"
"Montessori Academy","6021 Cloverland Drive","Brentwood","TN","37027","Davidson","9020","Linda Bernstorf","(615) 833-3610","PK-8","215","30","lbernstorf@montessoriacad.org"
"Genesis Academy Nashville","430 Allied Drive","Nashville","TN","37211","Davidson","9055","Susan Sawyer","(615) 832-4222","K-12","90","10","madams@genesislearn.org; tadams@genesislearn.org; mpyle@genesislearn.org"
"Montessori East","701 Porter Road, Suite J","Nashville","TN","37206","Davidson","9006","Austin Presler","615.226.4588","K","12","1","monteastnash@gmail.com"
"Ensworth School","211 Ensworth Avenue","Nashville","TN","37205","Davidson","9120","William N. Moseley","(615) 383-0661","K-12","884","76","moseleyw@ensworth.com"
"Lighthouse Christian School","5100 Blue Hole Road","Antioch","TN","37013","Davidson","9125","Brian Sweatt","(615) 331-6286","PreK-12","559","47","mshsoffice@lighthouseministries.org"
"Abintra Montessori School","914 Davidson Drive","Nashville","TN","37205","Davidson","9005","Sherry L. Knott","(615) 352-4317","PK-8","141","9","office@abintra.org  "
"Children's House of Nashville Montessori School","3404 Belmont Blvd.","Nashville","TN","37215","Davidson","9270","Anne T. Colley","(615) 298-5647","PK-K","75","7","office@childrenshousenashville.com"
"Jonathan Edwards Classical Academy","1377 Old Hickory Blvd","Nashville","TN","37207","Davidson","9505","Ryan Boomershine","615.876.7291","K5-5","18","6","office@jecanashville.org"
"Montessori Centre","4608 Granny White Pike","Nashville","TN","37220","Davidson","9430","Deborah ""Oma"" Harris","(615) 373-0897","PK-K","102","13","oma@montessoricentre.org"
"Otter Creek Kindergarten & Preschool","5253 Granny White Pike (mailing address:  409 Franklin Rd. Brentwood, TN 37027)","Nashville","TN","37220","Davidson","9170","Pat Ward","(615) 373-0282","PreK-K","162","21","pat@ottercreek.org"
"Lighthouse Christian Academy","P.O. Box 160328 ","Nashville","TN","37216","Davidson","9056","Patricia Gilbey","(615) 612-5202","K-12","144","12","pgilbey@aceministries.com"
"Mercy Ministries of America","15328 Old Hickory Boulvard","Nashville","TN","37211","Davidson","9062","Ruth Mercer","(615) 831-6987","7-12","18","1","rmercer@mercyministries.com"
"Learning Lab of Green Hills","3815 Cleghorn Avenue","Nashville","TN","37205","Davidson","9510","Wendy Bergman","615-321-7272","K-12","50","20","rrosenblatt@mylearnlab.com"
"Children First, A Montessori Community","3420 Belmont Blvd.","Nashville","TN","37215","Davidson","9024","Samanthia Anderson","(615) 292-8151","K","45","3","sam@childrenfirstmontessori.org"
"St. Edward School","190 Thompson Lane","Nashville","TN","37211","Davidson","9205","Dr. Sue Baumgartner","(615) 833-5770","PK-8","479","31","sbaumgartner@stedward.org"
"St. Ann School","5105 Charlotte Avenue","Nashville","TN","37209","Davidson","9305","John Foreman","(615) 269-0568","K-8","192","19","school@stannnash.org"
"Schrader Lane Child Care Center","1234 Schrader Lane","Nashville","TN","37208","Davidson","9285","Shirlee McCleskey","(615) 329-9830","K","20","1","schraderchildcare@hotmail.com"
"St. Joseph School","1225 Gallatin Road, South","Madison","TN","37115","Davidson","9211","Sister Martha Ann, O.P.","(615) 865-1491","PK-8","398","31","sjprincipal@sjsandchurch.com"
"Overbrook School","4210 Harding Road","Nashville","TN","37205","Davidson","9175","Sister Marie Blanchette Cummings, O.P.","(615) 292-5134","PK-8","326","33","srmblanchette@overbrook.edu; admissions-os@overbrook.edu"
"St. Clement Coptic Orthodox Christian Academy","476 McMurray Drive","Nashville","TN","37211","Davidson","9078","Fr Boutros Boutros","(615) 530.6086","PreK-4","41","7","stclementacademy@suscopts.org"
"St. Pius X Classical Academy","2750 Tucker Road","Nashville","TN","37218","Davidson","9220","David Carey","(615) 255-2049","PK-8","155","14","stpiusxschool@yahoo.com"
"Mama Lere (National Center for Childhood Deafness & Family Communication Oral School for the Deaf & Hard of Hearing)","Vanderbilt University Medical Center, NCCDFC, Medical Center East, SouthTower, Room 6209","Nashville","TN","37232","Davidson","9157","Tamala S. Bradham","(615) 936-5262","PK-1","27","6","tamala.bradham@vanderbilt.edu"
"The Covenant School","33 Burton Hills Drive","Nashville","TN","37215","Davidson","9088","Bobby Huff","(615) 467-2313","PreK3-5","110",,"thecovenantschool@covenantpres.com   "
"Our Savior Lutheran Academy and Preschool","5110 Franklin Road","Nashville","TN","37220","Davidson","9435","Wendy Morris","(615) 833-3779","PK-5","66","10","wendy.morris@oslanashville.org"
"Indian Mound Boys Residential Center","3916 Indian Mound Road","Sparta","TN","38583","DeKalb","9005","Leslie Watson","(931) 761-5335","7-12","16","2","lwatson@uchra.com"
"United Christian Academy","784 Highway 46 South","Dickson","TN","37055","Dickson","9022","Faith Bybee","(615) 446-0322","PreK-12","122","16","fbybee@ufwb.org"
"New Life Academy","P.O. Box 430","Burns","TN","37029","Dickson","9010","Marta P. Berryhill","(615) 441-5098","8-12","41","3","kharris@crchealth.com"
"Dickson Academy","2612 White Bluff Rd. PO Box 205","Burns","TN","37029","Dickson","9025","Robbie Mason","615-446-3740","6-8","21",,"mason@dicksonacademy.com"
"Christ Classical Academy","1005 Hwy. 51 ByPass","Dyersburg","TN","38024","Dyer","9020","Janice Young","(731) 285-3727","PK-8","153","16","ccaadmin@cableone.net "
"McDowell Center for Children","711 Highway 51 Bypass South","Dyersburg","TN","38024","Dyer","9015","Denise Lester","(731) 286-2861","6-12","27","2","denise.lester@wetec.com"
"Emmanuel Christian Academy","92 Kendall Lane","Dyersburg","TN","38024","Dyer","9025","Sheila Kendall","731-676-8708","PreK-10","13",,"sheilakendall@hotmail.com"
"Rossville Christian Academy","P O. Box 369    280 High St.","Rossville","TN","38066","Fayette","9010","Mike Coggins","(901) 853-0200","K4-12","298","24","mcoggins@rossvillechristian.com"
"Fayette Academy","15090 Highway 64, PO Box 130","Somerville","TN","38068","Fayette","9005","Ron Canada","(901) 465-3241","PreK-12","728","52","rcanada@fayetteacademy.com"
"Faith Christian Academy","627 S. Main St., P.O. Box 313","Jamestown","TN","38556","Fentress","9315","Jane H. Smith","(931) 879-9137","PreK-7","59","9","JHS@teacher.com"
"Good Shepherd School","2037 Decherd Boulevard","Decherd","TN","37324","Franklin","9010","Kelly Doyle","(931) 967-5673","PK-7","91","12","mrskdoyle@comcast.net"
"Pathways Turning Point","200 Hospital Drive","Trenton","TN","38382","Gibson","9005","Amanda Turner","(731) 855-7982","5-8","12","1","amanda.turner@wth.org"
"Bright Beginnings Christian School","1827 Mill Street","Pulaski","TN","38478","Giles","9300","Tina Jett","(931) 363-4144","PreK-5","81","14","bbcp@bellsouth.net"
"Lester Christian Academy","625 E. Washington","Pulaski","TN","38787","Giles","9305","Dr. Joyce Anderson","931.363.3049","K-12","12","1","jeanean48@hotmail.com"
"New System School, Inc.","Rt. 1, Box 183","Rutledge","TN","37861","Grainger","9070","Brenda Young","(865) 828-4488","K-12","401","143","brenda@newsystemschool.org"
"Kingswood School","PO Box 5000","Bean Station","TN","37708","Grainger","9005","Rebecca Shumate","865.767.3074","6-12","50","3","r.shumate@charter.net"
"Towering Oaks Christian","1985 Buckingham Road","Greeneville","TN","37745","Greene","9020","Gail Celeste Ingram","(423) 639-0791","K-8","91","12","gingram@toweringoaks.org"
"Beacon  (Holston Home)","PO Box 188, 404 Holston Drive","Greeneville","TN","37744","Greene","9005","Margaret Seaton","(423) 787-8708","K-12","51","7","martyseaton@holstonhome.org"
"Faith Missionary Academy","495 Red Barn Road","Gruetli-Laager","TN","37339","Grundy","9026","Stacey D. Smith","(931) 779-3338","K-12","99","7","info@faithmissionaryacademy.com"
"Cumberland Heights SDA School ","67 Old Hwy 56","Coalmont","TN","37313","Grundy","9005","Pam Cross","931-692-3982","1-8","4","1","pcross@grundyadventist.org "
"All Saints' Episcopal School","3275 Maple Valley Road","Morristown","TN","37813","Hamblen","9005","Dr. Henry G. Selby","(423) 586-3280","K-8","93","10","headofschool.ases@charter.net"
"Morristown Covenant Academy","PO Box 1737 502 S. Jackson St.","Morristown","TN","37816","Hamblen","9060","Debra Cooper","(423) 587-3247","K4-12","52","10","mca@mcovenantacademy.net"
"Gateway PEACE Academy","320 W. 3rd North St.","Morristown","TN","37814","Hamblen","9035","Sharon Reid","423.581.4761","7-12","8","1","melissa.cupp@mcnabb.org"
"Speech and Hearing ACHIEVE Center","600 N Holtzclaw Avenue, Suite 200","Chattanooga","TN","37411","Hamilton","9170","Marty Dunagan","(423) 629-5899","PK-K","11","1","achievecenter@comcast.net"
"The Montessori School","300 Montessori Way","Chattanooga","TN","37404","Hamilton","9066","Roberta Spink","(423) 622-6366","PK-8","129","3","admissions@themontessorischool.net; jblaes@camelotforkids.org"
"Berean Academy","441 Berean Lane","Hixson","TN","37343","Hamilton","9020","Joey Harmon","(423) 877-1288","PreK,K-12","230","17","berean_eagles@yahoo.com"
"Calvary Christian School","4601 North Terrace.","Chattanooga","TN","37411","Hamilton","9021","Tim Rowe","(423) 622-2181","PreK-12","111","10","calvary4601@mybluelight.com"
"Annoor Academy of Chattanooga","5502 Brainerd Rd","Chattanooga","TN","37411","Hamilton","9181","Debbie Die","423.894.1637","K-12","22","3","debbiedie@msn.com"
"Avondale SDA School","1201 North Orchard Avenue","Chattanooga","TN","37406","Hamilton","9010","Mari-Edi Gardner","(423) 698-5028","K-8","38","4","dmarshall81@comcast.net"
"Orange Grove Center","615 Derby Street","Chattanooga","TN","37404","Hamilton","9055","Darcy Owens","(423) 493-2947","NonG","81","13","dowens@orangegrove.org"
"Bethel Bible Village Campus School","3001 Hamill Road","Hixson","TN","37343","Hamilton","9180","Ellen Flemmons","(423) 842-5757","K-12","0","1","ellenf@bethelbiblevillage.org"
"Belvoir Christian Academy","800 Belvoir Ave.","Chattanooga","TN","37412","Hamilton","9090","Frank Streufert","(423) 622-3755","PK-8","175","15","fstreufert@bcalions.org"
"Siskin School -- Downtown ","1101 Carter Street","Chattanooga","TN","37402","Hamilton","9070","Gayle Coleman","423-648-1788","PK-K","151","11","gayle.coleman@siskin.org"
"Siskin School -- East Brainerd","1612 Gunbarrel Road","Chattanooga","TN","37421","Hamilton","9071","Gayle Coleman","423-648-1788","PK-K","104","10","gayle.coleman@siskin.org"
"Signal Center - Chattanooga","109 North Germantown Road","Chattanooga","TN","37411","Hamilton","9125","Dr. A Graham Parker","(423) 698-8528","PK-K","37","5","graham_parker@signalcenters.org"
"Boyd-Buchanan School","4626 Bonnieway Drive","Chattanooga","TN","37411","Hamilton","9025","Lanny Witt","(423) 624-9064","PK-12","962","70","hshull@bbschool.org"
"Wildwood Adventist School","800 Ethel Lane","Chattanooga","TN",,"Hamilton","9171","Joyce Grivas","423-503-5343","K-8","11","2","joycegrivas@gmail.com"
"Scholze Center","911 Pineville Road","Chattanooga","TN","37405","Hamilton","9265","Marsha Miller","(423) 425-0215","7-12","40","1","marsha.miller@cadas.org"
"Parkridge Valley Academy (Hospital School)","2200 Morris Hill Road","Chattanooga","TN","37421","Hamilton","9160","Mary McDougall","(423) 499-2391","K-12","50","4","maryalice.lory@hcahealthcare.com"
"Our Lady of Perpetual Help School","505 South Moore Road","Chattanooga","TN","37412","Hamilton","9115","Jeri McInturff","(423) 622-1481","K-8","319","30","olphschooloffice@catholicweb.com"
"Baylor School","171 Baylor School Road","Chattanooga","TN","37405","Hamilton","9015","Scott A. Wilson","(423) 267-8505","6-12","1050","250","sawilson@baylorschool.org"
"Brainerd Baptist School","PO Box 8099  300 Brookfield Ave.","Chattanooga","TN","37414","Hamilton","9030","Sean M. Corcoran","(423) 622-3873","PK-5","300","32","scorcoran@brainerdbaptist.org"
"Signal Mtn.Christian School","2502 Fairmount Pike","Signal Mtn.","TN","37377","Hamilton","9006","Danette Kelley","(423) 886-1115","K-5","42",,"smcs@smcstn.org"
"Notre Dame High School","2701 Vermont Avenue","Chattanooga","TN","37404","Hamilton","9325","Perry Storey","(423) 624-4618","9-12","471","38","storeyp@myndhs.com"
"Tennessee Aquarium","One Broad Street, PO Box 11048","Chattanooga","TN","37401-1023","Hamilton","9161","Tim W. Baker","(423) 785-4058","Ung.",,"12","twb@tnaqua.org"
"Scenic Land School, Inc.","1200 Mountain Creek Road Suite 300","Chattanooga","TN","37405-6104","Hamilton","9120","Herbert Anderson","(423) 877-9711","K-8","12","3","yanderson@sceniclandschool.org"
"Abundant Life Christian Academy","15774 Hwy. 64 E","Bolivar","TN","38008","Hardeman","9004","Connie Moore, Sandra Collins","(731) 658-4979","K-12","21","4","alcalions@hotmail.com"
"Bolivar Christian Academy","309 Edgewood Street","Bolivar","TN","38008","Hardeman","9012","Cherie Bryant","(731) 658-4213","K-12","19","4","cbryant@aeneas.net"
"Harbert Hills Academy","3575 Lonesome Pine","Savannah","TN","38372","Hardin","9040","Joe Simpson","(731) 925-3098","K-12","47","13","joe@harberthills.org "
"Savannah Christian Academy","P. O. Box 730","Savannah","TN","38372","Hardin","9077","Kristine Smith","(731) 926-1504","K-8","132","13","kris.smith@sbcsavannah.org"
"New Beginnings Homeschool Christian Academy","245 Wayne Rd ste C","Savannah","TN","38372","Hardin","9030","Mary Brown","731-925-6464","K-12","80","5","nbhomeschoolacademy@yahoo.com "
"Lexington Montessori School","49 North Main Street","Lexington","TN","38351","Henderson","9390","Alethea Melton","(731) 968-0664","K","6","1","aletheamelton@yahoo.com"
"Lakeside Christian Academy","P.O. Box 189 2920 Hwy. 641 North","Paris","TN","38242","Henry","9050","Pamela E. Hughes","(731) 644-0111","1-12","4","1","phugs@charter.net"
"Natchez Trace Youth Academy","415 Seven Hawks Lane","Waverly","TN","37185","Humphreys","9010","Robert W. Masoner II, M.Ed.","(931) 296-1183 ext 320","8-12","44","4","robert.masoner@uhsinc.com"
"St. Patrick School","175 St. Patrick Street","McEwen","TN","37101","Humphreys","9005","Sister Francine Bauser, O.P.","(931) 582-3493","PK-8","102","14","stpatsprincipal@bellsouth.net"
"Deo Christian","134 New Bethel Lane, 3450 O.S.R. 85","Gainesboro","TN","38562","Jackson","9060","Diana Lewis","931.704.7766","PreK-12",,,"kjlewis@twlakes.net"
"Jefferson Montessori School","P.O. Box 489","Jefferson City","TN","37760","Jefferson","9005","Lou Anna Dyer","(865) 475-5250","PreK-K","9","1","ldyer49@gmail.com"
"Mountain Youth Academy","332 Hospital Road","Mountain City","TN","37683","Johnson","9010","Jylane Honaker","(423) 727-9898","2-12","32","4","jylanes@yahoo.com"
"Annoor Academy of Knoxville","724 Foxville Road","Knoxville","TN","37922","Knox","9001","Amany Shourbaji","(865) 525.3399","K-5","111","12","Amanyshour@yahoo.com"
"Garden Montessori School","3225 Garden Drive","Knoxville","TN","37918","Knox","9020","Colleen Van Dyke","(865) 688-6776","K-8","59","9","announcements@gardenmontessori.org; melodyboling@gardenmontessori.org "
"West End Academy","5311 McKamy Road","Knoxville","TN","37921","Knox","9110","David Dowling","(865) 690-1720","6-12","31","4","aurora_prophet@yahoo.com"
"St. John Neumann School","625 St. John Court","Knoxville","TN","37922","Knox","9130","Bill Derbyshire","(865) 777-0077","K-8","322","28","bderbyshire@sjncs-knox.org"
"Temple Baptist Academy","1700 Beaver Creek Dr., PO Box 159","Powell","TN","37849","Knox","9085","Dwayne Hickman","(865) 938-8180","PreK-12","271","23","betty.manning@templebaptistacademy.com"
"Tate's School of Discovery","9215 Bob Gray Road","Knoxville","TN","37923","Knox","9125","Brenda Seagraves","(865) 690-4255","PreSch-5","182","20","brenda-Seagraves@tatesschool.com"
"Grace Christian Academy","5914 Beaver Ridge Rd.","Knoxville","TN","37931","Knox","9041","Don Criss","(865) 691-3427","K-12","836","52","dcriss@gracebc.org"
"Thackston School","2023 Lake Avenue","Knoxville","TN","37919","Knox","9090","Kristi Wofford","(865) 522-0729","PK-5","114","7","dwofford@thackstonschool.com"
"Faith Early Learning Center","239 Jamestowne Blve.","Knoxville","TN","37934","Knox","9006","Cheryl Powers","865.675.1530","PreK-K","110","15","faithelc@tds.net"
"First Baptist Academy","7706 Ewing Road","Powell","TN","37849","Knox","9016","Darrell Vandergriff","(865) 947-8503","K-8","101","7","fba@firstbaptistacademy.us"
"Giving Tree Montessori","P.O. Box 22634  7728 Nubbin Ridge Rd.","Knoxville","TN","37933","Knox","9025","Maria Jenkins","(865) 691-2661","PreK-K","35","7","givingtreemontesso@att.net"
"Grace Covenant Baptist Academy","9956 Dutchtown Rd","Knoxville","TN","37923","Knox","9385","Alan Smith","(865) 690-3681","PreK-1","64",,"gracecovenantbaptistchurch@comcast.net"
"Berean Christian School","2329 Prosser Road","Knoxville","TN","37914","Knox","9011","George Waller","(865) 521-6054","K-8","975","36","gwaller@bereanchristian.org"
"Greenway School","544 Canton Hollow Road","Knoxville","TN","37934","Knox","9030","Christine Duncan","(865) 777-0197","6-8","33","4","info@greenwayschool.edu"
"Stanford Eisenberg Jewish Day School","1529 Downtown West Blvd","Knoxville","TN","37919","Knox","9350","Miriam Wilhelm","(865) 560.9922","K-4","23","4","info@kjds.org"
"Knoxville Catholic High School","9245 Fox Lonas Road","Knoxville","TN","37923","Knox","9050","Dickie Sompaytac","(865) 560-0313","9-12","650","50","info@knoxvillecatholic.com"
"Laurel High School","1539 Laurel Ave.","Knoxville","TN","37916-2015","Knox","9210","Shelly Woodrick","(865) 525-3885","9-12","27","3","info@laurelhighschool.org"
"Sacred Heart Cathedral School","711 Northshore Drive","Knoxville","TN","37919","Knox","9080","Mrs. Sedonna Prater","(865) 588-0415","K-8","605","46","info@shcschool.org"
"Paideia Academy","10825 Yarnell Road","Knoxville","TN","37950","Knox","9146","James Cowart","(865) 670-0440","K-6","102","7","jcowart@paideiaknoxville.org"
"Knoxville Baptist Christian School","2434 East Fifth Avenue","Knoxville","TN","37917","Knox","9005","Robert Evans","(865) 524-3211","PreK-12","116","11","kbcs@kbcs.org"
"UT Early Learning Center","1215 W Cumberland ","Knoxville","TN","37996-1912","Knox","9176","Dr. Sean Durham","865-974-0843 ","PreK-K","18","2","kkidd@utk.edu"
"Knoxville Montessori School","4311 Kingston Pike","Knoxville","TN","37919","Knox","9060","Charlie Biggs","(865) 525-6042","PK-5","58","9","kms@knoxvillemontessori.org"
